[dronerf/bitfl] round 001/50: loss=1.3461, acc=0.3531, time=12.1s
[dronerf/bitfl] round 002/50: loss=1.2975, acc=0.3667, time=11.2s
[dronerf/bitfl] round 003/50: loss=1.2586, acc=0.3880, time=11.1s
[dronerf/bitfl] round 004/50: loss=1.2306, acc=0.3947, time=11.0s
[dronerf/bitfl] round 005/50: loss=1.2117, acc=0.3982, time=11.2s
[dronerf/bitfl] round 006/50: loss=1.1973, acc=0.3998, time=11.0s
[dronerf/bitfl] round 007/50: loss=1.1843, acc=0.4020, time=11.1s
[dronerf/bitfl] round 008/50: loss=1.1718, acc=0.4024, time=11.1s
[dronerf/bitfl] round 009/50: loss=1.1582, acc=0.4047, time=11.3s
[dronerf/bitfl] round 010/50: loss=1.1435, acc=0.4093, time=11.2s
[dronerf/bitfl] round 011/50: loss=1.1318, acc=0.4113, time=11.1s
[dronerf/bitfl] round 012/50: loss=1.1142, acc=0.4131, time=11.1s
[dronerf/bitfl] round 013/50: loss=1.0968, acc=0.4244, time=11.2s
[dronerf/bitfl] round 014/50: loss=1.0839, acc=0.4344, time=11.2s
[dronerf/bitfl] round 015/50: loss=1.0690, acc=0.4433, time=11.1s
[dronerf/bitfl] round 016/50: loss=1.0580, acc=0.4607, time=11.1s
[dronerf/bitfl] round 017/50: loss=1.0467, acc=0.4787, time=11.1s
[dronerf/bitfl] round 018/50: loss=1.0261, acc=0.4882, time=11.2s
[dronerf/bitfl] round 019/50: loss=1.0165, acc=0.4958, time=10.9s
[dronerf/bitfl] round 020/50: loss=1.0124, acc=0.4962, time=10.9s
[dronerf/bitfl] round 021/50: loss=1.0029, acc=0.4953, time=11.7s
[dronerf/bitfl] round 022/50: loss=0.9954, acc=0.5038, time=11.2s
[dronerf/bitfl] round 023/50: loss=0.9873, acc=0.5093, time=11.1s
[dronerf/bitfl] round 024/50: loss=0.9853, acc=0.5136, time=11.1s
[dronerf/bitfl] round 025/50: loss=0.9813, acc=0.5084, time=11.2s
[dronerf/bitfl] round 026/50: loss=0.9755, acc=0.5084, time=11.0s
[dronerf/bitfl] round 027/50: loss=0.9725, acc=0.5102, time=11.2s
[dronerf/bitfl] round 028/50: loss=0.9681, acc=0.5140, time=11.3s
[dronerf/bitfl] round 029/50: loss=0.9683, acc=0.5271, time=11.1s
[dronerf/bitfl] round 030/50: loss=0.9600, acc=0.5211, time=11.2s
[dronerf/bitfl] round 031/50: loss=0.9575, acc=0.5156, time=11.0s
[dronerf/bitfl] round 032/50: loss=0.9543, acc=0.5258, time=11.1s
[dronerf/bitfl] round 033/50: loss=0.9502, acc=0.5276, time=11.1s
[dronerf/bitfl] round 034/50: loss=0.9485, acc=0.5251, time=11.0s
[dronerf/bitfl] round 035/50: loss=0.9464, acc=0.5236, time=11.1s
[dronerf/bitfl] round 036/50: loss=0.9464, acc=0.5342, time=11.1s
[dronerf/bitfl] round 037/50: loss=0.9429, acc=0.5331, time=11.2s
[dronerf/bitfl] round 038/50: loss=0.9416, acc=0.5447, time=11.1s
[dronerf/bitfl] round 039/50: loss=0.9387, acc=0.5544, time=10.9s
[dronerf/bitfl] round 040/50: loss=0.9316, acc=0.5507, time=10.9s
[dronerf/bitfl] round 041/50: loss=0.9282, acc=0.5462, time=11.0s
[dronerf/bitfl] round 042/50: loss=0.9285, acc=0.5593, time=10.9s
[dronerf/bitfl] round 043/50: loss=0.9321, acc=0.5742, time=11.3s
[dronerf/bitfl] round 044/50: loss=0.9305, acc=0.5673, time=11.1s
[dronerf/bitfl] round 045/50: loss=0.9301, acc=0.5644, time=10.9s
[dronerf/bitfl] round 046/50: loss=0.9276, acc=0.5596, time=11.0s
[dronerf/bitfl] round 047/50: loss=0.9252, acc=0.5622, time=11.0s
[dronerf/bitfl] round 048/50: loss=0.9236, acc=0.5609, time=11.2s
[dronerf/bitfl] round 049/50: loss=0.9214, acc=0.5618, time=11.0s
[dronerf/bitfl] round 050/50: loss=0.9183, acc=0.5642, time=11.0s
completed: results/bitfl_hldp05_noef_pilot/dronerf/bitfl/seed_42_20260813_135535
