[dronerf/bitfl] round 001/50: loss=1.3403, acc=0.3489, time=13.1s
[dronerf/bitfl] round 002/50: loss=1.2662, acc=0.3851, time=11.9s
[dronerf/bitfl] round 003/50: loss=1.2207, acc=0.3944, time=11.9s
[dronerf/bitfl] round 004/50: loss=1.1955, acc=0.3971, time=12.2s
[dronerf/bitfl] round 005/50: loss=1.1886, acc=0.3969, time=11.6s
[dronerf/bitfl] round 006/50: loss=1.1904, acc=0.4011, time=11.2s
[dronerf/bitfl] round 007/50: loss=1.1909, acc=0.4013, time=11.0s
[dronerf/bitfl] round 008/50: loss=1.1869, acc=0.4036, time=11.0s
[dronerf/bitfl] round 009/50: loss=1.1545, acc=0.4044, time=10.9s
[dronerf/bitfl] round 010/50: loss=1.1326, acc=0.4156, time=11.0s
[dronerf/bitfl] round 011/50: loss=1.0968, acc=0.4211, time=11.2s
[dronerf/bitfl] round 012/50: loss=1.0734, acc=0.4371, time=11.5s
[dronerf/bitfl] round 013/50: loss=1.0434, acc=0.4678, time=11.6s
[dronerf/bitfl] round 014/50: loss=1.0324, acc=0.4813, time=11.9s
[dronerf/bitfl] round 015/50: loss=1.0243, acc=0.4793, time=11.9s
[dronerf/bitfl] round 016/50: loss=1.0032, acc=0.4840, time=12.2s
[dronerf/bitfl] round 017/50: loss=0.9818, acc=0.4873, time=11.8s
[dronerf/bitfl] round 018/50: loss=0.9535, acc=0.5149, time=11.7s
[dronerf/bitfl] round 019/50: loss=0.9354, acc=0.5124, time=11.8s
[dronerf/bitfl] round 020/50: loss=0.9084, acc=0.6040, time=11.8s
[dronerf/bitfl] round 021/50: loss=0.8829, acc=0.6018, time=11.6s
[dronerf/bitfl] round 022/50: loss=0.8693, acc=0.5918, time=11.6s
[dronerf/bitfl] round 023/50: loss=0.8582, acc=0.5922, time=12.2s
[dronerf/bitfl] round 024/50: loss=0.8494, acc=0.6140, time=11.8s
[dronerf/bitfl] round 025/50: loss=0.8367, acc=0.6060, time=12.0s
[dronerf/bitfl] round 026/50: loss=0.8178, acc=0.6200, time=11.6s
[dronerf/bitfl] round 027/50: loss=0.8188, acc=0.5998, time=11.9s
[dronerf/bitfl] round 028/50: loss=0.7977, acc=0.6233, time=11.6s
[dronerf/bitfl] round 029/50: loss=0.7998, acc=0.6247, time=11.7s
[dronerf/bitfl] round 030/50: loss=0.7789, acc=0.6316, time=11.6s
[dronerf/bitfl] round 031/50: loss=0.7675, acc=0.6387, time=12.0s
[dronerf/bitfl] round 032/50: loss=0.7631, acc=0.6369, time=11.7s
[dronerf/bitfl] round 033/50: loss=0.7556, acc=0.6356, time=11.8s
[dronerf/bitfl] round 034/50: loss=0.7580, acc=0.6284, time=12.2s
[dronerf/bitfl] round 035/50: loss=0.7533, acc=0.6322, time=12.0s
[dronerf/bitfl] round 036/50: loss=0.7525, acc=0.6391, time=11.7s
[dronerf/bitfl] round 037/50: loss=0.7521, acc=0.6396, time=12.1s
[dronerf/bitfl] round 038/50: loss=0.7487, acc=0.6380, time=11.6s
[dronerf/bitfl] round 039/50: loss=0.7415, acc=0.6409, time=11.7s
[dronerf/bitfl] round 040/50: loss=0.7444, acc=0.6378, time=12.0s
[dronerf/bitfl] round 041/50: loss=0.7415, acc=0.6364, time=11.8s
[dronerf/bitfl] round 042/50: loss=0.7376, acc=0.6364, time=11.9s
[dronerf/bitfl] round 043/50: loss=0.7497, acc=0.6380, time=11.5s
[dronerf/bitfl] round 044/50: loss=0.7511, acc=0.6371, time=11.8s
[dronerf/bitfl] round 045/50: loss=0.7498, acc=0.6398, time=11.6s
[dronerf/bitfl] round 046/50: loss=0.7349, acc=0.6400, time=11.7s
[dronerf/bitfl] round 047/50: loss=0.7312, acc=0.6431, time=11.8s
[dronerf/bitfl] round 048/50: loss=0.7273, acc=0.6453, time=11.7s
[dronerf/bitfl] round 049/50: loss=0.7229, acc=0.6449, time=11.8s
[dronerf/bitfl] round 050/50: loss=0.7183, acc=0.6498, time=11.8s
completed: results/bitfl_stable_lr1e4_topk01/dronerf/bitfl/seed_42_20260813_125510
