[dronerf/cqfl] round 001/50: loss=1.7703, acc=0.2502, time=15.9s
[dronerf/cqfl] round 002/50: loss=1.1261, acc=0.4440, time=14.8s
[dronerf/cqfl] round 003/50: loss=1.0503, acc=0.4740, time=15.0s
[dronerf/cqfl] round 004/50: loss=1.0249, acc=0.4691, time=15.0s
[dronerf/cqfl] round 005/50: loss=1.0078, acc=0.4709, time=15.3s
[dronerf/cqfl] round 006/50: loss=0.9844, acc=0.4820, time=14.9s
[dronerf/cqfl] round 007/50: loss=0.9754, acc=0.4996, time=15.4s
[dronerf/cqfl] round 008/50: loss=0.9593, acc=0.4907, time=15.0s
[dronerf/cqfl] round 009/50: loss=0.9430, acc=0.5284, time=14.8s
[dronerf/cqfl] round 010/50: loss=0.9495, acc=0.5033, time=14.7s
[dronerf/cqfl] round 011/50: loss=0.9305, acc=0.5180, time=14.8s
[dronerf/cqfl] round 012/50: loss=0.9178, acc=0.5269, time=14.8s
[dronerf/cqfl] round 013/50: loss=0.9018, acc=0.5549, time=15.2s
[dronerf/cqfl] round 014/50: loss=0.9005, acc=0.5407, time=15.2s
[dronerf/cqfl] round 015/50: loss=0.8817, acc=0.5613, time=15.0s
[dronerf/cqfl] round 016/50: loss=0.9084, acc=0.5353, time=15.1s
[dronerf/cqfl] round 017/50: loss=0.8719, acc=0.5671, time=15.3s
[dronerf/cqfl] round 018/50: loss=0.8719, acc=0.5671, time=15.6s
[dronerf/cqfl] round 019/50: loss=0.8719, acc=0.5671, time=15.2s
[dronerf/cqfl] round 020/50: loss=0.8719, acc=0.5671, time=15.2s
[dronerf/cqfl] round 021/50: loss=0.8672, acc=0.5689, time=15.2s
[dronerf/cqfl] round 022/50: loss=0.8672, acc=0.5689, time=14.9s
[dronerf/cqfl] round 023/50: loss=0.8544, acc=0.5838, time=15.0s
[dronerf/cqfl] round 024/50: loss=0.8526, acc=0.5793, time=15.1s
[dronerf/cqfl] round 025/50: loss=0.8462, acc=0.5920, time=14.9s
[dronerf/cqfl] round 026/50: loss=0.8407, acc=0.5929, time=15.1s
[dronerf/cqfl] round 027/50: loss=0.8407, acc=0.5929, time=16.0s
[dronerf/cqfl] round 028/50: loss=0.8449, acc=0.5931, time=15.6s
[dronerf/cqfl] round 029/50: loss=0.8449, acc=0.5931, time=15.5s
[dronerf/cqfl] round 030/50: loss=0.8449, acc=0.5931, time=14.9s
[dronerf/cqfl] round 031/50: loss=0.8389, acc=0.5898, time=14.8s
[dronerf/cqfl] round 032/50: loss=0.8400, acc=0.5960, time=15.3s
[dronerf/cqfl] round 033/50: loss=0.8400, acc=0.5960, time=15.3s
[dronerf/cqfl] round 034/50: loss=0.8400, acc=0.5960, time=15.5s
[dronerf/cqfl] round 035/50: loss=0.8400, acc=0.5960, time=15.2s
[dronerf/cqfl] round 036/50: loss=0.8400, acc=0.5960, time=14.7s
[dronerf/cqfl] round 037/50: loss=0.8400, acc=0.5960, time=14.8s
[dronerf/cqfl] round 038/50: loss=0.8387, acc=0.5980, time=14.8s
[dronerf/cqfl] round 039/50: loss=0.8352, acc=0.5998, time=15.6s
[dronerf/cqfl] round 040/50: loss=0.8352, acc=0.5998, time=15.9s
[dronerf/cqfl] round 041/50: loss=0.8352, acc=0.5998, time=14.8s
[dronerf/cqfl] round 042/50: loss=0.8405, acc=0.6000, time=14.7s
[dronerf/cqfl] round 043/50: loss=0.8405, acc=0.6000, time=14.9s
[dronerf/cqfl] round 044/50: loss=0.8405, acc=0.6000, time=14.7s
[dronerf/cqfl] round 045/50: loss=0.8415, acc=0.6013, time=15.3s
[dronerf/cqfl] round 046/50: loss=0.8415, acc=0.6013, time=14.7s
[dronerf/cqfl] round 047/50: loss=0.8415, acc=0.6013, time=14.9s
[dronerf/cqfl] round 048/50: loss=0.8415, acc=0.6013, time=14.7s
[dronerf/cqfl] round 049/50: loss=0.8415, acc=0.6013, time=14.7s
[dronerf/cqfl] round 050/50: loss=0.8407, acc=0.5978, time=14.8s
completed: results/cqfl_optimized_batch256_pilot/dronerf/cqfl/seed_42_20260813_172421
