[dronerf/bitfl] round 001/100: loss=1.4762, acc=0.3911, time=12.3s
[dronerf/bitfl] round 002/100: loss=1.4108, acc=0.3813, time=11.1s
[dronerf/bitfl] round 003/100: loss=1.3555, acc=0.3807, time=11.4s
[dronerf/bitfl] round 004/100: loss=1.3179, acc=0.3931, time=11.0s
[dronerf/bitfl] round 005/100: loss=1.2841, acc=0.3996, time=12.2s
[dronerf/bitfl] round 006/100: loss=1.2605, acc=0.4033, time=12.4s
[dronerf/bitfl] round 007/100: loss=1.2443, acc=0.4047, time=11.4s
[dronerf/bitfl] round 008/100: loss=1.2292, acc=0.4049, time=11.0s
[dronerf/bitfl] round 009/100: loss=1.2140, acc=0.4060, time=11.1s
[dronerf/bitfl] round 010/100: loss=1.1995, acc=0.4080, time=11.1s
[dronerf/bitfl] round 011/100: loss=1.1826, acc=0.4102, time=11.2s
[dronerf/bitfl] round 012/100: loss=1.1670, acc=0.4138, time=11.2s
[dronerf/bitfl] round 013/100: loss=1.1517, acc=0.4153, time=11.2s
[dronerf/bitfl] round 014/100: loss=1.1351, acc=0.4178, time=12.2s
[dronerf/bitfl] round 015/100: loss=1.1174, acc=0.4262, time=12.0s
[dronerf/bitfl] round 016/100: loss=1.1024, acc=0.4304, time=11.4s
[dronerf/bitfl] round 017/100: loss=1.0880, acc=0.4356, time=11.2s
[dronerf/bitfl] round 018/100: loss=1.0758, acc=0.4422, time=11.1s
[dronerf/bitfl] round 019/100: loss=1.0651, acc=0.4449, time=10.9s
[dronerf/bitfl] round 020/100: loss=1.0553, acc=0.4569, time=11.0s
[dronerf/bitfl] round 021/100: loss=1.0456, acc=0.4633, time=10.8s
[dronerf/bitfl] round 022/100: loss=1.0415, acc=0.4691, time=11.2s
[dronerf/bitfl] round 023/100: loss=1.0369, acc=0.4720, time=11.1s
[dronerf/bitfl] round 024/100: loss=1.0343, acc=0.4696, time=10.8s
[dronerf/bitfl] round 025/100: loss=1.0299, acc=0.4711, time=11.0s
[dronerf/bitfl] round 026/100: loss=1.0268, acc=0.4729, time=11.2s
[dronerf/bitfl] round 027/100: loss=1.0236, acc=0.4747, time=11.0s
[dronerf/bitfl] round 028/100: loss=1.0211, acc=0.4791, time=11.1s
[dronerf/bitfl] round 029/100: loss=1.0189, acc=0.4809, time=11.1s
[dronerf/bitfl] round 030/100: loss=1.0178, acc=0.4809, time=11.1s
[dronerf/bitfl] round 031/100: loss=1.0171, acc=0.4818, time=11.1s
[dronerf/bitfl] round 032/100: loss=1.0150, acc=0.4856, time=11.0s
[dronerf/bitfl] round 033/100: loss=1.0147, acc=0.4844, time=11.1s
[dronerf/bitfl] round 034/100: loss=1.0134, acc=0.4849, time=11.3s
[dronerf/bitfl] round 035/100: loss=1.0127, acc=0.4864, time=11.7s
[dronerf/bitfl] round 036/100: loss=1.0111, acc=0.4833, time=11.2s
[dronerf/bitfl] round 037/100: loss=1.0105, acc=0.4871, time=11.4s
[dronerf/bitfl] round 038/100: loss=1.0104, acc=0.4827, time=11.2s
[dronerf/bitfl] round 039/100: loss=1.0092, acc=0.4882, time=11.2s
[dronerf/bitfl] round 040/100: loss=1.0076, acc=0.4851, time=11.2s
[dronerf/bitfl] round 041/100: loss=1.0059, acc=0.4813, time=11.4s
[dronerf/bitfl] round 042/100: loss=1.0045, acc=0.4858, time=11.2s
[dronerf/bitfl] round 043/100: loss=1.0027, acc=0.4856, time=11.2s
[dronerf/bitfl] round 044/100: loss=1.0021, acc=0.4853, time=11.3s
[dronerf/bitfl] round 045/100: loss=1.0003, acc=0.4869, time=11.4s
[dronerf/bitfl] round 046/100: loss=0.9970, acc=0.4938, time=11.3s
[dronerf/bitfl] round 047/100: loss=0.9969, acc=0.4987, time=11.5s
[dronerf/bitfl] round 048/100: loss=0.9942, acc=0.4978, time=11.6s
[dronerf/bitfl] round 049/100: loss=0.9920, acc=0.4976, time=11.5s
[dronerf/bitfl] round 050/100: loss=0.9935, acc=0.5018, time=11.6s
[dronerf/bitfl] round 051/100: loss=0.9880, acc=0.5000, time=11.5s
[dronerf/bitfl] round 052/100: loss=0.9871, acc=0.4996, time=11.5s
[dronerf/bitfl] round 053/100: loss=0.9833, acc=0.5016, time=11.4s
[dronerf/bitfl] round 054/100: loss=0.9808, acc=0.5060, time=11.5s
[dronerf/bitfl] round 055/100: loss=0.9802, acc=0.5076, time=11.7s
[dronerf/bitfl] round 056/100: loss=0.9761, acc=0.5158, time=11.3s
[dronerf/bitfl] round 057/100: loss=0.9728, acc=0.5080, time=11.2s
[dronerf/bitfl] round 058/100: loss=0.9737, acc=0.5116, time=11.6s
[dronerf/bitfl] round 059/100: loss=0.9683, acc=0.5156, time=11.3s
[dronerf/bitfl] round 060/100: loss=0.9663, acc=0.5147, time=11.6s
[dronerf/bitfl] round 061/100: loss=0.9635, acc=0.5116, time=11.1s
[dronerf/bitfl] round 062/100: loss=0.9593, acc=0.5144, time=11.3s
[dronerf/bitfl] round 063/100: loss=0.9575, acc=0.5158, time=11.2s
[dronerf/bitfl] round 064/100: loss=0.9561, acc=0.5140, time=11.3s
[dronerf/bitfl] round 065/100: loss=0.9523, acc=0.5164, time=11.0s
[dronerf/bitfl] round 066/100: loss=0.9517, acc=0.5227, time=11.2s
[dronerf/bitfl] round 067/100: loss=0.9485, acc=0.5220, time=11.0s
[dronerf/bitfl] round 068/100: loss=0.9463, acc=0.5262, time=11.2s
[dronerf/bitfl] round 069/100: loss=0.9441, acc=0.5242, time=11.1s
[dronerf/bitfl] round 070/100: loss=0.9435, acc=0.5267, time=10.9s
[dronerf/bitfl] round 071/100: loss=0.9421, acc=0.5298, time=11.4s
[dronerf/bitfl] round 072/100: loss=0.9412, acc=0.5340, time=11.0s
[dronerf/bitfl] round 073/100: loss=0.9405, acc=0.5344, time=11.4s
[dronerf/bitfl] round 074/100: loss=0.9390, acc=0.5329, time=11.3s
[dronerf/bitfl] round 075/100: loss=0.9373, acc=0.5340, time=10.9s
[dronerf/bitfl] round 076/100: loss=0.9354, acc=0.5362, time=11.0s
[dronerf/bitfl] round 077/100: loss=0.9352, acc=0.5367, time=11.0s
[dronerf/bitfl] round 078/100: loss=0.9314, acc=0.5462, time=11.2s
[dronerf/bitfl] round 079/100: loss=0.9291, acc=0.5444, time=11.1s
[dronerf/bitfl] round 080/100: loss=0.9303, acc=0.5451, time=11.0s
[dronerf/bitfl] round 081/100: loss=0.9288, acc=0.5496, time=11.2s
[dronerf/bitfl] round 082/100: loss=0.9251, acc=0.5473, time=11.0s
[dronerf/bitfl] round 083/100: loss=0.9226, acc=0.5484, time=11.6s
[dronerf/bitfl] round 084/100: loss=0.9199, acc=0.5464, time=11.4s
[dronerf/bitfl] round 085/100: loss=0.9182, acc=0.5511, time=11.0s
[dronerf/bitfl] round 086/100: loss=0.9166, acc=0.5516, time=11.2s
[dronerf/bitfl] round 087/100: loss=0.9126, acc=0.5558, time=11.0s
[dronerf/bitfl] round 088/100: loss=0.9089, acc=0.5569, time=11.2s
[dronerf/bitfl] round 089/100: loss=0.9059, acc=0.5567, time=11.3s
[dronerf/bitfl] round 090/100: loss=0.9039, acc=0.5569, time=11.1s
[dronerf/bitfl] round 091/100: loss=0.9013, acc=0.5580, time=11.2s
[dronerf/bitfl] round 092/100: loss=0.9004, acc=0.5589, time=11.3s
[dronerf/bitfl] round 093/100: loss=0.9005, acc=0.5613, time=11.4s
[dronerf/bitfl] round 094/100: loss=0.8958, acc=0.5620, time=11.4s
[dronerf/bitfl] round 095/100: loss=0.8937, acc=0.5644, time=11.0s
[dronerf/bitfl] round 096/100: loss=0.8934, acc=0.5653, time=11.3s
[dronerf/bitfl] round 097/100: loss=0.8908, acc=0.5651, time=11.6s
[dronerf/bitfl] round 098/100: loss=0.8880, acc=0.5662, time=11.1s
[dronerf/bitfl] round 099/100: loss=0.8879, acc=0.5676, time=11.3s
[dronerf/bitfl] round 100/100: loss=0.8882, acc=0.5647, time=11.2s
completed: results/dronerf_bitfl_cqfl_tuned_final/dronerf/bitfl/seed_123_20260813_145714
