[dronerf/cqfl] round 001/100: loss=1.7264, acc=0.2440, time=15.3s
[dronerf/cqfl] round 002/100: loss=1.1575, acc=0.4129, time=15.8s
[dronerf/cqfl] round 003/100: loss=1.0723, acc=0.4540, time=14.9s
[dronerf/cqfl] round 004/100: loss=1.0365, acc=0.4767, time=14.9s
[dronerf/cqfl] round 005/100: loss=1.0108, acc=0.4838, time=14.7s
[dronerf/cqfl] round 006/100: loss=0.9984, acc=0.4813, time=15.0s
[dronerf/cqfl] round 007/100: loss=0.9884, acc=0.4976, time=15.3s
[dronerf/cqfl] round 008/100: loss=0.9837, acc=0.4891, time=15.8s
[dronerf/cqfl] round 009/100: loss=0.9751, acc=0.4940, time=15.0s
[dronerf/cqfl] round 010/100: loss=1.0128, acc=0.4691, time=14.7s
[dronerf/cqfl] round 011/100: loss=0.9688, acc=0.4860, time=14.9s
[dronerf/cqfl] round 012/100: loss=0.9658, acc=0.4902, time=14.9s
[dronerf/cqfl] round 013/100: loss=0.9379, acc=0.5173, time=14.9s
[dronerf/cqfl] round 014/100: loss=0.9289, acc=0.5218, time=14.8s
[dronerf/cqfl] round 015/100: loss=0.9238, acc=0.5342, time=15.7s
[dronerf/cqfl] round 016/100: loss=0.9279, acc=0.5298, time=15.0s
[dronerf/cqfl] round 017/100: loss=0.9050, acc=0.5493, time=14.8s
[dronerf/cqfl] round 018/100: loss=0.8994, acc=0.5507, time=14.8s
[dronerf/cqfl] round 019/100: loss=0.8913, acc=0.5669, time=15.0s
[dronerf/cqfl] round 020/100: loss=0.8900, acc=0.5631, time=14.8s
[dronerf/cqfl] round 021/100: loss=0.8886, acc=0.5589, time=14.8s
[dronerf/cqfl] round 022/100: loss=0.8798, acc=0.5698, time=15.2s
[dronerf/cqfl] round 023/100: loss=0.8726, acc=0.5769, time=14.8s
[dronerf/cqfl] round 024/100: loss=0.8799, acc=0.5691, time=14.6s
[dronerf/cqfl] round 025/100: loss=0.8703, acc=0.5740, time=14.6s
[dronerf/cqfl] round 026/100: loss=0.8744, acc=0.5769, time=14.8s
[dronerf/cqfl] round 027/100: loss=0.8889, acc=0.5731, time=14.6s
[dronerf/cqfl] round 028/100: loss=0.8746, acc=0.5784, time=15.0s
[dronerf/cqfl] round 029/100: loss=0.8785, acc=0.5813, time=15.0s
[dronerf/cqfl] round 030/100: loss=0.8796, acc=0.5796, time=14.9s
[dronerf/cqfl] round 031/100: loss=0.8762, acc=0.5847, time=14.7s
[dronerf/cqfl] round 032/100: loss=0.8708, acc=0.5844, time=15.0s
[dronerf/cqfl] round 033/100: loss=0.8866, acc=0.5809, time=14.6s
[dronerf/cqfl] round 034/100: loss=0.8717, acc=0.5884, time=14.8s
[dronerf/cqfl] round 035/100: loss=0.8743, acc=0.5858, time=15.1s
[dronerf/cqfl] round 036/100: loss=0.8779, acc=0.5869, time=14.7s
[dronerf/cqfl] round 037/100: loss=0.8868, acc=0.5827, time=14.8s
[dronerf/cqfl] round 038/100: loss=0.8898, acc=0.5824, time=15.0s
[dronerf/cqfl] round 039/100: loss=0.8777, acc=0.5844, time=15.6s
[dronerf/cqfl] round 040/100: loss=0.8841, acc=0.5844, time=15.1s
[dronerf/cqfl] round 041/100: loss=0.8861, acc=0.5862, time=15.0s
[dronerf/cqfl] round 042/100: loss=0.8859, acc=0.5824, time=14.9s
[dronerf/cqfl] round 043/100: loss=0.8961, acc=0.5847, time=15.1s
[dronerf/cqfl] round 044/100: loss=0.8820, acc=0.5844, time=15.4s
[dronerf/cqfl] round 045/100: loss=0.8996, acc=0.5907, time=15.1s
[dronerf/cqfl] round 046/100: loss=0.8901, acc=0.5862, time=14.7s
[dronerf/cqfl] round 047/100: loss=0.8960, acc=0.5882, time=14.8s
[dronerf/cqfl] round 048/100: loss=0.8966, acc=0.5847, time=15.1s
[dronerf/cqfl] round 049/100: loss=0.9006, acc=0.5800, time=14.9s
[dronerf/cqfl] round 050/100: loss=0.8977, acc=0.5824, time=14.8s
[dronerf/cqfl] round 051/100: loss=0.8990, acc=0.5813, time=14.8s
[dronerf/cqfl] round 052/100: loss=0.9080, acc=0.5827, time=14.8s
[dronerf/cqfl] round 053/100: loss=0.9140, acc=0.5827, time=14.8s
[dronerf/cqfl] round 054/100: loss=0.9060, acc=0.5789, time=15.1s
[dronerf/cqfl] round 055/100: loss=0.9176, acc=0.5784, time=15.3s
[dronerf/cqfl] round 056/100: loss=0.9190, acc=0.5804, time=15.0s
[dronerf/cqfl] round 057/100: loss=0.9151, acc=0.5804, time=14.9s
[dronerf/cqfl] round 058/100: loss=0.9237, acc=0.5727, time=15.0s
[dronerf/cqfl] round 059/100: loss=0.9451, acc=0.5711, time=15.0s
[dronerf/cqfl] round 060/100: loss=0.9350, acc=0.5669, time=15.1s
[dronerf/cqfl] round 061/100: loss=0.9306, acc=0.5893, time=15.1s
[dronerf/cqfl] round 062/100: loss=0.9303, acc=0.5744, time=15.2s
[dronerf/cqfl] round 063/100: loss=0.9276, acc=0.5751, time=15.6s
[dronerf/cqfl] round 064/100: loss=0.9480, acc=0.5813, time=15.1s
[dronerf/cqfl] round 065/100: loss=0.9331, acc=0.5789, time=14.9s
[dronerf/cqfl] round 066/100: loss=0.9421, acc=0.5811, time=15.1s
[dronerf/cqfl] round 067/100: loss=0.9422, acc=0.5804, time=15.0s
[dronerf/cqfl] round 068/100: loss=0.9623, acc=0.5847, time=15.4s
[dronerf/cqfl] round 069/100: loss=0.9532, acc=0.5747, time=15.8s
[dronerf/cqfl] round 070/100: loss=0.9699, acc=0.5744, time=15.1s
[dronerf/cqfl] round 071/100: loss=0.9603, acc=0.5847, time=15.0s
[dronerf/cqfl] round 072/100: loss=0.9675, acc=0.5682, time=15.3s
[dronerf/cqfl] round 073/100: loss=0.9670, acc=0.5858, time=15.0s
[dronerf/cqfl] round 074/100: loss=0.9890, acc=0.5691, time=15.1s
[dronerf/cqfl] round 075/100: loss=0.9837, acc=0.5707, time=15.1s
[dronerf/cqfl] round 076/100: loss=0.9869, acc=0.5722, time=15.2s
[dronerf/cqfl] round 077/100: loss=1.0002, acc=0.5667, time=15.1s
[dronerf/cqfl] round 078/100: loss=0.9860, acc=0.5740, time=15.0s
[dronerf/cqfl] round 079/100: loss=1.0225, acc=0.5622, time=14.9s
[dronerf/cqfl] round 080/100: loss=1.0157, acc=0.5733, time=15.4s
[dronerf/cqfl] round 081/100: loss=1.0398, acc=0.5649, time=15.8s
[dronerf/cqfl] round 082/100: loss=1.0371, acc=0.5651, time=15.1s
[dronerf/cqfl] round 083/100: loss=1.0132, acc=0.5733, time=15.0s
[dronerf/cqfl] round 084/100: loss=1.0292, acc=0.5747, time=15.1s
[dronerf/cqfl] round 085/100: loss=1.0501, acc=0.5653, time=14.9s
[dronerf/cqfl] round 086/100: loss=1.0457, acc=0.5773, time=15.0s
[dronerf/cqfl] round 087/100: loss=1.0768, acc=0.5576, time=15.1s
[dronerf/cqfl] round 088/100: loss=1.0658, acc=0.5718, time=14.9s
[dronerf/cqfl] round 089/100: loss=1.0677, acc=0.5709, time=14.8s
[dronerf/cqfl] round 090/100: loss=1.0692, acc=0.5696, time=15.0s
[dronerf/cqfl] round 091/100: loss=1.0966, acc=0.5618, time=14.8s
[dronerf/cqfl] round 092/100: loss=1.0991, acc=0.5709, time=14.8s
[dronerf/cqfl] round 093/100: loss=1.1056, acc=0.5656, time=15.1s
[dronerf/cqfl] round 094/100: loss=1.1121, acc=0.5718, time=15.3s
[dronerf/cqfl] round 095/100: loss=1.1503, acc=0.5462, time=15.0s
[dronerf/cqfl] round 096/100: loss=1.1454, acc=0.5602, time=15.0s
[dronerf/cqfl] round 097/100: loss=1.1219, acc=0.5687, time=15.1s
[dronerf/cqfl] round 098/100: loss=1.1523, acc=0.5696, time=15.2s
[dronerf/cqfl] round 099/100: loss=1.1523, acc=0.5622, time=15.0s
[dronerf/cqfl] round 100/100: loss=1.1602, acc=0.5693, time=15.1s
completed: results/dronerf_bitfl_cqfl_tuned_final/dronerf/cqfl/seed_123_20260813_160032
