[dronerf/cqfl] round 001/50: loss=1.2709, acc=0.3907, time=30.4s
[dronerf/cqfl] round 002/50: loss=1.0348, acc=0.4631, time=28.1s
[dronerf/cqfl] round 003/50: loss=1.0182, acc=0.4756, time=28.1s
[dronerf/cqfl] round 004/50: loss=0.9952, acc=0.4911, time=27.9s
[dronerf/cqfl] round 005/50: loss=0.9871, acc=0.4973, time=27.5s
[dronerf/cqfl] round 006/50: loss=0.9789, acc=0.4853, time=27.7s
[dronerf/cqfl] round 007/50: loss=0.9669, acc=0.4856, time=27.3s
[dronerf/cqfl] round 008/50: loss=0.9646, acc=0.4973, time=27.7s
[dronerf/cqfl] round 009/50: loss=0.9393, acc=0.5209, time=28.9s
[dronerf/cqfl] round 010/50: loss=0.9250, acc=0.5389, time=29.5s
[dronerf/cqfl] round 011/50: loss=0.9250, acc=0.5389, time=28.7s
[dronerf/cqfl] round 012/50: loss=0.9250, acc=0.5389, time=28.8s
[dronerf/cqfl] round 013/50: loss=0.9138, acc=0.5562, time=28.1s
[dronerf/cqfl] round 014/50: loss=0.9219, acc=0.5498, time=27.3s
[dronerf/cqfl] round 015/50: loss=0.8945, acc=0.5538, time=28.5s
[dronerf/cqfl] round 016/50: loss=0.9077, acc=0.5520, time=30.4s
[dronerf/cqfl] round 017/50: loss=0.8837, acc=0.5660, time=28.9s
[dronerf/cqfl] round 018/50: loss=0.8753, acc=0.5696, time=29.2s
[dronerf/cqfl] round 019/50: loss=0.8686, acc=0.5733, time=27.8s
[dronerf/cqfl] round 020/50: loss=0.8686, acc=0.5733, time=28.2s
[dronerf/cqfl] round 021/50: loss=0.8820, acc=0.5693, time=27.8s
[dronerf/cqfl] round 022/50: loss=0.8719, acc=0.5767, time=27.9s
[dronerf/cqfl] round 023/50: loss=0.8695, acc=0.5818, time=27.6s
[dronerf/cqfl] round 024/50: loss=0.8685, acc=0.5793, time=28.2s
[dronerf/cqfl] round 025/50: loss=0.8685, acc=0.5793, time=30.3s
[dronerf/cqfl] round 026/50: loss=0.8725, acc=0.5829, time=29.1s
[dronerf/cqfl] round 027/50: loss=0.8719, acc=0.5753, time=29.4s
[dronerf/cqfl] round 028/50: loss=0.8789, acc=0.5791, time=29.1s
[dronerf/cqfl] round 029/50: loss=0.8741, acc=0.5824, time=28.2s
[dronerf/cqfl] round 030/50: loss=0.8791, acc=0.5776, time=28.2s
[dronerf/cqfl] round 031/50: loss=0.8850, acc=0.5787, time=30.0s
[dronerf/cqfl] round 032/50: loss=0.8886, acc=0.5836, time=29.5s
[dronerf/cqfl] round 033/50: loss=0.8886, acc=0.5836, time=29.1s
[dronerf/cqfl] round 034/50: loss=0.8886, acc=0.5836, time=28.0s
[dronerf/cqfl] round 035/50: loss=0.8789, acc=0.5829, time=28.3s
[dronerf/cqfl] round 036/50: loss=0.8832, acc=0.5842, time=28.4s
[dronerf/cqfl] round 037/50: loss=0.8832, acc=0.5842, time=29.5s
[dronerf/cqfl] round 038/50: loss=0.8862, acc=0.5924, time=29.8s
[dronerf/cqfl] round 039/50: loss=0.8993, acc=0.5782, time=29.3s
[dronerf/cqfl] round 040/50: loss=0.8975, acc=0.5831, time=28.7s
[dronerf/cqfl] round 041/50: loss=0.8975, acc=0.5831, time=28.5s
[dronerf/cqfl] round 042/50: loss=0.8975, acc=0.5831, time=28.6s
[dronerf/cqfl] round 043/50: loss=0.9024, acc=0.5749, time=28.3s
[dronerf/cqfl] round 044/50: loss=0.9024, acc=0.5749, time=27.5s
[dronerf/cqfl] round 045/50: loss=0.9024, acc=0.5749, time=27.7s
[dronerf/cqfl] round 046/50: loss=0.9005, acc=0.5836, time=27.9s
[dronerf/cqfl] round 047/50: loss=0.9120, acc=0.5822, time=27.9s
[dronerf/cqfl] round 048/50: loss=0.9125, acc=0.5844, time=27.5s
[dronerf/cqfl] round 049/50: loss=0.9052, acc=0.5836, time=28.2s
[dronerf/cqfl] round 050/50: loss=0.9204, acc=0.5924, time=29.5s
completed: results/dronerf_cqfl_optimized_final/dronerf/cqfl/seed_123_20260813_200443
