[dronerf/bitfl] round 001/100: loss=1.3032, acc=0.3722, time=12.8s
[dronerf/bitfl] round 002/100: loss=1.2659, acc=0.3742, time=11.8s
[dronerf/bitfl] round 003/100: loss=1.2401, acc=0.3849, time=11.8s
[dronerf/bitfl] round 004/100: loss=1.2383, acc=0.3904, time=11.7s
[dronerf/bitfl] round 005/100: loss=1.2657, acc=0.3880, time=11.7s
[dronerf/bitfl] round 006/100: loss=1.2552, acc=0.3902, time=11.6s
[dronerf/bitfl] round 007/100: loss=1.2944, acc=0.3942, time=11.7s
[dronerf/bitfl] round 008/100: loss=1.2033, acc=0.4047, time=11.2s
[dronerf/bitfl] round 009/100: loss=1.1720, acc=0.4511, time=11.1s
[dronerf/bitfl] round 010/100: loss=1.1350, acc=0.4624, time=11.0s
[dronerf/bitfl] round 011/100: loss=1.1609, acc=0.4547, time=11.6s
[dronerf/bitfl] round 012/100: loss=1.1766, acc=0.4267, time=11.8s
[dronerf/bitfl] round 013/100: loss=1.1917, acc=0.4116, time=11.7s
[dronerf/bitfl] round 014/100: loss=1.2024, acc=0.4131, time=11.8s
[dronerf/bitfl] round 015/100: loss=1.0057, acc=0.4771, time=11.6s
[dronerf/bitfl] round 016/100: loss=0.9128, acc=0.4880, time=11.7s
[dronerf/bitfl] round 017/100: loss=0.8287, acc=0.6198, time=11.3s
[dronerf/bitfl] round 018/100: loss=0.8159, acc=0.6060, time=11.2s
[dronerf/bitfl] round 019/100: loss=0.7899, acc=0.6284, time=11.1s
[dronerf/bitfl] round 020/100: loss=0.7863, acc=0.6300, time=11.7s
[dronerf/bitfl] round 021/100: loss=0.8914, acc=0.5933, time=11.8s
[dronerf/bitfl] round 022/100: loss=0.7686, acc=0.6384, time=12.0s
[dronerf/bitfl] round 023/100: loss=0.7487, acc=0.6456, time=11.8s
[dronerf/bitfl] round 024/100: loss=0.7503, acc=0.6458, time=11.9s
[dronerf/bitfl] round 025/100: loss=0.7434, acc=0.6444, time=11.7s
[dronerf/bitfl] round 026/100: loss=0.7344, acc=0.6471, time=11.2s
[dronerf/bitfl] round 027/100: loss=0.7957, acc=0.5842, time=11.2s
[dronerf/bitfl] round 028/100: loss=0.7898, acc=0.5809, time=11.3s
[dronerf/bitfl] round 029/100: loss=0.7902, acc=0.5842, time=11.6s
[dronerf/bitfl] round 030/100: loss=0.7299, acc=0.6302, time=11.5s
[dronerf/bitfl] round 031/100: loss=0.7410, acc=0.6427, time=11.5s
[dronerf/bitfl] round 032/100: loss=0.7640, acc=0.6389, time=11.6s
[dronerf/bitfl] round 033/100: loss=0.8441, acc=0.6173, time=11.7s
[dronerf/bitfl] round 034/100: loss=0.7884, acc=0.6231, time=11.7s
[dronerf/bitfl] round 035/100: loss=0.7299, acc=0.6433, time=11.3s
[dronerf/bitfl] round 036/100: loss=0.7167, acc=0.6460, time=11.1s
[dronerf/bitfl] round 037/100: loss=0.7391, acc=0.6453, time=11.6s
[dronerf/bitfl] round 038/100: loss=0.7821, acc=0.6329, time=11.7s
[dronerf/bitfl] round 039/100: loss=0.7279, acc=0.6556, time=11.6s
[dronerf/bitfl] round 040/100: loss=0.7238, acc=0.6496, time=11.8s
[dronerf/bitfl] round 041/100: loss=0.7166, acc=0.6520, time=11.7s
[dronerf/bitfl] round 042/100: loss=0.7684, acc=0.5967, time=11.5s
[dronerf/bitfl] round 043/100: loss=0.7371, acc=0.6207, time=11.3s
[dronerf/bitfl] round 044/100: loss=0.7483, acc=0.6109, time=11.4s
[dronerf/bitfl] round 045/100: loss=0.7231, acc=0.6429, time=11.8s
[dronerf/bitfl] round 046/100: loss=0.7343, acc=0.6460, time=11.6s
[dronerf/bitfl] round 047/100: loss=0.7265, acc=0.6438, time=11.6s
[dronerf/bitfl] round 048/100: loss=0.7376, acc=0.6467, time=11.6s
[dronerf/bitfl] round 049/100: loss=0.7534, acc=0.6342, time=11.6s
[dronerf/bitfl] round 050/100: loss=0.7469, acc=0.6267, time=11.1s
[dronerf/bitfl] round 051/100: loss=0.7354, acc=0.6420, time=10.9s
[dronerf/bitfl] round 052/100: loss=0.7174, acc=0.6513, time=11.4s
[dronerf/bitfl] round 053/100: loss=0.7546, acc=0.6080, time=11.7s
[dronerf/bitfl] round 054/100: loss=0.7558, acc=0.6291, time=11.6s
[dronerf/bitfl] round 055/100: loss=0.7495, acc=0.6164, time=11.6s
[dronerf/bitfl] round 056/100: loss=0.7637, acc=0.6013, time=11.5s
[dronerf/bitfl] round 057/100: loss=0.7641, acc=0.6013, time=11.6s
[dronerf/bitfl] round 058/100: loss=0.7820, acc=0.5993, time=10.9s
[dronerf/bitfl] round 059/100: loss=0.7442, acc=0.6269, time=10.9s
[dronerf/bitfl] round 060/100: loss=0.7452, acc=0.6262, time=11.2s
[dronerf/bitfl] round 061/100: loss=0.7411, acc=0.6422, time=11.4s
[dronerf/bitfl] round 062/100: loss=0.7653, acc=0.6416, time=11.5s
[dronerf/bitfl] round 063/100: loss=0.7646, acc=0.6502, time=11.7s
[dronerf/bitfl] round 064/100: loss=0.8057, acc=0.6480, time=11.6s
[dronerf/bitfl] round 065/100: loss=0.7938, acc=0.6458, time=11.7s
[dronerf/bitfl] round 066/100: loss=0.7514, acc=0.6482, time=11.7s
[dronerf/bitfl] round 067/100: loss=0.7355, acc=0.6327, time=11.1s
[dronerf/bitfl] round 068/100: loss=0.7315, acc=0.6384, time=11.0s
[dronerf/bitfl] round 069/100: loss=0.7340, acc=0.6471, time=11.3s
[dronerf/bitfl] round 070/100: loss=0.7637, acc=0.6471, time=11.6s
[dronerf/bitfl] round 071/100: loss=0.7399, acc=0.6442, time=11.6s
[dronerf/bitfl] round 072/100: loss=0.7851, acc=0.6104, time=11.6s
[dronerf/bitfl] round 073/100: loss=0.7971, acc=0.6042, time=11.7s
[dronerf/bitfl] round 074/100: loss=0.8446, acc=0.5902, time=11.7s
[dronerf/bitfl] round 075/100: loss=0.8862, acc=0.5616, time=11.6s
[dronerf/bitfl] round 076/100: loss=0.9170, acc=0.5558, time=11.2s
[dronerf/bitfl] round 077/100: loss=0.8050, acc=0.5953, time=11.1s
[dronerf/bitfl] round 078/100: loss=0.8034, acc=0.6004, time=11.1s
[dronerf/bitfl] round 079/100: loss=0.7396, acc=0.6496, time=11.5s
[dronerf/bitfl] round 080/100: loss=0.7458, acc=0.6424, time=11.4s
[dronerf/bitfl] round 081/100: loss=0.7535, acc=0.6520, time=11.5s
[dronerf/bitfl] round 082/100: loss=0.7650, acc=0.6513, time=11.4s
[dronerf/bitfl] round 083/100: loss=0.7641, acc=0.6333, time=11.4s
[dronerf/bitfl] round 084/100: loss=0.8247, acc=0.6027, time=11.4s
[dronerf/bitfl] round 085/100: loss=0.7508, acc=0.6438, time=11.2s
[dronerf/bitfl] round 086/100: loss=1.1678, acc=0.5140, time=11.2s
[dronerf/bitfl] round 087/100: loss=0.9024, acc=0.5582, time=11.3s
[dronerf/bitfl] round 088/100: loss=0.7745, acc=0.6422, time=11.7s
[dronerf/bitfl] round 089/100: loss=0.8025, acc=0.6438, time=11.5s
[dronerf/bitfl] round 090/100: loss=0.8040, acc=0.6460, time=11.5s
