[dronerf/cqfl] round 001/100: loss=1.7683, acc=0.2887, time=15.5s
[dronerf/cqfl] round 002/100: loss=1.3207, acc=0.4049, time=15.4s
[dronerf/cqfl] round 003/100: loss=1.1461, acc=0.4331, time=15.6s
[dronerf/cqfl] round 004/100: loss=1.0745, acc=0.4551, time=15.3s
[dronerf/cqfl] round 005/100: loss=1.0505, acc=0.4640, time=14.8s
[dronerf/cqfl] round 006/100: loss=1.0358, acc=0.4784, time=14.8s
[dronerf/cqfl] round 007/100: loss=1.0243, acc=0.4802, time=14.9s
[dronerf/cqfl] round 008/100: loss=1.0151, acc=0.4862, time=15.1s
[dronerf/cqfl] round 009/100: loss=1.0127, acc=0.4896, time=15.3s
[dronerf/cqfl] round 010/100: loss=1.0081, acc=0.4996, time=15.4s
[dronerf/cqfl] round 011/100: loss=1.0055, acc=0.4969, time=15.9s
[dronerf/cqfl] round 012/100: loss=1.0033, acc=0.4947, time=14.9s
[dronerf/cqfl] round 013/100: loss=1.0006, acc=0.4920, time=14.9s
[dronerf/cqfl] round 014/100: loss=0.9962, acc=0.4880, time=15.2s
[dronerf/cqfl] round 015/100: loss=0.9960, acc=0.4969, time=15.4s
[dronerf/cqfl] round 016/100: loss=0.9936, acc=0.4900, time=15.3s
[dronerf/cqfl] round 017/100: loss=0.9885, acc=0.4900, time=15.6s
[dronerf/cqfl] round 018/100: loss=0.9888, acc=0.4956, time=16.1s
[dronerf/cqfl] round 019/100: loss=0.9856, acc=0.4904, time=15.5s
[dronerf/cqfl] round 020/100: loss=0.9858, acc=0.4738, time=15.3s
[dronerf/cqfl] round 021/100: loss=0.9858, acc=0.4733, time=15.4s
[dronerf/cqfl] round 022/100: loss=0.9797, acc=0.4878, time=15.3s
[dronerf/cqfl] round 023/100: loss=0.9818, acc=0.4784, time=15.1s
[dronerf/cqfl] round 024/100: loss=0.9865, acc=0.4747, time=15.3s
[dronerf/cqfl] round 025/100: loss=0.9843, acc=0.4762, time=15.8s
[dronerf/cqfl] round 026/100: loss=0.9833, acc=0.4856, time=16.1s
[dronerf/cqfl] round 027/100: loss=0.9789, acc=0.4791, time=14.8s
[dronerf/cqfl] round 028/100: loss=0.9802, acc=0.4784, time=15.3s
[dronerf/cqfl] round 029/100: loss=0.9910, acc=0.4696, time=15.3s
