[dronerf/fedavg_fp32] round 001/100: loss=1.2874, acc=0.3900, time=12.6s
[dronerf/fedavg_fp32] round 002/100: loss=1.2591, acc=0.3960, time=11.3s
[dronerf/fedavg_fp32] round 003/100: loss=1.2383, acc=0.3967, time=11.7s
[dronerf/fedavg_fp32] round 004/100: loss=1.2261, acc=0.3949, time=11.7s
[dronerf/fedavg_fp32] round 005/100: loss=1.2220, acc=0.4004, time=12.4s
[dronerf/fedavg_fp32] round 006/100: loss=1.2057, acc=0.4016, time=11.8s
[dronerf/fedavg_fp32] round 007/100: loss=1.1980, acc=0.4071, time=12.7s
[dronerf/fedavg_fp32] round 008/100: loss=1.1912, acc=0.4129, time=11.8s
[dronerf/fedavg_fp32] round 009/100: loss=1.1704, acc=0.4142, time=11.7s
[dronerf/fedavg_fp32] round 010/100: loss=1.1562, acc=0.4229, time=11.3s
[dronerf/fedavg_fp32] round 011/100: loss=1.1367, acc=0.4298, time=11.5s
[dronerf/fedavg_fp32] round 012/100: loss=1.1206, acc=0.4336, time=11.5s
[dronerf/fedavg_fp32] round 013/100: loss=1.0108, acc=0.4438, time=11.7s
[dronerf/fedavg_fp32] round 014/100: loss=1.0115, acc=0.4478, time=11.7s
[dronerf/fedavg_fp32] round 015/100: loss=0.9410, acc=0.4927, time=11.7s
[dronerf/fedavg_fp32] round 016/100: loss=0.8952, acc=0.5280, time=11.7s
[dronerf/fedavg_fp32] round 017/100: loss=0.8986, acc=0.5200, time=11.7s
[dronerf/fedavg_fp32] round 018/100: loss=0.8255, acc=0.5871, time=11.3s
[dronerf/fedavg_fp32] round 019/100: loss=0.8044, acc=0.6136, time=11.4s
[dronerf/fedavg_fp32] round 020/100: loss=0.7955, acc=0.6022, time=11.5s
[dronerf/fedavg_fp32] round 021/100: loss=0.7518, acc=0.6260, time=11.4s
[dronerf/fedavg_fp32] round 022/100: loss=0.7418, acc=0.6242, time=11.4s
[dronerf/fedavg_fp32] round 023/100: loss=0.7319, acc=0.6296, time=11.5s
[dronerf/fedavg_fp32] round 024/100: loss=0.7494, acc=0.6238, time=11.5s
[dronerf/fedavg_fp32] round 025/100: loss=0.7524, acc=0.6249, time=11.6s
[dronerf/fedavg_fp32] round 026/100: loss=0.7396, acc=0.6278, time=11.4s
[dronerf/fedavg_fp32] round 027/100: loss=0.7413, acc=0.6282, time=11.6s
[dronerf/fedavg_fp32] round 028/100: loss=0.7420, acc=0.6342, time=11.6s
[dronerf/fedavg_fp32] round 029/100: loss=0.7427, acc=0.6338, time=11.9s
[dronerf/fedavg_fp32] round 030/100: loss=0.7450, acc=0.6309, time=11.6s
[dronerf/fedavg_fp32] round 031/100: loss=0.7368, acc=0.6336, time=11.7s
[dronerf/fedavg_fp32] round 032/100: loss=0.7327, acc=0.6340, time=11.6s
[dronerf/fedavg_fp32] round 033/100: loss=0.7469, acc=0.6267, time=11.6s
[dronerf/fedavg_fp32] round 034/100: loss=0.7380, acc=0.6347, time=11.6s
[dronerf/fedavg_fp32] round 035/100: loss=0.7524, acc=0.6249, time=11.4s
[dronerf/fedavg_fp32] round 036/100: loss=0.7379, acc=0.6358, time=12.0s
[dronerf/fedavg_fp32] round 037/100: loss=0.7463, acc=0.6322, time=11.8s
[dronerf/fedavg_fp32] round 038/100: loss=0.7518, acc=0.6269, time=13.1s
[dronerf/fedavg_fp32] round 039/100: loss=0.7456, acc=0.6329, time=12.1s
[dronerf/fedavg_fp32] round 040/100: loss=0.7518, acc=0.6324, time=11.5s
[dronerf/fedavg_fp32] round 041/100: loss=0.7735, acc=0.6262, time=11.5s
[dronerf/fedavg_fp32] round 042/100: loss=0.7534, acc=0.6300, time=11.7s
[dronerf/fedavg_fp32] round 043/100: loss=0.7557, acc=0.6302, time=11.0s
[dronerf/fedavg_fp32] round 044/100: loss=0.7601, acc=0.6287, time=10.9s
[dronerf/fedavg_fp32] round 045/100: loss=0.7667, acc=0.6276, time=12.1s
[dronerf/fedavg_fp32] round 046/100: loss=0.7617, acc=0.6276, time=12.2s
[dronerf/fedavg_fp32] round 047/100: loss=0.7704, acc=0.6271, time=11.6s
[dronerf/fedavg_fp32] round 048/100: loss=0.7705, acc=0.6287, time=11.6s
[dronerf/fedavg_fp32] round 049/100: loss=0.7826, acc=0.6240, time=11.5s
[dronerf/fedavg_fp32] round 050/100: loss=0.7735, acc=0.6251, time=11.3s
[dronerf/fedavg_fp32] round 051/100: loss=0.7743, acc=0.6238, time=11.3s
[dronerf/fedavg_fp32] round 052/100: loss=0.7796, acc=0.6236, time=11.1s
[dronerf/fedavg_fp32] round 053/100: loss=0.7825, acc=0.6287, time=11.0s
[dronerf/fedavg_fp32] round 054/100: loss=0.7965, acc=0.6209, time=11.4s
[dronerf/fedavg_fp32] round 055/100: loss=0.8165, acc=0.6100, time=11.4s
[dronerf/fedavg_fp32] round 056/100: loss=0.7929, acc=0.6218, time=11.5s
[dronerf/fedavg_fp32] round 057/100: loss=0.8050, acc=0.6238, time=11.6s
[dronerf/fedavg_fp32] round 058/100: loss=0.8061, acc=0.6196, time=11.5s
[dronerf/fedavg_fp32] round 059/100: loss=0.8211, acc=0.6138, time=11.4s
[dronerf/fedavg_fp32] round 060/100: loss=0.8143, acc=0.6207, time=11.1s
[dronerf/fedavg_fp32] round 061/100: loss=0.8118, acc=0.6224, time=10.8s
[dronerf/fedavg_fp32] round 062/100: loss=0.8287, acc=0.6193, time=11.3s
[dronerf/fedavg_fp32] round 063/100: loss=0.8225, acc=0.6198, time=11.3s
[dronerf/fedavg_fp32] round 064/100: loss=0.8242, acc=0.6171, time=11.4s
[dronerf/fedavg_fp32] round 065/100: loss=0.8357, acc=0.6189, time=11.4s
[dronerf/fedavg_fp32] round 066/100: loss=0.8327, acc=0.6191, time=11.3s
[dronerf/fedavg_fp32] round 067/100: loss=0.8443, acc=0.6127, time=11.2s
[dronerf/fedavg_fp32] round 068/100: loss=0.8453, acc=0.6120, time=11.1s
[dronerf/fedavg_fp32] round 069/100: loss=0.8439, acc=0.6136, time=11.0s
[dronerf/fedavg_fp32] round 070/100: loss=0.8456, acc=0.6169, time=12.6s
[dronerf/fedavg_fp32] round 071/100: loss=0.8517, acc=0.6180, time=11.4s
[dronerf/fedavg_fp32] round 072/100: loss=0.8515, acc=0.6180, time=11.5s
[dronerf/fedavg_fp32] round 073/100: loss=0.8587, acc=0.6164, time=11.3s
[dronerf/fedavg_fp32] round 074/100: loss=0.8642, acc=0.6171, time=11.5s
[dronerf/fedavg_fp32] round 075/100: loss=0.8594, acc=0.6193, time=11.2s
[dronerf/fedavg_fp32] round 076/100: loss=0.8732, acc=0.6138, time=11.0s
[dronerf/fedavg_fp32] round 077/100: loss=0.8643, acc=0.6162, time=10.9s
[dronerf/fedavg_fp32] round 078/100: loss=0.8664, acc=0.6164, time=11.6s
[dronerf/fedavg_fp32] round 079/100: loss=0.8790, acc=0.6182, time=11.7s
[dronerf/fedavg_fp32] round 080/100: loss=0.8836, acc=0.6107, time=11.7s
[dronerf/fedavg_fp32] round 081/100: loss=0.8873, acc=0.6171, time=12.3s
[dronerf/fedavg_fp32] round 082/100: loss=0.8981, acc=0.6100, time=11.4s
[dronerf/fedavg_fp32] round 083/100: loss=0.8898, acc=0.6196, time=11.4s
[dronerf/fedavg_fp32] round 084/100: loss=0.9191, acc=0.6100, time=11.0s
[dronerf/fedavg_fp32] round 085/100: loss=0.9126, acc=0.6129, time=11.6s
[dronerf/fedavg_fp32] round 086/100: loss=0.9042, acc=0.6162, time=12.3s
[dronerf/fedavg_fp32] round 087/100: loss=0.9094, acc=0.6138, time=12.0s
[dronerf/fedavg_fp32] round 088/100: loss=0.9192, acc=0.6096, time=11.8s
[dronerf/fedavg_fp32] round 089/100: loss=0.9307, acc=0.6122, time=11.5s
[dronerf/fedavg_fp32] round 090/100: loss=0.9314, acc=0.6162, time=11.4s
[dronerf/fedavg_fp32] round 091/100: loss=0.9364, acc=0.6164, time=11.4s
[dronerf/fedavg_fp32] round 092/100: loss=0.9382, acc=0.6153, time=11.4s
[dronerf/fedavg_fp32] round 093/100: loss=0.9438, acc=0.6109, time=10.9s
[dronerf/fedavg_fp32] round 094/100: loss=0.9540, acc=0.6118, time=10.8s
[dronerf/fedavg_fp32] round 095/100: loss=0.9510, acc=0.6118, time=10.7s
[dronerf/fedavg_fp32] round 096/100: loss=0.9605, acc=0.6140, time=11.4s
[dronerf/fedavg_fp32] round 097/100: loss=0.9477, acc=0.6144, time=11.4s
[dronerf/fedavg_fp32] round 098/100: loss=0.9619, acc=0.6056, time=11.3s
[dronerf/fedavg_fp32] round 099/100: loss=0.9753, acc=0.6071, time=11.4s
[dronerf/fedavg_fp32] round 100/100: loss=0.9785, acc=0.6113, time=11.5s
completed: results/experiment1_five_v1_final/dronerf/fedavg_fp32/seed_123_20260812_181029
