[dronerf/signsgd] round 001/100: loss=1.3696, acc=0.3636, time=10.1s
[dronerf/signsgd] round 002/100: loss=1.3362, acc=0.3456, time=8.9s
[dronerf/signsgd] round 003/100: loss=1.3105, acc=0.3451, time=8.9s
[dronerf/signsgd] round 004/100: loss=1.2918, acc=0.3562, time=9.0s
[dronerf/signsgd] round 005/100: loss=1.2773, acc=0.3629, time=9.4s
[dronerf/signsgd] round 006/100: loss=1.2661, acc=0.3702, time=9.3s
[dronerf/signsgd] round 007/100: loss=1.2565, acc=0.3758, time=9.3s
[dronerf/signsgd] round 008/100: loss=1.2470, acc=0.3767, time=9.3s
[dronerf/signsgd] round 009/100: loss=1.2383, acc=0.3953, time=9.3s
[dronerf/signsgd] round 010/100: loss=1.2297, acc=0.4127, time=9.2s
[dronerf/signsgd] round 011/100: loss=1.2210, acc=0.4180, time=9.2s
[dronerf/signsgd] round 012/100: loss=1.2126, acc=0.4289, time=9.1s
[dronerf/signsgd] round 013/100: loss=1.2042, acc=0.4358, time=8.7s
[dronerf/signsgd] round 014/100: loss=1.1958, acc=0.4347, time=8.7s
[dronerf/signsgd] round 015/100: loss=1.1880, acc=0.4369, time=8.8s
[dronerf/signsgd] round 016/100: loss=1.1807, acc=0.4382, time=9.2s
[dronerf/signsgd] round 017/100: loss=1.1739, acc=0.4404, time=9.2s
[dronerf/signsgd] round 018/100: loss=1.1676, acc=0.4411, time=9.2s
[dronerf/signsgd] round 019/100: loss=1.1619, acc=0.4424, time=9.4s
[dronerf/signsgd] round 020/100: loss=1.1570, acc=0.4438, time=9.3s
[dronerf/signsgd] round 021/100: loss=1.1524, acc=0.4429, time=9.3s
[dronerf/signsgd] round 022/100: loss=1.1486, acc=0.4440, time=9.2s
[dronerf/signsgd] round 023/100: loss=1.1449, acc=0.4436, time=9.2s
[dronerf/signsgd] round 024/100: loss=1.1418, acc=0.4440, time=8.9s
[dronerf/signsgd] round 025/100: loss=1.1390, acc=0.4444, time=8.8s
[dronerf/signsgd] round 026/100: loss=1.1359, acc=0.4451, time=8.8s
[dronerf/signsgd] round 027/100: loss=1.1335, acc=0.4464, time=8.9s
[dronerf/signsgd] round 028/100: loss=1.1313, acc=0.4464, time=9.2s
[dronerf/signsgd] round 029/100: loss=1.1290, acc=0.4469, time=9.3s
[dronerf/signsgd] round 030/100: loss=1.1269, acc=0.4476, time=9.4s
[dronerf/signsgd] round 031/100: loss=1.1249, acc=0.4487, time=9.4s
[dronerf/signsgd] round 032/100: loss=1.1233, acc=0.4491, time=9.3s
[dronerf/signsgd] round 033/100: loss=1.1211, acc=0.4504, time=9.2s
[dronerf/signsgd] round 034/100: loss=1.1194, acc=0.4502, time=9.3s
[dronerf/signsgd] round 035/100: loss=1.1176, acc=0.4507, time=9.0s
[dronerf/signsgd] round 036/100: loss=1.1154, acc=0.4509, time=8.7s
[dronerf/signsgd] round 037/100: loss=1.1138, acc=0.4511, time=8.7s
[dronerf/signsgd] round 038/100: loss=1.1118, acc=0.4516, time=8.8s
[dronerf/signsgd] round 039/100: loss=1.1099, acc=0.4513, time=9.3s
[dronerf/signsgd] round 040/100: loss=1.1084, acc=0.4524, time=9.2s
[dronerf/signsgd] round 041/100: loss=1.1068, acc=0.4533, time=9.2s
[dronerf/signsgd] round 042/100: loss=1.1054, acc=0.4538, time=9.3s
[dronerf/signsgd] round 043/100: loss=1.1041, acc=0.4540, time=9.4s
[dronerf/signsgd] round 044/100: loss=1.1026, acc=0.4547, time=9.4s
[dronerf/signsgd] round 045/100: loss=1.1013, acc=0.4549, time=9.4s
[dronerf/signsgd] round 046/100: loss=1.1000, acc=0.4560, time=9.1s
[dronerf/signsgd] round 047/100: loss=1.0986, acc=0.4567, time=8.8s
[dronerf/signsgd] round 048/100: loss=1.0973, acc=0.4567, time=9.4s
[dronerf/signsgd] round 049/100: loss=1.0959, acc=0.4573, time=9.4s
[dronerf/signsgd] round 050/100: loss=1.0945, acc=0.4578, time=9.7s
[dronerf/signsgd] round 051/100: loss=1.0933, acc=0.4584, time=10.2s
[dronerf/signsgd] round 052/100: loss=1.0919, acc=0.4596, time=10.4s
[dronerf/signsgd] round 053/100: loss=1.0906, acc=0.4593, time=10.2s
[dronerf/signsgd] round 054/100: loss=1.0896, acc=0.4593, time=9.5s
[dronerf/signsgd] round 055/100: loss=1.0885, acc=0.4598, time=10.4s
[dronerf/signsgd] round 056/100: loss=1.0877, acc=0.4600, time=9.1s
[dronerf/signsgd] round 057/100: loss=1.0867, acc=0.4609, time=8.9s
[dronerf/signsgd] round 058/100: loss=1.0854, acc=0.4616, time=8.8s
[dronerf/signsgd] round 059/100: loss=1.0847, acc=0.4624, time=8.9s
[dronerf/signsgd] round 060/100: loss=1.0837, acc=0.4633, time=9.2s
[dronerf/signsgd] round 061/100: loss=1.0828, acc=0.4642, time=9.2s
[dronerf/signsgd] round 062/100: loss=1.0816, acc=0.4647, time=9.3s
[dronerf/signsgd] round 063/100: loss=1.0810, acc=0.4658, time=9.2s
[dronerf/signsgd] round 064/100: loss=1.0800, acc=0.4656, time=9.2s
[dronerf/signsgd] round 065/100: loss=1.0793, acc=0.4656, time=9.2s
[dronerf/signsgd] round 066/100: loss=1.0785, acc=0.4673, time=9.2s
[dronerf/signsgd] round 067/100: loss=1.0779, acc=0.4671, time=9.0s
[dronerf/signsgd] round 068/100: loss=1.0773, acc=0.4664, time=9.0s
[dronerf/signsgd] round 069/100: loss=1.0762, acc=0.4671, time=9.0s
[dronerf/signsgd] round 070/100: loss=1.0753, acc=0.4673, time=9.4s
[dronerf/signsgd] round 071/100: loss=1.0746, acc=0.4676, time=9.3s
[dronerf/signsgd] round 072/100: loss=1.0738, acc=0.4687, time=9.3s
[dronerf/signsgd] round 073/100: loss=1.0730, acc=0.4689, time=9.3s
[dronerf/signsgd] round 074/100: loss=1.0722, acc=0.4684, time=9.2s
[dronerf/signsgd] round 075/100: loss=1.0716, acc=0.4691, time=9.3s
[dronerf/signsgd] round 076/100: loss=1.0707, acc=0.4707, time=9.3s
[dronerf/signsgd] round 077/100: loss=1.0699, acc=0.4709, time=8.9s
[dronerf/signsgd] round 078/100: loss=1.0694, acc=0.4709, time=8.6s
[dronerf/signsgd] round 079/100: loss=1.0686, acc=0.4709, time=8.8s
[dronerf/signsgd] round 080/100: loss=1.0678, acc=0.4707, time=9.3s
[dronerf/signsgd] round 081/100: loss=1.0670, acc=0.4713, time=9.3s
[dronerf/signsgd] round 082/100: loss=1.0665, acc=0.4707, time=9.3s
[dronerf/signsgd] round 083/100: loss=1.0660, acc=0.4709, time=9.4s
[dronerf/signsgd] round 084/100: loss=1.0654, acc=0.4704, time=9.3s
[dronerf/signsgd] round 085/100: loss=1.0648, acc=0.4696, time=9.2s
[dronerf/signsgd] round 086/100: loss=1.0641, acc=0.4709, time=9.3s
[dronerf/signsgd] round 087/100: loss=1.0634, acc=0.4707, time=8.9s
[dronerf/signsgd] round 088/100: loss=1.0627, acc=0.4702, time=8.8s
[dronerf/signsgd] round 089/100: loss=1.0623, acc=0.4700, time=8.7s
[dronerf/signsgd] round 090/100: loss=1.0618, acc=0.4704, time=9.4s
[dronerf/signsgd] round 091/100: loss=1.0612, acc=0.4702, time=9.3s
[dronerf/signsgd] round 092/100: loss=1.0607, acc=0.4704, time=9.4s
[dronerf/signsgd] round 093/100: loss=1.0602, acc=0.4709, time=9.3s
[dronerf/signsgd] round 094/100: loss=1.0595, acc=0.4707, time=9.3s
[dronerf/signsgd] round 095/100: loss=1.0589, acc=0.4718, time=9.3s
[dronerf/signsgd] round 096/100: loss=1.0583, acc=0.4704, time=9.3s
[dronerf/signsgd] round 097/100: loss=1.0577, acc=0.4709, time=8.7s
[dronerf/signsgd] round 098/100: loss=1.0571, acc=0.4711, time=9.0s
[dronerf/signsgd] round 099/100: loss=1.0566, acc=0.4709, time=8.9s
