[dronerf/w2_fp32_adam] round 001/100: loss=1.5105, acc=0.3384, time=14.9s
[dronerf/w2_fp32_adam] round 002/100: loss=1.1850, acc=0.4231, time=14.6s
[dronerf/w2_fp32_adam] round 003/100: loss=1.0703, acc=0.4542, time=14.6s
[dronerf/w2_fp32_adam] round 004/100: loss=1.0245, acc=0.4660, time=14.1s
[dronerf/w2_fp32_adam] round 005/100: loss=1.0008, acc=0.4820, time=14.4s
[dronerf/w2_fp32_adam] round 006/100: loss=0.9784, acc=0.4924, time=14.7s
[dronerf/w2_fp32_adam] round 007/100: loss=0.9641, acc=0.5024, time=14.6s
[dronerf/w2_fp32_adam] round 008/100: loss=0.9545, acc=0.5260, time=14.1s
[dronerf/w2_fp32_adam] round 009/100: loss=0.9433, acc=0.5293, time=14.4s
[dronerf/w2_fp32_adam] round 010/100: loss=0.9321, acc=0.5267, time=14.6s
[dronerf/w2_fp32_adam] round 011/100: loss=0.9277, acc=0.5382, time=14.6s
[dronerf/w2_fp32_adam] round 012/100: loss=0.9208, acc=0.5413, time=14.3s
[dronerf/w2_fp32_adam] round 013/100: loss=0.9086, acc=0.5571, time=14.0s
[dronerf/w2_fp32_adam] round 014/100: loss=0.9024, acc=0.5611, time=14.8s
[dronerf/w2_fp32_adam] round 015/100: loss=0.8948, acc=0.5713, time=14.7s
[dronerf/w2_fp32_adam] round 016/100: loss=0.8889, acc=0.5664, time=14.4s
[dronerf/w2_fp32_adam] round 017/100: loss=0.8816, acc=0.5716, time=13.9s
[dronerf/w2_fp32_adam] round 018/100: loss=0.8769, acc=0.5624, time=14.6s
[dronerf/w2_fp32_adam] round 019/100: loss=0.8724, acc=0.5693, time=14.7s
[dronerf/w2_fp32_adam] round 020/100: loss=0.8643, acc=0.5720, time=14.6s
[dronerf/w2_fp32_adam] round 021/100: loss=0.8601, acc=0.5796, time=14.2s
[dronerf/w2_fp32_adam] round 022/100: loss=0.8568, acc=0.5827, time=14.6s
[dronerf/w2_fp32_adam] round 023/100: loss=0.8524, acc=0.5842, time=14.7s
[dronerf/w2_fp32_adam] round 024/100: loss=0.8499, acc=0.5733, time=14.5s
[dronerf/w2_fp32_adam] round 025/100: loss=0.8459, acc=0.5829, time=14.0s
[dronerf/w2_fp32_adam] round 026/100: loss=0.8475, acc=0.5884, time=14.5s
[dronerf/w2_fp32_adam] round 027/100: loss=0.8406, acc=0.5862, time=14.5s
[dronerf/w2_fp32_adam] round 028/100: loss=0.8465, acc=0.5873, time=14.7s
[dronerf/w2_fp32_adam] round 029/100: loss=0.8409, acc=0.5878, time=14.2s
[dronerf/w2_fp32_adam] round 030/100: loss=0.8378, acc=0.5920, time=14.6s
[dronerf/w2_fp32_adam] round 031/100: loss=0.8365, acc=0.5824, time=14.5s
[dronerf/w2_fp32_adam] round 032/100: loss=0.8357, acc=0.5907, time=14.5s
[dronerf/w2_fp32_adam] round 033/100: loss=0.8318, acc=0.5913, time=13.9s
[dronerf/w2_fp32_adam] round 034/100: loss=0.8342, acc=0.5927, time=14.3s
[dronerf/w2_fp32_adam] round 035/100: loss=0.8284, acc=0.5933, time=14.4s
[dronerf/w2_fp32_adam] round 036/100: loss=0.8280, acc=0.5909, time=14.4s
[dronerf/w2_fp32_adam] round 037/100: loss=0.8316, acc=0.5958, time=14.1s
[dronerf/w2_fp32_adam] round 038/100: loss=0.8277, acc=0.5940, time=14.6s
[dronerf/w2_fp32_adam] round 039/100: loss=0.8250, acc=0.5929, time=14.6s
[dronerf/w2_fp32_adam] round 040/100: loss=0.8287, acc=0.5949, time=15.9s
[dronerf/w2_fp32_adam] round 041/100: loss=0.8262, acc=0.5976, time=15.1s
[dronerf/w2_fp32_adam] round 042/100: loss=0.8244, acc=0.5964, time=14.9s
[dronerf/w2_fp32_adam] round 043/100: loss=0.8279, acc=0.5953, time=15.1s
[dronerf/w2_fp32_adam] round 044/100: loss=0.8251, acc=0.5942, time=14.7s
[dronerf/w2_fp32_adam] round 045/100: loss=0.8279, acc=0.5989, time=14.2s
[dronerf/w2_fp32_adam] round 046/100: loss=0.8246, acc=0.5973, time=15.0s
[dronerf/w2_fp32_adam] round 047/100: loss=0.8245, acc=0.5971, time=14.6s
[dronerf/w2_fp32_adam] round 048/100: loss=0.8280, acc=0.5982, time=14.7s
[dronerf/w2_fp32_adam] round 049/100: loss=0.8365, acc=0.5989, time=14.3s
[dronerf/w2_fp32_adam] round 050/100: loss=0.8232, acc=0.5989, time=14.4s
[dronerf/w2_fp32_adam] round 051/100: loss=0.8226, acc=0.5933, time=14.6s
[dronerf/w2_fp32_adam] round 052/100: loss=0.8234, acc=0.6009, time=15.8s
[dronerf/w2_fp32_adam] round 053/100: loss=0.8227, acc=0.6018, time=14.7s
[dronerf/w2_fp32_adam] round 054/100: loss=0.8239, acc=0.6000, time=14.4s
[dronerf/w2_fp32_adam] round 055/100: loss=0.8245, acc=0.5991, time=14.9s
[dronerf/w2_fp32_adam] round 056/100: loss=0.8254, acc=0.5993, time=14.8s
[dronerf/w2_fp32_adam] round 057/100: loss=0.8277, acc=0.5953, time=14.2s
[dronerf/w2_fp32_adam] round 058/100: loss=0.8268, acc=0.6011, time=14.1s
[dronerf/w2_fp32_adam] round 059/100: loss=0.8267, acc=0.6009, time=14.4s
[dronerf/w2_fp32_adam] round 060/100: loss=0.8250, acc=0.6018, time=14.5s
[dronerf/w2_fp32_adam] round 061/100: loss=0.8267, acc=0.6007, time=14.5s
[dronerf/w2_fp32_adam] round 062/100: loss=0.8309, acc=0.6036, time=14.3s
[dronerf/w2_fp32_adam] round 063/100: loss=0.8316, acc=0.5993, time=14.8s
[dronerf/w2_fp32_adam] round 064/100: loss=0.8326, acc=0.5973, time=14.7s
[dronerf/w2_fp32_adam] round 065/100: loss=0.8316, acc=0.5907, time=14.3s
[dronerf/w2_fp32_adam] round 066/100: loss=0.8339, acc=0.6007, time=14.1s
[dronerf/w2_fp32_adam] round 067/100: loss=0.8320, acc=0.6004, time=14.7s
[dronerf/w2_fp32_adam] round 068/100: loss=0.8296, acc=0.6031, time=14.6s
[dronerf/w2_fp32_adam] round 069/100: loss=0.8301, acc=0.6011, time=14.4s
[dronerf/w2_fp32_adam] round 070/100: loss=0.8342, acc=0.6016, time=14.2s
[dronerf/w2_fp32_adam] round 071/100: loss=0.8350, acc=0.5962, time=14.5s
[dronerf/w2_fp32_adam] round 072/100: loss=0.8377, acc=0.6018, time=14.4s
[dronerf/w2_fp32_adam] round 073/100: loss=0.8427, acc=0.6029, time=14.3s
[dronerf/w2_fp32_adam] round 074/100: loss=0.8376, acc=0.5964, time=14.4s
[dronerf/w2_fp32_adam] round 075/100: loss=0.8452, acc=0.5982, time=16.4s
[dronerf/w2_fp32_adam] round 076/100: loss=0.8442, acc=0.6018, time=15.2s
[dronerf/w2_fp32_adam] round 077/100: loss=0.8465, acc=0.5998, time=14.4s
[dronerf/w2_fp32_adam] round 078/100: loss=0.8477, acc=0.6000, time=14.3s
[dronerf/w2_fp32_adam] round 079/100: loss=0.8462, acc=0.5953, time=14.7s
[dronerf/w2_fp32_adam] round 080/100: loss=0.8474, acc=0.6004, time=14.6s
[dronerf/w2_fp32_adam] round 081/100: loss=0.8493, acc=0.6024, time=14.5s
[dronerf/w2_fp32_adam] round 082/100: loss=0.8487, acc=0.6022, time=13.9s
[dronerf/w2_fp32_adam] round 083/100: loss=0.8479, acc=0.6018, time=14.5s
[dronerf/w2_fp32_adam] round 084/100: loss=0.8519, acc=0.5993, time=14.6s
[dronerf/w2_fp32_adam] round 085/100: loss=0.8556, acc=0.5980, time=14.6s
[dronerf/w2_fp32_adam] round 086/100: loss=0.8515, acc=0.6011, time=14.3s
[dronerf/w2_fp32_adam] round 087/100: loss=0.8519, acc=0.6031, time=14.8s
