[mnist/bitfl] round 001/50: loss=2.2899, acc=0.1433, time=33.1s
[mnist/bitfl] round 002/50: loss=2.2597, acc=0.1860, time=32.1s
[mnist/bitfl] round 003/50: loss=2.1973, acc=0.2154, time=31.8s
[mnist/bitfl] round 004/50: loss=2.0804, acc=0.2695, time=31.8s
[mnist/bitfl] round 005/50: loss=1.9331, acc=0.3002, time=32.4s
[mnist/bitfl] round 006/50: loss=1.6897, acc=0.4289, time=32.3s
[mnist/bitfl] round 007/50: loss=1.4416, acc=0.5309, time=32.0s
[mnist/bitfl] round 008/50: loss=1.1658, acc=0.6490, time=31.8s
[mnist/bitfl] round 009/50: loss=0.8979, acc=0.7605, time=32.5s
[mnist/bitfl] round 010/50: loss=0.7000, acc=0.8171, time=31.7s
[mnist/bitfl] round 011/50: loss=0.6461, acc=0.8122, time=31.8s
[mnist/bitfl] round 012/50: loss=0.6091, acc=0.8070, time=32.1s
[mnist/bitfl] round 013/50: loss=0.4547, acc=0.8649, time=32.4s
[mnist/bitfl] round 014/50: loss=0.4630, acc=0.8514, time=32.0s
[mnist/bitfl] round 015/50: loss=0.4112, acc=0.8682, time=31.9s
[mnist/bitfl] round 016/50: loss=0.4140, acc=0.8617, time=32.5s
[mnist/bitfl] round 017/50: loss=0.3797, acc=0.8744, time=32.2s
[mnist/bitfl] round 018/50: loss=0.3471, acc=0.8853, time=32.2s
[mnist/bitfl] round 019/50: loss=0.3567, acc=0.8825, time=32.3s
[mnist/bitfl] round 020/50: loss=0.3839, acc=0.8724, time=32.7s
[mnist/bitfl] round 021/50: loss=0.3241, acc=0.8937, time=32.2s
[mnist/bitfl] round 022/50: loss=0.2842, acc=0.9101, time=32.2s
[mnist/bitfl] round 023/50: loss=0.2819, acc=0.9119, time=32.2s
[mnist/bitfl] round 024/50: loss=0.3023, acc=0.9055, time=31.8s
[mnist/bitfl] round 025/50: loss=0.3418, acc=0.8873, time=32.2s
[mnist/bitfl] round 026/50: loss=0.2998, acc=0.9076, time=32.3s
[mnist/bitfl] round 027/50: loss=0.2552, acc=0.9207, time=32.8s
[mnist/bitfl] round 028/50: loss=0.2887, acc=0.9021, time=32.4s
[mnist/bitfl] round 029/50: loss=0.2965, acc=0.9017, time=32.4s
[mnist/bitfl] round 030/50: loss=0.2729, acc=0.9151, time=32.5s
[mnist/bitfl] round 031/50: loss=0.2751, acc=0.9130, time=32.5s
[mnist/bitfl] round 032/50: loss=0.2799, acc=0.9121, time=32.1s
[mnist/bitfl] round 033/50: loss=0.2974, acc=0.9062, time=32.2s
[mnist/bitfl] round 034/50: loss=0.2782, acc=0.9123, time=32.6s
[mnist/bitfl] round 035/50: loss=0.2181, acc=0.9316, time=32.2s
[mnist/bitfl] round 036/50: loss=0.3147, acc=0.8963, time=31.7s
[mnist/bitfl] round 037/50: loss=0.2261, acc=0.9296, time=31.9s
[mnist/bitfl] round 038/50: loss=0.2462, acc=0.9197, time=32.3s
[mnist/bitfl] round 039/50: loss=0.2277, acc=0.9286, time=31.5s
[mnist/bitfl] round 040/50: loss=0.2469, acc=0.9195, time=31.6s
[mnist/bitfl] round 041/50: loss=0.2729, acc=0.9107, time=32.1s
[mnist/bitfl] round 042/50: loss=0.3208, acc=0.8955, time=32.1s
[mnist/bitfl] round 043/50: loss=0.3294, acc=0.8910, time=32.0s
[mnist/bitfl] round 044/50: loss=0.2277, acc=0.9293, time=32.0s
[mnist/bitfl] round 045/50: loss=0.2205, acc=0.9345, time=32.7s
[mnist/bitfl] round 046/50: loss=0.3190, acc=0.8936, time=31.8s
[mnist/bitfl] round 047/50: loss=0.2288, acc=0.9273, time=31.9s
[mnist/bitfl] round 048/50: loss=0.2109, acc=0.9339, time=32.4s
[mnist/bitfl] round 049/50: loss=0.2444, acc=0.9224, time=32.4s
[mnist/bitfl] round 050/50: loss=0.2546, acc=0.9209, time=31.7s
completed: results/experiment1_five_v1_final/mnist/bitfl/seed_123_20260813_010459
