[mnist/fedavg_fp32] round 001/50: loss=2.2522, acc=0.2487, time=35.2s
[mnist/fedavg_fp32] round 002/50: loss=2.2015, acc=0.2978, time=33.8s
[mnist/fedavg_fp32] round 003/50: loss=2.1331, acc=0.3225, time=33.4s
[mnist/fedavg_fp32] round 004/50: loss=2.0168, acc=0.4509, time=33.8s
[mnist/fedavg_fp32] round 005/50: loss=1.8544, acc=0.5392, time=33.7s
[mnist/fedavg_fp32] round 006/50: loss=1.6249, acc=0.6689, time=33.1s
[mnist/fedavg_fp32] round 007/50: loss=1.3790, acc=0.7052, time=33.9s
[mnist/fedavg_fp32] round 008/50: loss=1.1074, acc=0.7723, time=33.4s
[mnist/fedavg_fp32] round 009/50: loss=0.9134, acc=0.7678, time=32.8s
[mnist/fedavg_fp32] round 010/50: loss=0.7284, acc=0.8270, time=33.7s
[mnist/fedavg_fp32] round 011/50: loss=0.6360, acc=0.8087, time=33.8s
[mnist/fedavg_fp32] round 012/50: loss=0.4982, acc=0.8697, time=32.9s
[mnist/fedavg_fp32] round 013/50: loss=0.4559, acc=0.8584, time=33.9s
[mnist/fedavg_fp32] round 014/50: loss=0.3524, acc=0.9072, time=34.1s
[mnist/fedavg_fp32] round 015/50: loss=0.3533, acc=0.8874, time=33.3s
[mnist/fedavg_fp32] round 016/50: loss=0.2811, acc=0.9255, time=34.1s
[mnist/fedavg_fp32] round 017/50: loss=0.3034, acc=0.9036, time=33.5s
[mnist/fedavg_fp32] round 018/50: loss=0.2514, acc=0.9310, time=32.7s
[mnist/fedavg_fp32] round 019/50: loss=0.2755, acc=0.9132, time=32.7s
[mnist/fedavg_fp32] round 020/50: loss=0.2259, acc=0.9396, time=33.6s
[mnist/fedavg_fp32] round 021/50: loss=0.2660, acc=0.9150, time=33.0s
[mnist/fedavg_fp32] round 022/50: loss=0.2112, acc=0.9433, time=32.2s
[mnist/fedavg_fp32] round 023/50: loss=0.2537, acc=0.9189, time=33.3s
[mnist/fedavg_fp32] round 024/50: loss=0.2085, acc=0.9420, time=33.6s
[mnist/fedavg_fp32] round 025/50: loss=0.2372, acc=0.9240, time=31.7s
[mnist/fedavg_fp32] round 026/50: loss=0.1983, acc=0.9440, time=33.2s
[mnist/fedavg_fp32] round 027/50: loss=0.2620, acc=0.9144, time=33.6s
[mnist/fedavg_fp32] round 028/50: loss=0.2004, acc=0.9405, time=32.7s
[mnist/fedavg_fp32] round 029/50: loss=0.2611, acc=0.9143, time=33.5s
[mnist/fedavg_fp32] round 030/50: loss=0.1865, acc=0.9463, time=33.5s
[mnist/fedavg_fp32] round 031/50: loss=0.2376, acc=0.9228, time=32.9s
[mnist/fedavg_fp32] round 032/50: loss=0.1659, acc=0.9528, time=33.4s
[mnist/fedavg_fp32] round 033/50: loss=0.2056, acc=0.9371, time=33.6s
[mnist/fedavg_fp32] round 034/50: loss=0.1625, acc=0.9545, time=32.5s
[mnist/fedavg_fp32] round 035/50: loss=0.1926, acc=0.9420, time=32.9s
[mnist/fedavg_fp32] round 036/50: loss=0.1517, acc=0.9582, time=33.6s
[mnist/fedavg_fp32] round 037/50: loss=0.1846, acc=0.9445, time=33.0s
[mnist/fedavg_fp32] round 038/50: loss=0.1443, acc=0.9598, time=34.3s
[mnist/fedavg_fp32] round 039/50: loss=0.1696, acc=0.9487, time=34.8s
[mnist/fedavg_fp32] round 040/50: loss=0.1380, acc=0.9611, time=33.2s
[mnist/fedavg_fp32] round 041/50: loss=0.1651, acc=0.9494, time=32.9s
[mnist/fedavg_fp32] round 042/50: loss=0.1300, acc=0.9625, time=33.5s
[mnist/fedavg_fp32] round 043/50: loss=0.1675, acc=0.9503, time=33.2s
[mnist/fedavg_fp32] round 044/50: loss=0.1312, acc=0.9613, time=32.7s
[mnist/fedavg_fp32] round 045/50: loss=0.1773, acc=0.9441, time=33.9s
[mnist/fedavg_fp32] round 046/50: loss=0.1305, acc=0.9606, time=33.4s
[mnist/fedavg_fp32] round 047/50: loss=0.1702, acc=0.9457, time=32.1s
[mnist/fedavg_fp32] round 048/50: loss=0.1221, acc=0.9641, time=33.7s
[mnist/fedavg_fp32] round 049/50: loss=0.1536, acc=0.9533, time=33.7s
[mnist/fedavg_fp32] round 050/50: loss=0.1200, acc=0.9646, time=32.3s
completed: results/experiment1_five_v1_final/mnist/fedavg_fp32/seed_2024_20260813_001007
