[mnist/signsgd] round 001/50: loss=2.3037, acc=0.1301, time=26.3s
[mnist/signsgd] round 002/50: loss=2.3058, acc=0.1114, time=25.2s
[mnist/signsgd] round 003/50: loss=2.3069, acc=0.1084, time=25.1s
[mnist/signsgd] round 004/50: loss=2.2999, acc=0.1128, time=24.9s
[mnist/signsgd] round 005/50: loss=2.2787, acc=0.1278, time=25.1s
[mnist/signsgd] round 006/50: loss=2.2378, acc=0.1470, time=25.3s
[mnist/signsgd] round 007/50: loss=2.1801, acc=0.1712, time=25.2s
[mnist/signsgd] round 008/50: loss=2.1072, acc=0.2154, time=25.0s
[mnist/signsgd] round 009/50: loss=2.0217, acc=0.2715, time=24.9s
[mnist/signsgd] round 010/50: loss=1.9279, acc=0.3244, time=25.3s
[mnist/signsgd] round 011/50: loss=1.8349, acc=0.3712, time=26.2s
[mnist/signsgd] round 012/50: loss=1.7500, acc=0.4114, time=25.3s
[mnist/signsgd] round 013/50: loss=1.6769, acc=0.4451, time=27.3s
[mnist/signsgd] round 014/50: loss=1.6145, acc=0.4744, time=26.5s
[mnist/signsgd] round 015/50: loss=1.5625, acc=0.4960, time=24.9s
[mnist/signsgd] round 016/50: loss=1.5186, acc=0.5137, time=24.6s
[mnist/signsgd] round 017/50: loss=1.4796, acc=0.5271, time=24.8s
[mnist/signsgd] round 018/50: loss=1.4453, acc=0.5377, time=24.8s
[mnist/signsgd] round 019/50: loss=1.4138, acc=0.5486, time=25.0s
[mnist/signsgd] round 020/50: loss=1.3854, acc=0.5601, time=25.0s
[mnist/signsgd] round 021/50: loss=1.3587, acc=0.5694, time=24.8s
[mnist/signsgd] round 022/50: loss=1.3335, acc=0.5808, time=24.8s
[mnist/signsgd] round 023/50: loss=1.3097, acc=0.5914, time=25.0s
[mnist/signsgd] round 024/50: loss=1.2874, acc=0.6000, time=25.2s
[mnist/signsgd] round 025/50: loss=1.2668, acc=0.6087, time=25.2s
[mnist/signsgd] round 026/50: loss=1.2459, acc=0.6167, time=25.0s
[mnist/signsgd] round 027/50: loss=1.2281, acc=0.6230, time=25.0s
[mnist/signsgd] round 028/50: loss=1.2097, acc=0.6313, time=25.2s
[mnist/signsgd] round 029/50: loss=1.1931, acc=0.6369, time=25.4s
[mnist/signsgd] round 030/50: loss=1.1760, acc=0.6430, time=24.9s
[mnist/signsgd] round 031/50: loss=1.1604, acc=0.6489, time=24.9s
[mnist/signsgd] round 032/50: loss=1.1454, acc=0.6555, time=24.6s
[mnist/signsgd] round 033/50: loss=1.1296, acc=0.6616, time=26.3s
[mnist/signsgd] round 034/50: loss=1.1154, acc=0.6683, time=25.1s
[mnist/signsgd] round 035/50: loss=1.1015, acc=0.6729, time=24.8s
[mnist/signsgd] round 036/50: loss=1.0883, acc=0.6780, time=24.6s
[mnist/signsgd] round 037/50: loss=1.0761, acc=0.6823, time=24.7s
[mnist/signsgd] round 038/50: loss=1.0634, acc=0.6868, time=24.9s
[mnist/signsgd] round 039/50: loss=1.0510, acc=0.6918, time=24.7s
[mnist/signsgd] round 040/50: loss=1.0396, acc=0.6967, time=24.7s
[mnist/signsgd] round 041/50: loss=1.0276, acc=0.7003, time=24.7s
[mnist/signsgd] round 042/50: loss=1.0174, acc=0.7042, time=25.4s
[mnist/signsgd] round 043/50: loss=1.0076, acc=0.7083, time=25.3s
[mnist/signsgd] round 044/50: loss=0.9978, acc=0.7104, time=25.0s
[mnist/signsgd] round 045/50: loss=0.9884, acc=0.7129, time=25.0s
[mnist/signsgd] round 046/50: loss=0.9779, acc=0.7176, time=24.9s
[mnist/signsgd] round 047/50: loss=0.9691, acc=0.7205, time=25.0s
[mnist/signsgd] round 048/50: loss=0.9602, acc=0.7234, time=24.7s
[mnist/signsgd] round 049/50: loss=0.9519, acc=0.7268, time=24.5s
[mnist/signsgd] round 050/50: loss=0.9417, acc=0.7295, time=24.5s
completed: results/experiment1_five_v1_final/mnist/signsgd/seed_123_20260813_022100
