[mnist/w2_fp32_adam] round 001/50: loss=2.1863, acc=0.2528, time=41.5s
[mnist/w2_fp32_adam] round 002/50: loss=1.7909, acc=0.4054, time=41.8s
[mnist/w2_fp32_adam] round 003/50: loss=1.5698, acc=0.5076, time=41.1s
[mnist/w2_fp32_adam] round 004/50: loss=1.3704, acc=0.5866, time=40.8s
[mnist/w2_fp32_adam] round 005/50: loss=1.1981, acc=0.6485, time=41.7s
[mnist/w2_fp32_adam] round 006/50: loss=1.0493, acc=0.6885, time=40.8s
[mnist/w2_fp32_adam] round 007/50: loss=0.9202, acc=0.7252, time=41.2s
[mnist/w2_fp32_adam] round 008/50: loss=0.8146, acc=0.7500, time=41.7s
[mnist/w2_fp32_adam] round 009/50: loss=0.7278, acc=0.7763, time=41.1s
[mnist/w2_fp32_adam] round 010/50: loss=0.6606, acc=0.7927, time=41.4s
[mnist/w2_fp32_adam] round 011/50: loss=0.6002, acc=0.8117, time=41.6s
[mnist/w2_fp32_adam] round 012/50: loss=0.5742, acc=0.8156, time=41.4s
[mnist/w2_fp32_adam] round 013/50: loss=0.5261, acc=0.8342, time=43.8s
[mnist/w2_fp32_adam] round 014/50: loss=0.5099, acc=0.8355, time=46.1s
[mnist/w2_fp32_adam] round 015/50: loss=0.4841, acc=0.8441, time=43.0s
[mnist/w2_fp32_adam] round 016/50: loss=0.4768, acc=0.8431, time=41.8s
[mnist/w2_fp32_adam] round 017/50: loss=0.4495, acc=0.8554, time=41.3s
[mnist/w2_fp32_adam] round 018/50: loss=0.4477, acc=0.8506, time=41.3s
[mnist/w2_fp32_adam] round 019/50: loss=0.4195, acc=0.8651, time=42.1s
[mnist/w2_fp32_adam] round 020/50: loss=0.4247, acc=0.8589, time=41.4s
[mnist/w2_fp32_adam] round 021/50: loss=0.4016, acc=0.8722, time=41.3s
[mnist/w2_fp32_adam] round 022/50: loss=0.4122, acc=0.8634, time=41.7s
[mnist/w2_fp32_adam] round 023/50: loss=0.3769, acc=0.8779, time=41.1s
[mnist/w2_fp32_adam] round 024/50: loss=0.3959, acc=0.8686, time=41.4s
[mnist/w2_fp32_adam] round 025/50: loss=0.3646, acc=0.8855, time=41.2s
[mnist/w2_fp32_adam] round 026/50: loss=0.3875, acc=0.8709, time=40.8s
[mnist/w2_fp32_adam] round 027/50: loss=0.3711, acc=0.8795, time=41.4s
[mnist/w2_fp32_adam] round 028/50: loss=0.3822, acc=0.8691, time=41.4s
[mnist/w2_fp32_adam] round 029/50: loss=0.4052, acc=0.8628, time=41.0s
[mnist/w2_fp32_adam] round 030/50: loss=0.3902, acc=0.8687, time=42.5s
[mnist/w2_fp32_adam] round 031/50: loss=0.4820, acc=0.8278, time=46.1s
[mnist/w2_fp32_adam] round 032/50: loss=0.4584, acc=0.8464, time=42.6s
[mnist/w2_fp32_adam] round 033/50: loss=0.5849, acc=0.7964, time=42.7s
[mnist/w2_fp32_adam] round 034/50: loss=0.5253, acc=0.8343, time=41.1s
[mnist/w2_fp32_adam] round 035/50: loss=0.6534, acc=0.7800, time=41.0s
[mnist/w2_fp32_adam] round 036/50: loss=0.4751, acc=0.8494, time=41.4s
[mnist/w2_fp32_adam] round 037/50: loss=0.6444, acc=0.7864, time=41.1s
[mnist/w2_fp32_adam] round 038/50: loss=0.3968, acc=0.8719, time=41.4s
[mnist/w2_fp32_adam] round 039/50: loss=0.5753, acc=0.8014, time=41.1s
[mnist/w2_fp32_adam] round 040/50: loss=0.3521, acc=0.8850, time=41.1s
[mnist/w2_fp32_adam] round 041/50: loss=0.5449, acc=0.8109, time=41.9s
[mnist/w2_fp32_adam] round 042/50: loss=0.3123, acc=0.8980, time=41.1s
[mnist/w2_fp32_adam] round 043/50: loss=0.4964, acc=0.8255, time=41.4s
[mnist/w2_fp32_adam] round 044/50: loss=0.3053, acc=0.9005, time=43.6s
[mnist/w2_fp32_adam] round 045/50: loss=0.5024, acc=0.8239, time=40.9s
[mnist/w2_fp32_adam] round 046/50: loss=0.3132, acc=0.8988, time=41.2s
[mnist/w2_fp32_adam] round 047/50: loss=0.5155, acc=0.8211, time=41.3s
[mnist/w2_fp32_adam] round 048/50: loss=0.3271, acc=0.8927, time=41.5s
[mnist/w2_fp32_adam] round 049/50: loss=0.5339, acc=0.8160, time=42.8s
[mnist/w2_fp32_adam] round 050/50: loss=0.3440, acc=0.8881, time=43.2s
completed: results/experiment1_five_v1_final/mnist/w2_fp32_adam/seed_2024_20260813_041205
