[ravdess/bitfl] round 001/50: loss=1.9639, acc=0.2694, time=13.0s
[ravdess/bitfl] round 002/50: loss=1.8045, acc=0.3139, time=11.5s
[ravdess/bitfl] round 003/50: loss=1.7051, acc=0.3611, time=11.8s
[ravdess/bitfl] round 004/50: loss=1.7016, acc=0.3778, time=11.9s
[ravdess/bitfl] round 005/50: loss=1.6804, acc=0.3722, time=11.5s
[ravdess/bitfl] round 006/50: loss=1.7652, acc=0.3667, time=11.4s
[ravdess/bitfl] round 007/50: loss=1.8759, acc=0.3750, time=11.3s
[ravdess/bitfl] round 008/50: loss=2.0702, acc=0.3917, time=11.2s
[ravdess/bitfl] round 009/50: loss=2.2803, acc=0.4417, time=11.1s
[ravdess/bitfl] round 010/50: loss=3.0726, acc=0.3944, time=11.3s
[ravdess/bitfl] round 011/50: loss=3.1792, acc=0.4139, time=11.2s
[ravdess/bitfl] round 012/50: loss=2.9496, acc=0.4444, time=11.3s
[ravdess/bitfl] round 013/50: loss=2.6201, acc=0.4611, time=11.5s
[ravdess/bitfl] round 014/50: loss=3.9759, acc=0.3778, time=11.4s
[ravdess/bitfl] round 015/50: loss=4.1145, acc=0.4389, time=11.1s
[ravdess/bitfl] round 016/50: loss=3.1941, acc=0.4806, time=11.3s
[ravdess/bitfl] round 017/50: loss=3.4920, acc=0.5028, time=11.3s
[ravdess/bitfl] round 018/50: loss=3.8032, acc=0.4778, time=11.2s
[ravdess/bitfl] round 019/50: loss=3.4958, acc=0.5361, time=11.2s
[ravdess/bitfl] round 020/50: loss=4.1172, acc=0.5083, time=11.4s
[ravdess/bitfl] round 021/50: loss=3.9233, acc=0.4444, time=11.0s
[ravdess/bitfl] round 022/50: loss=4.1002, acc=0.4944, time=11.4s
[ravdess/bitfl] round 023/50: loss=4.2412, acc=0.4861, time=11.4s
[ravdess/bitfl] round 024/50: loss=4.6034, acc=0.4694, time=11.0s
[ravdess/bitfl] round 025/50: loss=5.2446, acc=0.4556, time=11.5s
[ravdess/bitfl] round 026/50: loss=6.3228, acc=0.4694, time=11.2s
[ravdess/bitfl] round 027/50: loss=4.7467, acc=0.4944, time=11.2s
[ravdess/bitfl] round 028/50: loss=5.6350, acc=0.4528, time=11.1s
[ravdess/bitfl] round 029/50: loss=6.3382, acc=0.3944, time=11.3s
[ravdess/bitfl] round 030/50: loss=5.5852, acc=0.5056, time=11.3s
[ravdess/bitfl] round 031/50: loss=6.2224, acc=0.4778, time=11.4s
[ravdess/bitfl] round 032/50: loss=5.4242, acc=0.4333, time=11.0s
[ravdess/bitfl] round 033/50: loss=4.5485, acc=0.5000, time=11.5s
[ravdess/bitfl] round 034/50: loss=4.9361, acc=0.4861, time=11.2s
[ravdess/bitfl] round 035/50: loss=5.4464, acc=0.5083, time=11.0s
[ravdess/bitfl] round 036/50: loss=5.1239, acc=0.5222, time=11.1s
[ravdess/bitfl] round 037/50: loss=6.0332, acc=0.5556, time=11.3s
[ravdess/bitfl] round 038/50: loss=6.3331, acc=0.5500, time=11.4s
[ravdess/bitfl] round 039/50: loss=5.9225, acc=0.5694, time=11.1s
[ravdess/bitfl] round 040/50: loss=8.1376, acc=0.4917, time=10.8s
[ravdess/bitfl] round 041/50: loss=7.0553, acc=0.4917, time=11.4s
[ravdess/bitfl] round 042/50: loss=6.1286, acc=0.5444, time=11.1s
[ravdess/bitfl] round 043/50: loss=5.6305, acc=0.5306, time=10.8s
[ravdess/bitfl] round 044/50: loss=6.7243, acc=0.5083, time=11.4s
[ravdess/bitfl] round 045/50: loss=6.7300, acc=0.5222, time=11.3s
[ravdess/bitfl] round 046/50: loss=7.9343, acc=0.5056, time=11.4s
[ravdess/bitfl] round 047/50: loss=7.6475, acc=0.5083, time=11.2s
[ravdess/bitfl] round 048/50: loss=7.9291, acc=0.5028, time=11.5s
[ravdess/bitfl] round 049/50: loss=8.6080, acc=0.5083, time=11.3s
[ravdess/bitfl] round 050/50: loss=9.8915, acc=0.4722, time=11.5s
completed: results/experiment1_five_v1_final/ravdess/bitfl/seed_123_20260812_130714
