[ravdess/cqfl] round 001/50: loss=6.1851, acc=0.1750, time=54.4s
[ravdess/cqfl] round 002/50: loss=2.7766, acc=0.2750, time=52.6s
[ravdess/cqfl] round 003/50: loss=2.0754, acc=0.3500, time=52.5s
[ravdess/cqfl] round 004/50: loss=1.8440, acc=0.4028, time=54.8s
[ravdess/cqfl] round 005/50: loss=1.7187, acc=0.4333, time=53.8s
[ravdess/cqfl] round 006/50: loss=1.6218, acc=0.4472, time=55.0s
[ravdess/cqfl] round 007/50: loss=1.5838, acc=0.4694, time=55.0s
[ravdess/cqfl] round 008/50: loss=1.6434, acc=0.4778, time=54.5s
[ravdess/cqfl] round 009/50: loss=1.6329, acc=0.4833, time=53.8s
[ravdess/cqfl] round 010/50: loss=1.6018, acc=0.4972, time=53.7s
[ravdess/cqfl] round 011/50: loss=1.6746, acc=0.4944, time=53.2s
[ravdess/cqfl] round 012/50: loss=1.6080, acc=0.5028, time=54.6s
[ravdess/cqfl] round 013/50: loss=1.5791, acc=0.5278, time=53.3s
[ravdess/cqfl] round 014/50: loss=1.5879, acc=0.5250, time=52.8s
[ravdess/cqfl] round 015/50: loss=1.5360, acc=0.5250, time=51.8s
[ravdess/cqfl] round 016/50: loss=1.5279, acc=0.5333, time=53.1s
[ravdess/cqfl] round 017/50: loss=1.5612, acc=0.5444, time=53.5s
[ravdess/cqfl] round 018/50: loss=1.6344, acc=0.5444, time=53.4s
[ravdess/cqfl] round 019/50: loss=1.6189, acc=0.5500, time=54.7s
[ravdess/cqfl] round 020/50: loss=1.5664, acc=0.5611, time=54.3s
[ravdess/cqfl] round 021/50: loss=1.5322, acc=0.5444, time=54.3s
[ravdess/cqfl] round 022/50: loss=1.6662, acc=0.5639, time=54.6s
[ravdess/cqfl] round 023/50: loss=1.6715, acc=0.5556, time=54.2s
[ravdess/cqfl] round 024/50: loss=1.6839, acc=0.5528, time=53.8s
[ravdess/cqfl] round 025/50: loss=1.6496, acc=0.5667, time=53.8s
[ravdess/cqfl] round 026/50: loss=1.6582, acc=0.5583, time=52.7s
[ravdess/cqfl] round 027/50: loss=1.6564, acc=0.5750, time=54.0s
[ravdess/cqfl] round 028/50: loss=1.7367, acc=0.5694, time=54.1s
[ravdess/cqfl] round 029/50: loss=1.6679, acc=0.5639, time=54.3s
[ravdess/cqfl] round 030/50: loss=1.6994, acc=0.5667, time=54.7s
[ravdess/cqfl] round 031/50: loss=1.6661, acc=0.5472, time=53.6s
[ravdess/cqfl] round 032/50: loss=1.6863, acc=0.5583, time=53.8s
[ravdess/cqfl] round 033/50: loss=1.6953, acc=0.5667, time=51.4s
[ravdess/cqfl] round 034/50: loss=1.7010, acc=0.5694, time=52.9s
[ravdess/cqfl] round 035/50: loss=1.7052, acc=0.5750, time=51.1s
[ravdess/cqfl] round 036/50: loss=1.7787, acc=0.5667, time=53.7s
[ravdess/cqfl] round 037/50: loss=1.8238, acc=0.5722, time=53.8s
[ravdess/cqfl] round 038/50: loss=1.8932, acc=0.5694, time=52.5s
[ravdess/cqfl] round 039/50: loss=1.8530, acc=0.5722, time=53.3s
[ravdess/cqfl] round 040/50: loss=1.8204, acc=0.5583, time=52.5s
[ravdess/cqfl] round 041/50: loss=1.8078, acc=0.5639, time=51.6s
[ravdess/cqfl] round 042/50: loss=1.7880, acc=0.5667, time=51.5s
[ravdess/cqfl] round 043/50: loss=1.8475, acc=0.5667, time=54.0s
[ravdess/cqfl] round 044/50: loss=1.8581, acc=0.5833, time=53.2s
[ravdess/cqfl] round 045/50: loss=1.8369, acc=0.5667, time=52.4s
[ravdess/cqfl] round 046/50: loss=1.8620, acc=0.5833, time=50.6s
[ravdess/cqfl] round 047/50: loss=1.8928, acc=0.5722, time=51.1s
[ravdess/cqfl] round 048/50: loss=1.9513, acc=0.5722, time=54.4s
[ravdess/cqfl] round 049/50: loss=2.1751, acc=0.5500, time=52.2s
[ravdess/cqfl] round 050/50: loss=2.1170, acc=0.5361, time=53.5s
completed: results/experiment1_five_v1_final/ravdess/cqfl/seed_2024_20260812_155559
