[ravdess/fedavg_fp32] round 001/50: loss=1.8568, acc=0.3250, time=13.1s
[ravdess/fedavg_fp32] round 002/50: loss=1.8245, acc=0.2806, time=11.2s
[ravdess/fedavg_fp32] round 003/50: loss=1.8389, acc=0.2694, time=10.8s
[ravdess/fedavg_fp32] round 004/50: loss=1.8028, acc=0.2694, time=10.7s
[ravdess/fedavg_fp32] round 005/50: loss=1.8181, acc=0.3167, time=10.8s
[ravdess/fedavg_fp32] round 006/50: loss=1.7683, acc=0.3500, time=11.0s
[ravdess/fedavg_fp32] round 007/50: loss=1.7343, acc=0.3667, time=11.0s
[ravdess/fedavg_fp32] round 008/50: loss=1.6661, acc=0.3667, time=10.9s
[ravdess/fedavg_fp32] round 009/50: loss=1.6184, acc=0.3861, time=11.1s
[ravdess/fedavg_fp32] round 010/50: loss=1.5489, acc=0.4056, time=11.0s
[ravdess/fedavg_fp32] round 011/50: loss=1.4776, acc=0.4556, time=11.0s
[ravdess/fedavg_fp32] round 012/50: loss=1.4307, acc=0.4611, time=11.0s
[ravdess/fedavg_fp32] round 013/50: loss=1.3301, acc=0.5167, time=10.8s
[ravdess/fedavg_fp32] round 014/50: loss=1.2060, acc=0.5583, time=11.0s
[ravdess/fedavg_fp32] round 015/50: loss=1.2004, acc=0.5861, time=10.9s
[ravdess/fedavg_fp32] round 016/50: loss=1.1259, acc=0.6250, time=10.9s
[ravdess/fedavg_fp32] round 017/50: loss=1.1423, acc=0.6250, time=11.0s
[ravdess/fedavg_fp32] round 018/50: loss=1.1569, acc=0.6167, time=11.1s
[ravdess/fedavg_fp32] round 019/50: loss=1.1492, acc=0.6194, time=11.0s
[ravdess/fedavg_fp32] round 020/50: loss=1.1667, acc=0.6417, time=10.8s
[ravdess/fedavg_fp32] round 021/50: loss=1.2732, acc=0.6306, time=10.9s
[ravdess/fedavg_fp32] round 022/50: loss=2.0656, acc=0.5639, time=11.1s
[ravdess/fedavg_fp32] round 023/50: loss=2.6994, acc=0.4806, time=11.1s
[ravdess/fedavg_fp32] round 024/50: loss=1.6711, acc=0.5806, time=10.8s
[ravdess/fedavg_fp32] round 025/50: loss=1.3257, acc=0.6306, time=11.0s
[ravdess/fedavg_fp32] round 026/50: loss=1.2546, acc=0.6556, time=11.0s
[ravdess/fedavg_fp32] round 027/50: loss=1.2571, acc=0.6667, time=11.0s
[ravdess/fedavg_fp32] round 028/50: loss=1.2527, acc=0.6806, time=10.7s
[ravdess/fedavg_fp32] round 029/50: loss=1.2862, acc=0.6667, time=11.0s
[ravdess/fedavg_fp32] round 030/50: loss=1.2981, acc=0.6778, time=10.8s
[ravdess/fedavg_fp32] round 031/50: loss=1.2871, acc=0.6833, time=11.2s
[ravdess/fedavg_fp32] round 032/50: loss=1.3163, acc=0.6778, time=10.8s
[ravdess/fedavg_fp32] round 033/50: loss=1.3359, acc=0.6778, time=11.0s
[ravdess/fedavg_fp32] round 034/50: loss=1.3362, acc=0.6750, time=11.0s
[ravdess/fedavg_fp32] round 035/50: loss=1.3535, acc=0.6750, time=11.1s
[ravdess/fedavg_fp32] round 036/50: loss=1.3633, acc=0.6722, time=10.6s
[ravdess/fedavg_fp32] round 037/50: loss=1.3692, acc=0.6722, time=10.9s
[ravdess/fedavg_fp32] round 038/50: loss=1.3869, acc=0.6694, time=11.1s
[ravdess/fedavg_fp32] round 039/50: loss=1.4001, acc=0.6722, time=10.9s
[ravdess/fedavg_fp32] round 040/50: loss=1.3996, acc=0.6722, time=11.0s
[ravdess/fedavg_fp32] round 041/50: loss=1.4149, acc=0.6778, time=10.9s
[ravdess/fedavg_fp32] round 042/50: loss=1.4257, acc=0.6722, time=11.1s
[ravdess/fedavg_fp32] round 043/50: loss=1.4235, acc=0.6722, time=10.8s
[ravdess/fedavg_fp32] round 044/50: loss=1.4241, acc=0.6806, time=11.0s
[ravdess/fedavg_fp32] round 045/50: loss=1.4348, acc=0.6778, time=11.0s
[ravdess/fedavg_fp32] round 046/50: loss=1.4311, acc=0.6750, time=11.1s
[ravdess/fedavg_fp32] round 047/50: loss=1.4425, acc=0.6667, time=11.1s
[ravdess/fedavg_fp32] round 048/50: loss=1.4910, acc=0.6667, time=11.0s
[ravdess/fedavg_fp32] round 049/50: loss=1.4694, acc=0.6806, time=11.1s
[ravdess/fedavg_fp32] round 050/50: loss=1.4605, acc=0.6806, time=11.0s
completed: results/experiment1_five_v1_final/ravdess/fedavg_fp32/seed_123_20260812_123847
