[ravdess/signsgd] round 001/50: loss=2.0663, acc=0.1556, time=10.8s
[ravdess/signsgd] round 002/50: loss=2.0535, acc=0.1944, time=9.2s
[ravdess/signsgd] round 003/50: loss=2.0378, acc=0.2028, time=9.0s
[ravdess/signsgd] round 004/50: loss=2.0188, acc=0.2111, time=9.0s
[ravdess/signsgd] round 005/50: loss=1.9972, acc=0.2167, time=9.0s
[ravdess/signsgd] round 006/50: loss=1.9730, acc=0.2444, time=9.0s
[ravdess/signsgd] round 007/50: loss=1.9492, acc=0.2639, time=8.8s
[ravdess/signsgd] round 008/50: loss=1.9247, acc=0.2917, time=8.7s
[ravdess/signsgd] round 009/50: loss=1.9015, acc=0.3028, time=9.0s
[ravdess/signsgd] round 010/50: loss=1.8792, acc=0.3083, time=9.0s
[ravdess/signsgd] round 011/50: loss=1.8605, acc=0.3194, time=8.8s
[ravdess/signsgd] round 012/50: loss=1.8450, acc=0.3194, time=9.0s
[ravdess/signsgd] round 013/50: loss=1.8294, acc=0.3194, time=8.9s
[ravdess/signsgd] round 014/50: loss=1.8153, acc=0.3333, time=8.8s
[ravdess/signsgd] round 015/50: loss=1.8041, acc=0.3250, time=8.9s
[ravdess/signsgd] round 016/50: loss=1.7944, acc=0.3194, time=8.6s
[ravdess/signsgd] round 017/50: loss=1.7811, acc=0.3167, time=8.9s
[ravdess/signsgd] round 018/50: loss=1.7684, acc=0.3222, time=8.8s
[ravdess/signsgd] round 019/50: loss=1.7610, acc=0.3361, time=9.0s
[ravdess/signsgd] round 020/50: loss=1.7523, acc=0.3333, time=8.8s
[ravdess/signsgd] round 021/50: loss=1.7480, acc=0.3361, time=8.7s
[ravdess/signsgd] round 022/50: loss=1.7405, acc=0.3417, time=9.2s
[ravdess/signsgd] round 023/50: loss=1.7390, acc=0.3389, time=9.0s
[ravdess/signsgd] round 024/50: loss=1.7334, acc=0.3500, time=8.7s
[ravdess/signsgd] round 025/50: loss=1.7296, acc=0.3528, time=9.1s
[ravdess/signsgd] round 026/50: loss=1.7294, acc=0.3472, time=8.9s
[ravdess/signsgd] round 027/50: loss=1.7284, acc=0.3444, time=9.0s
[ravdess/signsgd] round 028/50: loss=1.7233, acc=0.3472, time=8.6s
[ravdess/signsgd] round 029/50: loss=1.7183, acc=0.3472, time=9.0s
[ravdess/signsgd] round 030/50: loss=1.7148, acc=0.3528, time=8.9s
[ravdess/signsgd] round 031/50: loss=1.7128, acc=0.3583, time=9.1s
[ravdess/signsgd] round 032/50: loss=1.7145, acc=0.3500, time=8.6s
[ravdess/signsgd] round 033/50: loss=1.7151, acc=0.3500, time=8.9s
[ravdess/signsgd] round 034/50: loss=1.7121, acc=0.3528, time=8.9s
[ravdess/signsgd] round 035/50: loss=1.7094, acc=0.3500, time=8.8s
[ravdess/signsgd] round 036/50: loss=1.7039, acc=0.3528, time=8.7s
[ravdess/signsgd] round 037/50: loss=1.6996, acc=0.3667, time=9.0s
[ravdess/signsgd] round 038/50: loss=1.7003, acc=0.3750, time=9.1s
[ravdess/signsgd] round 039/50: loss=1.6985, acc=0.3750, time=8.9s
[ravdess/signsgd] round 040/50: loss=1.6953, acc=0.3722, time=8.7s
[ravdess/signsgd] round 041/50: loss=1.6891, acc=0.3722, time=9.1s
[ravdess/signsgd] round 042/50: loss=1.6868, acc=0.3722, time=9.1s
[ravdess/signsgd] round 043/50: loss=1.6854, acc=0.3750, time=9.0s
[ravdess/signsgd] round 044/50: loss=1.6817, acc=0.3722, time=8.8s
[ravdess/signsgd] round 045/50: loss=1.6804, acc=0.3722, time=9.0s
[ravdess/signsgd] round 046/50: loss=1.6751, acc=0.3667, time=8.9s
[ravdess/signsgd] round 047/50: loss=1.6745, acc=0.3750, time=8.9s
[ravdess/signsgd] round 048/50: loss=1.6716, acc=0.3833, time=8.7s
[ravdess/signsgd] round 049/50: loss=1.6702, acc=0.3806, time=8.9s
[ravdess/signsgd] round 050/50: loss=1.6669, acc=0.3722, time=8.9s
completed: results/experiment1_five_v1_final/ravdess/signsgd/seed_42_20260812_132621
