[ravdess/w2_fp32_adam] round 001/50: loss=7.3637, acc=0.2278, time=16.8s
[ravdess/w2_fp32_adam] round 002/50: loss=2.9793, acc=0.3889, time=14.8s
[ravdess/w2_fp32_adam] round 003/50: loss=2.2651, acc=0.4278, time=14.6s
[ravdess/w2_fp32_adam] round 004/50: loss=1.8876, acc=0.4528, time=14.5s
[ravdess/w2_fp32_adam] round 005/50: loss=1.8312, acc=0.4750, time=14.4s
[ravdess/w2_fp32_adam] round 006/50: loss=1.8302, acc=0.5000, time=13.9s
[ravdess/w2_fp32_adam] round 007/50: loss=1.6777, acc=0.5194, time=14.0s
[ravdess/w2_fp32_adam] round 008/50: loss=1.6333, acc=0.5417, time=13.4s
[ravdess/w2_fp32_adam] round 009/50: loss=1.6205, acc=0.5556, time=13.9s
[ravdess/w2_fp32_adam] round 010/50: loss=1.6571, acc=0.5500, time=13.7s
[ravdess/w2_fp32_adam] round 011/50: loss=1.6468, acc=0.5833, time=14.0s
[ravdess/w2_fp32_adam] round 012/50: loss=1.6342, acc=0.5667, time=13.7s
[ravdess/w2_fp32_adam] round 013/50: loss=1.6591, acc=0.5667, time=13.9s
[ravdess/w2_fp32_adam] round 014/50: loss=1.7408, acc=0.5833, time=15.0s
[ravdess/w2_fp32_adam] round 015/50: loss=1.8659, acc=0.5583, time=14.0s
[ravdess/w2_fp32_adam] round 016/50: loss=1.7809, acc=0.5861, time=14.1s
[ravdess/w2_fp32_adam] round 017/50: loss=1.7750, acc=0.5722, time=13.6s
[ravdess/w2_fp32_adam] round 018/50: loss=1.7535, acc=0.5694, time=15.1s
[ravdess/w2_fp32_adam] round 019/50: loss=1.7790, acc=0.5917, time=14.3s
[ravdess/w2_fp32_adam] round 020/50: loss=1.8931, acc=0.5806, time=14.1s
[ravdess/w2_fp32_adam] round 021/50: loss=1.8376, acc=0.5944, time=14.0s
[ravdess/w2_fp32_adam] round 022/50: loss=1.9106, acc=0.5611, time=14.8s
[ravdess/w2_fp32_adam] round 023/50: loss=1.8796, acc=0.5639, time=14.1s
[ravdess/w2_fp32_adam] round 024/50: loss=1.9062, acc=0.5806, time=14.0s
[ravdess/w2_fp32_adam] round 025/50: loss=1.9303, acc=0.5806, time=13.9s
[ravdess/w2_fp32_adam] round 026/50: loss=1.8889, acc=0.5861, time=15.2s
[ravdess/w2_fp32_adam] round 027/50: loss=1.9099, acc=0.5778, time=14.1s
[ravdess/w2_fp32_adam] round 028/50: loss=1.9172, acc=0.5861, time=14.0s
[ravdess/w2_fp32_adam] round 029/50: loss=1.9409, acc=0.5694, time=14.1s
[ravdess/w2_fp32_adam] round 030/50: loss=1.9446, acc=0.5667, time=14.8s
[ravdess/w2_fp32_adam] round 031/50: loss=1.9502, acc=0.5667, time=14.0s
[ravdess/w2_fp32_adam] round 032/50: loss=1.9837, acc=0.5722, time=13.8s
[ravdess/w2_fp32_adam] round 033/50: loss=2.0036, acc=0.5639, time=14.4s
[ravdess/w2_fp32_adam] round 034/50: loss=2.0276, acc=0.5694, time=15.0s
[ravdess/w2_fp32_adam] round 035/50: loss=2.0293, acc=0.5639, time=14.0s
[ravdess/w2_fp32_adam] round 036/50: loss=2.0405, acc=0.5611, time=14.0s
[ravdess/w2_fp32_adam] round 037/50: loss=2.7571, acc=0.4917, time=14.0s
[ravdess/w2_fp32_adam] round 038/50: loss=2.1761, acc=0.5111, time=14.8s
[ravdess/w2_fp32_adam] round 039/50: loss=2.0825, acc=0.5333, time=13.8s
[ravdess/w2_fp32_adam] round 040/50: loss=2.3295, acc=0.5556, time=14.0s
[ravdess/w2_fp32_adam] round 041/50: loss=2.1875, acc=0.5444, time=13.9s
[ravdess/w2_fp32_adam] round 042/50: loss=2.1744, acc=0.5833, time=14.8s
[ravdess/w2_fp32_adam] round 043/50: loss=2.1515, acc=0.5750, time=14.1s
[ravdess/w2_fp32_adam] round 044/50: loss=2.2133, acc=0.5722, time=13.9s
[ravdess/w2_fp32_adam] round 045/50: loss=2.2104, acc=0.5750, time=13.9s
[ravdess/w2_fp32_adam] round 046/50: loss=2.2140, acc=0.5778, time=15.0s
[ravdess/w2_fp32_adam] round 047/50: loss=2.2385, acc=0.5750, time=14.1s
[ravdess/w2_fp32_adam] round 048/50: loss=2.2264, acc=0.5722, time=14.1s
[ravdess/w2_fp32_adam] round 049/50: loss=2.2277, acc=0.5861, time=14.2s
[ravdess/w2_fp32_adam] round 050/50: loss=2.2517, acc=0.5778, time=15.5s
completed: results/experiment1_five_v1_final/ravdess/w2_fp32_adam/seed_2024_20260812_141313
