[mnist/bitfl] round 001/50: loss=2.3074, acc=0.1466, time=37.7s
[mnist/bitfl] round 002/50: loss=2.3148, acc=0.1204, time=36.4s
[mnist/bitfl] round 003/50: loss=2.3164, acc=0.1255, time=36.9s
[mnist/bitfl] round 004/50: loss=2.3052, acc=0.1429, time=36.2s
[mnist/bitfl] round 005/50: loss=2.2791, acc=0.1732, time=36.6s
[mnist/bitfl] round 006/50: loss=2.2235, acc=0.2033, time=36.7s
[mnist/bitfl] round 007/50: loss=2.1461, acc=0.2420, time=36.8s
[mnist/bitfl] round 008/50: loss=2.0433, acc=0.2807, time=35.7s
[mnist/bitfl] round 009/50: loss=1.9276, acc=0.3214, time=36.1s
[mnist/bitfl] round 010/50: loss=1.8038, acc=0.3688, time=35.9s
[mnist/bitfl] round 011/50: loss=1.6925, acc=0.4107, time=36.1s
[mnist/bitfl] round 012/50: loss=1.5875, acc=0.4524, time=35.8s
[mnist/bitfl] round 013/50: loss=1.4698, acc=0.5007, time=36.1s
[mnist/bitfl] round 014/50: loss=1.3671, acc=0.5404, time=35.8s
[mnist/bitfl] round 015/50: loss=1.2691, acc=0.5757, time=36.4s
[mnist/bitfl] round 016/50: loss=1.2172, acc=0.5953, time=36.2s
[mnist/bitfl] round 017/50: loss=1.1890, acc=0.6055, time=35.6s
[mnist/bitfl] round 018/50: loss=1.1270, acc=0.6262, time=36.0s
[mnist/bitfl] round 019/50: loss=1.0961, acc=0.6398, time=36.3s
[mnist/bitfl] round 020/50: loss=1.0496, acc=0.6581, time=36.3s
[mnist/bitfl] round 021/50: loss=1.0266, acc=0.6658, time=36.3s
[mnist/bitfl] round 022/50: loss=1.0055, acc=0.6724, time=36.7s
[mnist/bitfl] round 023/50: loss=0.9783, acc=0.6819, time=39.0s
[mnist/bitfl] round 024/50: loss=0.9676, acc=0.6858, time=39.6s
[mnist/bitfl] round 025/50: loss=0.9428, acc=0.6939, time=39.3s
[mnist/bitfl] round 026/50: loss=0.9059, acc=0.7060, time=39.5s
[mnist/bitfl] round 027/50: loss=0.8767, acc=0.7176, time=39.2s
[mnist/bitfl] round 028/50: loss=0.8500, acc=0.7290, time=39.4s
[mnist/bitfl] round 029/50: loss=0.8374, acc=0.7335, time=38.3s
[mnist/bitfl] round 030/50: loss=0.8061, acc=0.7460, time=38.4s
[mnist/bitfl] round 031/50: loss=0.7906, acc=0.7494, time=37.0s
[mnist/bitfl] round 032/50: loss=0.7762, acc=0.7545, time=37.1s
[mnist/bitfl] round 033/50: loss=0.7662, acc=0.7570, time=37.4s
[mnist/bitfl] round 034/50: loss=0.7438, acc=0.7687, time=36.3s
[mnist/bitfl] round 035/50: loss=0.7372, acc=0.7709, time=35.9s
[mnist/bitfl] round 036/50: loss=0.7159, acc=0.7801, time=36.3s
[mnist/bitfl] round 037/50: loss=0.7002, acc=0.7867, time=36.5s
[mnist/bitfl] round 038/50: loss=0.6923, acc=0.7873, time=35.7s
[mnist/bitfl] round 039/50: loss=0.6760, acc=0.7939, time=35.4s
[mnist/bitfl] round 040/50: loss=0.6673, acc=0.7945, time=35.4s
[mnist/bitfl] round 041/50: loss=0.6465, acc=0.8042, time=36.0s
[mnist/bitfl] round 042/50: loss=0.6346, acc=0.8087, time=37.2s
[mnist/bitfl] round 043/50: loss=0.6261, acc=0.8100, time=36.9s
[mnist/bitfl] round 044/50: loss=0.6196, acc=0.8116, time=37.4s
[mnist/bitfl] round 045/50: loss=0.6033, acc=0.8184, time=37.6s
[mnist/bitfl] round 046/50: loss=0.5958, acc=0.8211, time=39.5s
[mnist/bitfl] round 047/50: loss=0.5894, acc=0.8244, time=37.3s
[mnist/bitfl] round 048/50: loss=0.5820, acc=0.8263, time=38.4s
[mnist/bitfl] round 049/50: loss=0.5723, acc=0.8276, time=38.0s
[mnist/bitfl] round 050/50: loss=0.5576, acc=0.8340, time=38.0s
completed: results/mnist_bitfl_cqfl_tuned_final/mnist/bitfl/seed_42_20260814_123419
