[mnist/cqfl] round 001/50: loss=2.2023, acc=0.2054, time=48.2s
[mnist/cqfl] round 002/50: loss=1.9097, acc=0.3588, time=47.8s
[mnist/cqfl] round 003/50: loss=1.6959, acc=0.4809, time=47.6s
[mnist/cqfl] round 004/50: loss=1.4702, acc=0.5823, time=47.1s
[mnist/cqfl] round 005/50: loss=1.2493, acc=0.6748, time=48.0s
[mnist/cqfl] round 006/50: loss=1.0481, acc=0.7361, time=46.9s
[mnist/cqfl] round 007/50: loss=0.8804, acc=0.7802, time=46.6s
[mnist/cqfl] round 008/50: loss=0.7287, acc=0.8180, time=48.5s
[mnist/cqfl] round 009/50: loss=0.6290, acc=0.8346, time=47.1s
[mnist/cqfl] round 010/50: loss=0.5471, acc=0.8528, time=49.3s
[mnist/cqfl] round 011/50: loss=0.4893, acc=0.8622, time=47.2s
[mnist/cqfl] round 012/50: loss=0.4398, acc=0.8748, time=48.1s
[mnist/cqfl] round 013/50: loss=0.4040, acc=0.8830, time=48.6s
[mnist/cqfl] round 014/50: loss=0.3808, acc=0.8862, time=47.7s
[mnist/cqfl] round 015/50: loss=0.3610, acc=0.8931, time=46.2s
[mnist/cqfl] round 016/50: loss=0.3319, acc=0.9016, time=45.7s
[mnist/cqfl] round 017/50: loss=0.3328, acc=0.8998, time=46.7s
[mnist/cqfl] round 018/50: loss=0.2929, acc=0.9143, time=46.3s
[mnist/cqfl] round 019/50: loss=0.3015, acc=0.9106, time=46.8s
[mnist/cqfl] round 020/50: loss=0.2649, acc=0.9221, time=47.5s
[mnist/cqfl] round 021/50: loss=0.2755, acc=0.9181, time=46.8s
[mnist/cqfl] round 022/50: loss=0.2597, acc=0.9209, time=47.9s
[mnist/cqfl] round 023/50: loss=0.2453, acc=0.9276, time=48.3s
[mnist/cqfl] round 024/50: loss=0.2372, acc=0.9287, time=47.7s
[mnist/cqfl] round 025/50: loss=0.2469, acc=0.9228, time=49.0s
[mnist/cqfl] round 026/50: loss=0.2300, acc=0.9320, time=49.5s
[mnist/cqfl] round 027/50: loss=0.2277, acc=0.9301, time=48.1s
[mnist/cqfl] round 028/50: loss=0.2177, acc=0.9344, time=48.6s
[mnist/cqfl] round 029/50: loss=0.2151, acc=0.9345, time=49.5s
[mnist/cqfl] round 030/50: loss=0.2065, acc=0.9374, time=48.9s
[mnist/cqfl] round 031/50: loss=0.2092, acc=0.9341, time=49.3s
[mnist/cqfl] round 032/50: loss=0.1989, acc=0.9392, time=49.4s
[mnist/cqfl] round 033/50: loss=0.1950, acc=0.9400, time=48.7s
[mnist/cqfl] round 034/50: loss=0.1987, acc=0.9388, time=49.5s
[mnist/cqfl] round 035/50: loss=0.1960, acc=0.9385, time=49.9s
[mnist/cqfl] round 036/50: loss=0.1890, acc=0.9415, time=48.9s
[mnist/cqfl] round 037/50: loss=0.1902, acc=0.9411, time=49.0s
[mnist/cqfl] round 038/50: loss=0.1787, acc=0.9444, time=49.3s
[mnist/cqfl] round 039/50: loss=0.1845, acc=0.9420, time=49.9s
[mnist/cqfl] round 040/50: loss=0.1796, acc=0.9430, time=50.1s
[mnist/cqfl] round 041/50: loss=0.1748, acc=0.9450, time=48.3s
[mnist/cqfl] round 042/50: loss=0.1797, acc=0.9426, time=48.3s
[mnist/cqfl] round 043/50: loss=0.1711, acc=0.9469, time=50.0s
[mnist/cqfl] round 044/50: loss=0.1715, acc=0.9463, time=48.9s
[mnist/cqfl] round 045/50: loss=0.1726, acc=0.9455, time=48.4s
[mnist/cqfl] round 046/50: loss=0.1635, acc=0.9485, time=48.4s
[mnist/cqfl] round 047/50: loss=0.1684, acc=0.9464, time=47.2s
[mnist/cqfl] round 048/50: loss=0.1680, acc=0.9451, time=48.5s
[mnist/cqfl] round 049/50: loss=0.1682, acc=0.9462, time=47.2s
[mnist/cqfl] round 050/50: loss=0.1687, acc=0.9438, time=46.8s
completed: results/mnist_bitfl_cqfl_tuned_final/mnist/cqfl/seed_42_20260814_145541
