WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1786432011.806128   20276 device_compiler.h:186] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
WARNING:tensorflow:5 out of the last 5 calls to <function _BaseOptimizer._update_step_xla at 0x7ff704214b80> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
WARNING:tensorflow:6 out of the last 6 calls to <function _BaseOptimizer._update_step_xla at 0x7ff704214b80> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
[ravdess/fedavg_fp32] round 001/50: loss=1.8566, acc=0.3306, time=13.3s
[ravdess/fedavg_fp32] round 002/50: loss=1.8171, acc=0.2694, time=9.5s
[ravdess/fedavg_fp32] round 003/50: loss=1.8423, acc=0.2500, time=9.3s
[ravdess/fedavg_fp32] round 004/50: loss=1.8157, acc=0.2806, time=8.8s
[ravdess/fedavg_fp32] round 005/50: loss=1.8225, acc=0.3250, time=8.7s
[ravdess/fedavg_fp32] round 006/50: loss=1.7723, acc=0.2861, time=8.8s
[ravdess/fedavg_fp32] round 007/50: loss=1.7503, acc=0.3222, time=9.2s
[ravdess/fedavg_fp32] round 008/50: loss=1.6697, acc=0.3611, time=8.9s
[ravdess/fedavg_fp32] round 009/50: loss=1.6619, acc=0.3972, time=8.8s
[ravdess/fedavg_fp32] round 010/50: loss=1.5917, acc=0.4389, time=9.1s
[ravdess/fedavg_fp32] round 011/50: loss=1.5090, acc=0.4694, time=8.9s
[ravdess/fedavg_fp32] round 012/50: loss=1.4332, acc=0.4917, time=8.9s
[ravdess/fedavg_fp32] round 013/50: loss=1.3369, acc=0.5222, time=8.8s
[ravdess/fedavg_fp32] round 014/50: loss=1.2333, acc=0.5667, time=8.9s
[ravdess/fedavg_fp32] round 015/50: loss=1.2085, acc=0.5667, time=9.1s
[ravdess/fedavg_fp32] round 016/50: loss=1.1087, acc=0.6028, time=9.1s
[ravdess/fedavg_fp32] round 017/50: loss=1.1086, acc=0.6278, time=8.9s
[ravdess/fedavg_fp32] round 018/50: loss=1.1131, acc=0.6278, time=8.9s
[ravdess/fedavg_fp32] round 019/50: loss=1.1295, acc=0.6278, time=8.8s
[ravdess/fedavg_fp32] round 020/50: loss=1.1675, acc=0.6389, time=9.2s
[ravdess/fedavg_fp32] round 021/50: loss=1.2220, acc=0.6222, time=8.9s
[ravdess/fedavg_fp32] round 022/50: loss=1.3147, acc=0.6556, time=9.0s
[ravdess/fedavg_fp32] round 023/50: loss=1.5754, acc=0.6111, time=9.1s
[ravdess/fedavg_fp32] round 024/50: loss=2.0607, acc=0.5528, time=8.8s
[ravdess/fedavg_fp32] round 025/50: loss=3.0038, acc=0.4778, time=9.1s
[ravdess/fedavg_fp32] round 026/50: loss=2.5292, acc=0.5028, time=8.7s
[ravdess/fedavg_fp32] round 027/50: loss=1.4325, acc=0.5972, time=8.8s
[ravdess/fedavg_fp32] round 028/50: loss=1.2344, acc=0.6500, time=8.9s
[ravdess/fedavg_fp32] round 029/50: loss=1.4712, acc=0.6167, time=8.9s
[ravdess/fedavg_fp32] round 030/50: loss=1.3463, acc=0.6556, time=8.8s
[ravdess/fedavg_fp32] round 031/50: loss=1.4567, acc=0.6528, time=8.8s
[ravdess/fedavg_fp32] round 032/50: loss=1.4165, acc=0.6639, time=8.8s
[ravdess/fedavg_fp32] round 033/50: loss=1.4494, acc=0.6667, time=8.8s
[ravdess/fedavg_fp32] round 034/50: loss=1.4657, acc=0.6833, time=8.9s
[ravdess/fedavg_fp32] round 035/50: loss=1.4843, acc=0.6833, time=8.7s
[ravdess/fedavg_fp32] round 036/50: loss=1.4985, acc=0.6889, time=9.0s
[ravdess/fedavg_fp32] round 037/50: loss=1.5349, acc=0.6833, time=8.6s
[ravdess/fedavg_fp32] round 038/50: loss=1.5593, acc=0.6861, time=8.7s
[ravdess/fedavg_fp32] round 039/50: loss=1.5726, acc=0.6778, time=8.8s
[ravdess/fedavg_fp32] round 040/50: loss=1.5817, acc=0.6667, time=8.7s
[ravdess/fedavg_fp32] round 041/50: loss=1.6124, acc=0.6722, time=9.8s
[ravdess/fedavg_fp32] round 042/50: loss=1.6136, acc=0.6750, time=8.8s
[ravdess/fedavg_fp32] round 043/50: loss=1.6226, acc=0.6722, time=8.7s
[ravdess/fedavg_fp32] round 044/50: loss=1.6315, acc=0.6722, time=8.8s
[ravdess/fedavg_fp32] round 045/50: loss=1.6383, acc=0.6722, time=8.9s
[ravdess/fedavg_fp32] round 046/50: loss=1.6348, acc=0.6806, time=8.9s
[ravdess/fedavg_fp32] round 047/50: loss=1.6194, acc=0.6722, time=8.8s
[ravdess/fedavg_fp32] round 048/50: loss=1.6285, acc=0.6750, time=8.9s
[ravdess/fedavg_fp32] round 049/50: loss=1.6636, acc=0.6722, time=9.0s
[ravdess/fedavg_fp32] round 050/50: loss=1.6637, acc=0.6722, time=9.2s
completed: results/experiment1_final/ravdess/fedavg_fp32/seed_123_20260811_150650
[ravdess/signsgd] round 001/50: loss=2.0703, acc=0.1389, time=9.2s
[ravdess/signsgd] round 002/50: loss=2.0476, acc=0.1778, time=9.1s
[ravdess/signsgd] round 003/50: loss=2.0209, acc=0.2056, time=9.1s
[ravdess/signsgd] round 004/50: loss=1.9908, acc=0.2333, time=8.8s
[ravdess/signsgd] round 005/50: loss=1.9580, acc=0.2722, time=8.7s
[ravdess/signsgd] round 006/50: loss=1.9259, acc=0.2861, time=9.0s
[ravdess/signsgd] round 007/50: loss=1.8995, acc=0.2917, time=8.2s
[ravdess/signsgd] round 008/50: loss=1.8770, acc=0.2972, time=8.5s
[ravdess/signsgd] round 009/50: loss=1.8582, acc=0.2917, time=8.7s
[ravdess/signsgd] round 010/50: loss=1.8447, acc=0.3056, time=9.0s
[ravdess/signsgd] round 011/50: loss=1.8305, acc=0.3139, time=9.0s
[ravdess/signsgd] round 012/50: loss=1.8235, acc=0.3250, time=9.0s
[ravdess/signsgd] round 013/50: loss=1.8174, acc=0.3278, time=8.4s
[ravdess/signsgd] round 014/50: loss=1.8134, acc=0.3250, time=8.5s
[ravdess/signsgd] round 015/50: loss=1.8115, acc=0.3333, time=8.6s
[ravdess/signsgd] round 016/50: loss=1.8087, acc=0.3472, time=8.9s
[ravdess/signsgd] round 017/50: loss=1.8064, acc=0.3611, time=9.0s
[ravdess/signsgd] round 018/50: loss=1.8090, acc=0.3667, time=8.9s
[ravdess/signsgd] round 019/50: loss=1.8061, acc=0.3694, time=8.6s
[ravdess/signsgd] round 020/50: loss=1.7983, acc=0.3722, time=8.5s
[ravdess/signsgd] round 021/50: loss=1.7988, acc=0.3694, time=9.0s
[ravdess/signsgd] round 022/50: loss=1.7897, acc=0.3694, time=9.2s
[ravdess/signsgd] round 023/50: loss=1.7840, acc=0.3722, time=8.3s
[ravdess/signsgd] round 024/50: loss=1.7748, acc=0.3722, time=8.7s
[ravdess/signsgd] round 025/50: loss=1.7713, acc=0.3833, time=9.0s
[ravdess/signsgd] round 026/50: loss=1.7640, acc=0.3944, time=8.7s
[ravdess/signsgd] round 027/50: loss=1.7593, acc=0.4028, time=9.2s
[ravdess/signsgd] round 028/50: loss=1.7556, acc=0.4056, time=8.7s
[ravdess/signsgd] round 029/50: loss=1.7490, acc=0.4028, time=9.0s
[ravdess/signsgd] round 030/50: loss=1.7454, acc=0.4028, time=8.9s
[ravdess/signsgd] round 031/50: loss=1.7453, acc=0.3972, time=8.6s
[ravdess/signsgd] round 032/50: loss=1.7471, acc=0.3944, time=8.7s
[ravdess/signsgd] round 033/50: loss=1.7448, acc=0.3944, time=9.0s
[ravdess/signsgd] round 034/50: loss=1.7419, acc=0.3861, time=8.7s
[ravdess/signsgd] round 035/50: loss=1.7399, acc=0.3972, time=8.5s
[ravdess/signsgd] round 036/50: loss=1.7388, acc=0.3972, time=8.5s
[ravdess/signsgd] round 037/50: loss=1.7356, acc=0.4028, time=8.9s
[ravdess/signsgd] round 038/50: loss=1.7329, acc=0.4000, time=8.6s
[ravdess/signsgd] round 039/50: loss=1.7294, acc=0.3944, time=8.6s
[ravdess/signsgd] round 040/50: loss=1.7272, acc=0.4028, time=8.9s
[ravdess/signsgd] round 041/50: loss=1.7274, acc=0.4028, time=8.9s
