WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1786437317.049073   27080 device_compiler.h:186] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
WARNING:tensorflow:5 out of the last 5 calls to <function _BaseOptimizer._update_step_xla at 0x7fd914114c10> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
WARNING:tensorflow:6 out of the last 6 calls to <function _BaseOptimizer._update_step_xla at 0x7fd914114c10> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
[ravdess/fedavg_fp32] round 001/50: loss=1.9124, acc=0.2889, time=13.3s
[ravdess/fedavg_fp32] round 002/50: loss=1.8666, acc=0.2917, time=9.1s
[ravdess/fedavg_fp32] round 003/50: loss=1.8522, acc=0.3028, time=9.6s
[ravdess/fedavg_fp32] round 004/50: loss=1.8574, acc=0.3611, time=9.6s
[ravdess/fedavg_fp32] round 005/50: loss=1.8762, acc=0.2750, time=9.0s
[ravdess/fedavg_fp32] round 006/50: loss=1.8695, acc=0.2944, time=9.5s
[ravdess/fedavg_fp32] round 007/50: loss=1.8691, acc=0.3028, time=9.2s
[ravdess/fedavg_fp32] round 008/50: loss=1.7985, acc=0.3306, time=9.1s
[ravdess/fedavg_fp32] round 009/50: loss=1.7810, acc=0.3250, time=8.7s
[ravdess/fedavg_fp32] round 010/50: loss=1.7257, acc=0.3389, time=8.6s
[ravdess/fedavg_fp32] round 011/50: loss=1.6229, acc=0.3722, time=9.0s
[ravdess/fedavg_fp32] round 012/50: loss=1.5327, acc=0.4139, time=9.0s
[ravdess/fedavg_fp32] round 013/50: loss=1.4662, acc=0.4528, time=9.1s
[ravdess/fedavg_fp32] round 014/50: loss=1.3873, acc=0.5000, time=9.7s
[ravdess/fedavg_fp32] round 015/50: loss=1.3581, acc=0.5056, time=9.1s
