WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1786426635.526112   13957 device_compiler.h:186] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
WARNING:tensorflow:5 out of the last 5 calls to <function _BaseOptimizer._update_step_xla at 0x7f15d41f4af0> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
WARNING:tensorflow:6 out of the last 6 calls to <function _BaseOptimizer._update_step_xla at 0x7f15d41f4af0> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
[ravdess/fedavg_fp32] round 001/50: loss=1.9215, acc=0.2694, time=14.0s
[ravdess/fedavg_fp32] round 002/50: loss=1.9228, acc=0.2389, time=9.5s
[ravdess/fedavg_fp32] round 003/50: loss=1.9173, acc=0.2778, time=10.5s
[ravdess/fedavg_fp32] round 004/50: loss=1.9251, acc=0.3167, time=9.1s
[ravdess/fedavg_fp32] round 005/50: loss=1.8918, acc=0.2722, time=9.8s
[ravdess/fedavg_fp32] round 006/50: loss=1.8598, acc=0.3028, time=9.0s
[ravdess/fedavg_fp32] round 007/50: loss=1.8186, acc=0.3333, time=9.0s
[ravdess/fedavg_fp32] round 008/50: loss=1.7544, acc=0.3722, time=10.7s
[ravdess/fedavg_fp32] round 009/50: loss=1.6977, acc=0.4000, time=9.6s
[ravdess/fedavg_fp32] round 010/50: loss=1.6074, acc=0.4194, time=9.7s
[ravdess/fedavg_fp32] round 011/50: loss=1.5249, acc=0.4278, time=9.5s
[ravdess/fedavg_fp32] round 012/50: loss=1.3959, acc=0.4611, time=9.4s
[ravdess/fedavg_fp32] round 013/50: loss=1.3048, acc=0.4917, time=9.6s
[ravdess/fedavg_fp32] round 014/50: loss=1.2689, acc=0.5278, time=9.8s
[ravdess/fedavg_fp32] round 015/50: loss=1.2223, acc=0.5444, time=9.8s
[ravdess/fedavg_fp32] round 016/50: loss=1.2313, acc=0.5250, time=9.5s
[ravdess/fedavg_fp32] round 017/50: loss=1.2177, acc=0.5583, time=9.7s
[ravdess/fedavg_fp32] round 018/50: loss=1.2465, acc=0.5611, time=9.5s
[ravdess/fedavg_fp32] round 019/50: loss=1.2956, acc=0.5639, time=9.7s
