[dronerf/cqfl] round 001/30: loss=1.7703, acc=0.2502, time=15.9s
[dronerf/cqfl] round 002/30: loss=1.1922, acc=0.4418, time=15.6s
[dronerf/cqfl] round 003/30: loss=1.0881, acc=0.4660, time=15.4s
[dronerf/cqfl] round 004/30: loss=1.0344, acc=0.4689, time=15.6s
[dronerf/cqfl] round 005/30: loss=1.0175, acc=0.4684, time=16.0s
[dronerf/cqfl] round 006/30: loss=0.9929, acc=0.4780, time=15.9s
[dronerf/cqfl] round 007/30: loss=0.9840, acc=0.4838, time=15.6s
[dronerf/cqfl] round 008/30: loss=0.9825, acc=0.4829, time=15.9s
[dronerf/cqfl] round 009/30: loss=0.9693, acc=0.5009, time=15.3s
[dronerf/cqfl] round 010/30: loss=0.9699, acc=0.4976, time=14.8s
[dronerf/cqfl] round 011/30: loss=0.9619, acc=0.5002, time=14.8s
[dronerf/cqfl] round 012/30: loss=0.9537, acc=0.5004, time=14.8s
[dronerf/cqfl] round 013/30: loss=0.9467, acc=0.5207, time=14.9s
[dronerf/cqfl] round 014/30: loss=0.9521, acc=0.5211, time=15.4s
[dronerf/cqfl] round 015/30: loss=0.9467, acc=0.5082, time=15.7s
[dronerf/cqfl] round 016/30: loss=0.9490, acc=0.5091, time=15.7s
[dronerf/cqfl] round 017/30: loss=0.9327, acc=0.5304, time=16.0s
[dronerf/cqfl] round 018/30: loss=0.9169, acc=0.5476, time=15.7s
[dronerf/cqfl] round 019/30: loss=0.9197, acc=0.5307, time=15.6s
[dronerf/cqfl] round 020/30: loss=0.9086, acc=0.5513, time=15.6s
[dronerf/cqfl] round 021/30: loss=0.9106, acc=0.5356, time=15.6s
[dronerf/cqfl] round 022/30: loss=0.9174, acc=0.5373, time=15.7s
[dronerf/cqfl] round 023/30: loss=0.8936, acc=0.5662, time=15.7s
[dronerf/cqfl] round 024/30: loss=0.8936, acc=0.5611, time=15.6s
[dronerf/cqfl] round 025/30: loss=0.8929, acc=0.5658, time=16.0s
[dronerf/cqfl] round 026/30: loss=0.8979, acc=0.5522, time=15.5s
[dronerf/cqfl] round 027/30: loss=0.8876, acc=0.5607, time=15.9s
[dronerf/cqfl] round 028/30: loss=0.8862, acc=0.5620, time=15.4s
[dronerf/cqfl] round 029/30: loss=0.8801, acc=0.5880, time=16.3s
[dronerf/cqfl] round 030/30: loss=0.8715, acc=0.5787, time=15.9s
completed: results/tuning_pilot_dronerf_lr_0.001/dronerf/cqfl/seed_42_20260813_123459
