round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,round_seconds
1,2.070779521675671,2.006123405032688,0.22777777777777777,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,13.283125819638371
2,1.510722486411824,1.8820329798592461,0.2638888888888889,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.62454198859632
3,1.2859268013168785,1.8281684928470188,0.3416666666666667,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.661705948412418
4,1.2364137768745422,1.7644731839497885,0.2972222222222222,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.323596443980932
5,1.030209115761168,1.879766787423028,0.26944444444444443,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.405029470100999
6,0.9874190723194796,1.9034138547049628,0.30277777777777776,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.392391037195921
7,0.9313088282942772,2.428810159365336,0.2638888888888889,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,10.98523150011897
8,0.9272665986243416,2.5254294024573434,0.33055555555555555,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.441171787679195
9,0.9242852229405851,2.688672051164839,0.3611111111111111,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.11350617185235
10,0.8527116957394516,2.664871065484153,0.3861111111111111,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,10.858977099880576
