round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,effective_learning_rate,best_train_loss_round,restored_best_after_round,early_stopped,round_seconds
1,1.1057565505345077,1.2829836276372273,0.43022222222222223,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,1,0,0,28.43352308589965
2,1.0183033869086422,1.0297697424358792,0.484,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,2,0,0,27.745984527282417
3,0.9832620934136396,1.015677135573493,0.4935555555555556,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,3,0,0,27.522277293726802
4,0.9558976093698017,0.9806427413092719,0.5048888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,4,0,0,28.67862186767161
5,0.9379979635190298,0.9687221048672994,0.49733333333333335,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,5,0,0,28.01166995242238
6,0.9036156573108656,0.9599871283107334,0.4846666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,6,0,0,27.527400257065892
7,0.8925520070751116,0.9445739586088392,0.5051111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,7,0,0,27.81829202454537
8,0.8609918396485655,0.9216644698778789,0.5222222222222223,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,8,0,0,28.020436653867364
9,0.8406052221766442,0.9095522866778903,0.5362222222222223,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,9,0,0,27.55723941605538
10,0.809053937033773,0.892227042304145,0.554,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,10,0,0,27.817512181587517
11,0.7940264165797845,0.8845850431124369,0.5651111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,11,0,0,30.516258819960058
12,0.7767663184919185,0.8629679464764065,0.5715555555555556,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,12,0,0,30.701567068696022
13,0.7709675020806502,0.854463939666748,0.572,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,13,0,0,30.28523195721209
14,0.7440190739677653,0.8563465677367317,0.568,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,14,0,0,30.453158448450267
15,0.7352729660483025,0.8410861570570204,0.5857777777777777,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,15,0,0,27.626319614239037
16,0.7286805343970485,0.8337557144165039,0.5902222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,16,0,0,27.705340584740043
17,0.7129743481636635,0.8332923644383748,0.5873333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,17,0,0,27.688210925087333
18,0.7179758937331452,0.8332923644383748,0.5873333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,17,1,0,27.638424296863377
19,0.724527077246182,0.8332923644383748,0.5873333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,17,1,0,27.014115693978965
20,0.712266534408325,0.826090569337209,0.5955555555555555,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,20,0,0,26.934831051155925
21,0.7021779878518265,0.8323098466661242,0.5928888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,21,0,0,27.45134579297155
22,0.6988435517907241,0.8351235750516256,0.6002222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,22,0,0,27.13820734899491
23,0.678172140349504,0.8299587533738878,0.6002222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,23,0,0,27.27714398689568
24,0.6753119186574994,0.8338713641696506,0.5977777777777777,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,24,0,0,27.73096908722073
25,0.6609433687124737,0.835728577401903,0.6028888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,25,0,0,27.071721174754202
26,0.6653085393626212,0.835728577401903,0.6028888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,25,1,0,27.339327653869987
27,0.6579305713284878,0.8334616437488132,0.6026666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,27,0,0,28.04277360253036
28,0.6569160150236195,0.8373815732532077,0.6033333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,28,0,0,27.25982076767832
29,0.6452445777364944,0.843363925880856,0.6017777777777777,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,29,0,0,27.186068329960108
30,0.6464739780389813,0.843363925880856,0.6017777777777777,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,29,1,0,26.78940881602466
31,0.6420422514551282,0.8379961653815375,0.6031111111111112,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,31,0,0,27.539850589819252
32,0.6416620261538988,0.8450571730401781,0.602,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,32,0,0,27.334782365709543
33,0.6484491871250869,0.8450571730401781,0.602,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,32,1,0,26.64077448286116
34,0.6423489404174887,0.8450571730401781,0.602,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,32,1,0,26.843824890442193
35,0.6476270999501296,0.8450571730401781,0.602,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,32,1,0,27.22519861906767
36,0.6876663530964178,0.8450571730401781,0.602,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,32,1,0,27.187979319132864
37,0.6403185489198747,0.8375189061164856,0.5986666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,37,0,0,27.6275802180171
38,0.6321229964658641,0.8429120495584276,0.6044444444444445,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,38,0,0,28.6288429973647
39,0.6226637914052542,0.8485526453124153,0.6042222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,39,0,0,28.43583396077156
40,0.6114721061071544,0.8464516118367513,0.6002222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,40,0,0,28.868681244552135
41,0.6170472761000122,0.8464516118367513,0.6002222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,40,1,0,28.729545430280268
42,0.6106847796644189,0.8593784107102288,0.6057777777777777,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,42,0,0,28.195250025950372
43,0.6077956882926632,0.8611225730048285,0.6017777777777777,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,43,0,0,28.525408688932657
44,0.6054537600738857,0.8675327059427898,0.5993333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,44,0,0,28.489056943915784
45,0.5929702743748433,0.8678175834019979,0.6033333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,45,0,0,28.62803108431399
46,0.5930301898137984,0.8678175834019979,0.6033333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,45,1,0,28.050168943591416
47,0.5977777097023081,0.8678175834019979,0.6033333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,45,1,0,28.635838926769793
48,0.5952422688894083,0.8678175834019979,0.6033333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,45,1,0,28.559180514886975
49,0.6013089640940155,0.8678175834019979,0.6033333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,45,1,0,27.99479727167636
50,0.5954543548347718,0.8678175834019979,0.6033333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.0005,45,1,0,28.513427037745714
