round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,round_seconds
1,1.1573106926963441,1.7703010062111748,0.25022222222222223,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.60640459228307
2,1.0344308123418262,1.1261316356658935,0.444,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.950894664041698
3,1.0011394960539681,1.0503149853812324,0.474,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.247356289997697
4,0.9741467901922409,1.0248771738476223,0.4691111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.98045766260475
5,0.9572003462484904,1.0078242637846204,0.4708888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.164881322532892
6,0.9544694186676116,0.9843762510087755,0.482,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.88372282218188
7,0.9429537284941899,0.975425213654836,0.49955555555555553,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.122728990390897
8,0.9080652129933947,0.9592671617401971,0.49066666666666664,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.349698503501713
9,0.884148005218733,0.9430065717697144,0.5284444444444445,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.313984077423811
10,0.8688862643355415,0.9495259593857659,0.5033333333333333,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.149372247979045
11,0.8490917402505873,0.9304720394876268,0.518,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.844331212341785
12,0.8305517754952112,0.917829328695933,0.5268888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.33172544836998
13,0.8228764807610285,0.9018209158579509,0.5548888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.991303760558367
14,0.8206380820274353,0.9004962133831448,0.5406666666666666,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.894969680346549
15,0.817404899426869,0.8816880631976658,0.5613333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.87197956442833
16,0.7971176172438121,0.9083580492867364,0.5353333333333333,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.843414130620658
17,0.7675469051372437,0.8719361261261834,0.5671111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.830776749178767
18,0.7817848951759793,0.8566012032826742,0.5793333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.028273736126721
19,0.8617369082711992,0.8521396898693508,0.5795555555555556,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.323107827454805
20,0.7548168663183847,0.8520365617540148,0.5811111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.706182332709432
21,0.7403927362249011,0.8398006903330485,0.5837777777777777,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.673043999820948
22,0.7249657819952283,0.8392117806540595,0.588,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.913435907103121
23,0.7138330565463928,0.850083244005839,0.5911111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.796050556004047
24,0.7057657239266805,0.8351752519607544,0.5917777777777777,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.8349234405905
25,0.7047798513514654,0.8373437866634793,0.5913333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.276004603132606
26,0.6924023303815295,0.835560256322225,0.598,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,16.166245666332543
27,0.6959186334269387,0.8379548439449734,0.592,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.14914811309427
28,0.6915466613712764,0.8370016084247165,0.5957777777777777,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.242937157861888
29,0.6988997005564824,0.8391887181599935,0.5993333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.962342794053257
30,0.7005191326425189,0.8332128263049655,0.5986666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.04788521118462
31,0.6727965885968435,0.8369492415322198,0.5948888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.146287865005434
32,0.6726534743252255,0.838754507806566,0.5975555555555555,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.106531389057636
33,0.670951306337402,0.8471376058790419,0.5962222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.054140651598573
34,0.6705018807309016,0.8395383212831286,0.6013333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.90524441562593
35,0.6631824746302196,0.8464301795959472,0.5884444444444444,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.785105879418552
36,0.7906688946769351,0.8415230656729804,0.5944444444444444,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.820120986551046
37,0.677866551947026,0.8391224490271674,0.5891111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.705517759546638
38,0.6567428804579236,0.8501720666885376,0.5968888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.515666422434151
39,0.6457796423775809,0.8463843626446194,0.5926666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.54790964256972
40,0.6735815774542945,0.8496691905127631,0.5986666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.760819756425917
41,0.6609668798389888,0.8491540276209514,0.5982222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.645635550841689
42,0.6362317780653635,0.856361334906684,0.5966666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.850155995227396
43,0.6333092382124492,0.85177356783549,0.6,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.625072219409049
44,0.6432488440899622,0.8544658336639405,0.5955555555555555,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.960322494618595
45,0.6875796409022241,0.8533841842015585,0.5993333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.04063440579921
46,0.6322955836284729,0.8552688479953342,0.596,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.903378724120557
47,0.6322816826190267,0.8573135976791382,0.5995555555555555,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.109733832068741
48,0.6382456113327117,0.8657958980136448,0.5964444444444444,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.73907910194248
49,0.6186124394904999,0.8792677211761475,0.5986666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.657305185683072
50,0.6163075342632476,0.8686771575080023,0.5955555555555555,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.27515316195786
51,0.6088012184131714,0.8656889395183988,0.5964444444444444,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.160605685785413
52,0.6190960929365386,0.8630474620395236,0.596,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.01539055723697
53,0.6067521320638203,0.8712379361258613,0.5944444444444444,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.080443139187992
54,0.6169306547017325,0.8725632092158,0.5855555555555556,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.931542569771409
55,0.6005288711615971,0.8730757397545709,0.596,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.831043750047684
56,0.6034823884282793,0.8905656716028849,0.5864444444444444,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.94666612520814
57,0.5971410932711192,0.8899429597854615,0.5951111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.036198968067765
58,0.6026108152241934,0.9136741502549913,0.5964444444444444,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.09398335404694
59,0.6011611838567824,0.8912569285498725,0.5986666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.905753439292312
60,0.5866878644057684,0.8845400647057428,0.5988888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.81560408975929
61,0.5887743193478812,0.8876244260999891,0.5971111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.899559454061091
62,0.6253272102702232,0.8873152201970418,0.5968888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.909594492055476
63,0.5715888924683844,0.8968572285970052,0.5986666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.767722390592098
64,0.5698678673165185,0.9034654880099826,0.5844444444444444,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.032855436205864
65,0.5779799944304284,0.9073644234339396,0.5891111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.924974674358964
66,0.5647010406426021,0.9124934855567084,0.5906666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.722438546828926
67,0.5718540849004473,0.9172200349171956,0.5868888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.912275804206729
68,0.5560639255671274,0.9039212497075398,0.5915555555555555,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.766238491982222
69,0.5471510258033162,0.9186597685284085,0.5871111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.039094859734178
70,0.5510458971914791,0.9206277752982246,0.5935555555555555,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.697281327098608
71,0.5379271794500805,0.9201379106309678,0.5888888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.161705074831843
72,0.5308217799663544,0.933558810128106,0.5931111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.73469240963459
73,0.5266763924842789,0.929337592654758,0.5913333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.64939228631556
74,0.5779056962331137,0.9336543686125014,0.5951111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.815678367391229
75,0.5443438218746867,0.9419348513285319,0.5833333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.881263876333833
76,0.5124829427259309,0.9479409082200793,0.5835555555555556,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.931385954841971
77,0.5090700095040458,0.9461832404666477,0.6002222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.357236616313457
78,0.5050837711209344,1.0036246960957844,0.5764444444444444,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.048435053788126
79,0.5278942269512585,0.9759996792475383,0.5811111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.927693030796945
80,0.5007516457495235,0.9524441068437365,0.5922222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.92709162272513
81,0.49415219860417503,0.9612186850441826,0.5868888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.202596643939614
82,0.5143753142300106,0.9627560897403293,0.594,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.884422310627997
83,0.5008697638341358,0.9844629098044502,0.5946666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.128635872155428
84,0.4874625656150636,1.0039966140323215,0.5815555555555556,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.013593713752925
85,0.4895457100868225,1.0151271980073717,0.58,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.780294070020318
