round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,effective_learning_rate,best_train_loss_round,restored_best_after_round,early_stopped,round_seconds
1,1.129159014336092,1.409780953089396,0.4011111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,1,0,0,30.744820469990373
2,1.0349962631288812,1.0551967363357544,0.4513333333333333,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,2,0,0,30.075802558101714
3,1.0056742450276814,1.0255338569217258,0.49422222222222223,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,3,0,0,27.70987676642835
4,0.9900003316259541,0.9903769549263848,0.49444444444444446,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,4,0,0,27.59922073688358
5,0.9638790506697055,0.980113985379537,0.502,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,5,0,0,27.49235006608069
6,0.9486645629409891,0.9860623769760132,0.49866666666666665,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,6,0,0,27.886750460602343
7,0.9344517216884054,0.9970456268522474,0.4722222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,7,0,0,27.556267329491675
8,0.9212696617322994,1.0024534763230217,0.4662222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,8,0,0,28.060514345765114
9,0.90581699741885,1.0063524316151937,0.48133333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,9,0,0,27.924189095385373
10,0.8840739864071796,0.9376069835027059,0.52,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,10,0,0,27.851900009438396
11,0.8609632105452476,0.9429581043455336,0.5124444444444445,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,11,0,0,27.387532751075923
12,0.8471642012740004,0.9176231108241611,0.5275555555555556,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,12,0,0,28.14951641857624
13,0.8346343073292907,0.8935914607577854,0.558,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,13,0,0,27.778139838948846
14,0.8111312706751386,0.890403168519338,0.5555555555555556,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,14,0,0,27.589634106494486
15,0.8075414108686845,0.8866108619901869,0.578,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,15,0,0,27.730440547689795
16,0.7873768685721412,0.8830352817111545,0.5717777777777778,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,16,0,0,27.515272222459316
17,0.8113598532575889,0.8830352817111545,0.5717777777777778,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,16,1,0,27.49768684245646
18,0.774464671174783,0.8852594731648763,0.5677777777777778,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,18,0,0,27.885567983612418
19,0.7831531666980197,0.8852594731648763,0.5677777777777778,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,18,1,0,27.786254605278373
20,0.7790827832271899,0.8852594731648763,0.5677777777777778,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,18,1,0,27.558412726968527
21,0.7710844659932533,0.8715627720091078,0.5855555555555556,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,21,0,0,27.23212864715606
22,0.762186662422123,0.8776298268636068,0.5897777777777777,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,22,0,0,27.438314127735794
23,0.7548929312551158,0.868238154941135,0.5864444444444444,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,23,0,0,27.874595905654132
24,0.7604645296133602,0.868238154941135,0.5864444444444444,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,23,1,0,27.452860664576292
25,0.7759919193558309,0.868238154941135,0.5864444444444444,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,23,1,0,27.4283484891057
26,0.7375933330786248,0.8752723793453641,0.5962222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,26,0,0,27.91011554095894
27,0.7253419408676857,0.8691223619249132,0.5857777777777777,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,27,0,0,27.777833973057568
28,0.7151434627522779,0.8587337652842204,0.5871111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,28,0,0,27.82107591908425
29,0.7101564735893546,0.8624427037768894,0.582,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,29,0,0,27.97637325897813
30,0.7152589342203634,0.8624427037768894,0.582,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,29,1,0,27.777629513293505
31,0.7152803517728799,0.8624427037768894,0.582,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,29,1,0,27.642218844033778
32,0.718077631926008,0.8624427037768894,0.582,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,29,1,0,27.61674416437745
33,0.721620089931441,0.8624427037768894,0.582,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,29,1,0,27.76157743204385
34,0.7226499845696788,0.8624427037768894,0.582,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.0005,29,1,0,27.89925265405327
35,0.7103190525069417,0.8624427037768894,0.582,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.0005,29,1,0,27.66965108923614
36,0.7033016587688613,0.8586355510287814,0.5773333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.0005,36,0,0,28.054720766842365
37,0.6938902516572542,0.864346137046814,0.5731111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.0005,37,0,0,27.492966460995376
38,0.7000522369273582,0.864346137046814,0.5731111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.0005,37,1,0,27.274907905608416
39,0.7083015376295166,0.864346137046814,0.5731111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.0005,37,1,0,27.54855177924037
40,0.7173891084500527,0.864346137046814,0.5731111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.0005,37,1,0,27.729195459745824
41,0.6908846044041252,0.863368109703064,0.5955555555555555,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.0005,41,0,0,27.481512481346726
42,0.6849107948723685,0.8608212923473783,0.586,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.0005,42,0,0,28.049842558801174
43,0.6817091569027974,0.8631835155487061,0.5768888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.0005,43,0,0,27.696876741945744
44,0.6774697531590907,0.864518888367547,0.5866666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.0005,44,0,0,27.924854394979775
45,0.6737176889190926,0.8669185822804769,0.5848888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.0005,45,0,0,27.8283214205876
46,0.6773234417476678,0.8669185822804769,0.5848888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.0005,45,1,0,28.504249398596585
47,0.6681267248015784,0.8692308147218493,0.5848888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.0005,47,0,0,27.867677214555442
