round,train_loss,test_loss,test_accuracy,uplink_bytes,downlink_bytes,optimizer_state_bytes,round_seconds
1,2.06224282524165,1.9214828703138562,0.26944444444444443,50985024,50985024,101962896,14.021067120018415
2,1.1666137383264654,1.9227655622694226,0.2388888888888889,50985024,50985024,101962896,9.476570246042684
3,0.713860801914159,1.91730625099606,0.2777777777777778,50985024,50985024,101962896,10.458708186051808
4,0.4043360856526038,1.9250515143076579,0.31666666666666665,50985024,50985024,101962896,9.137771331006661
5,0.195439184194102,1.8918321583006117,0.2722222222222222,50985024,50985024,101962896,9.7753561809659
6,0.08651811255635146,1.859768933720059,0.30277777777777776,50985024,50985024,101962896,8.967962439986877
7,0.03904085034531925,1.8186359220080905,0.3333333333333333,50985024,50985024,101962896,9.002154474961571
8,0.02095376097542398,1.7544293430116442,0.37222222222222223,50985024,50985024,101962896,10.733290630043484
9,0.01402428380199982,1.6977269570032756,0.4,50985024,50985024,101962896,9.615618133102544
10,0.007004019625395919,1.6074229213926527,0.41944444444444445,50985024,50985024,101962896,9.69231851794757
11,0.005645629485918428,1.524878772099813,0.42777777777777776,50985024,50985024,101962896,9.51276204700116
12,0.02684236321382581,1.3958665053049724,0.46111111111111114,50985024,50985024,101962896,9.39625333296135
13,0.03809002412633751,1.3047617991765341,0.49166666666666664,50985024,50985024,101962896,9.580657787038945
14,0.01057959459413884,1.2689188798268636,0.5277777777777778,50985024,50985024,101962896,9.833374888054095
15,0.0032153049486463286,1.2222861131032308,0.5444444444444444,50985024,50985024,101962896,9.829215497011319
16,0.0028046492240237594,1.2313011010487875,0.525,50985024,50985024,101962896,9.531510822009295
17,0.0014812185211613884,1.2176954216427274,0.5583333333333333,50985024,50985024,101962896,9.726036853971891
18,0.0011745396013258655,1.2464604086346096,0.5611111111111111,50985024,50985024,101962896,9.472765357000753
19,0.0010569753709098544,1.2956147856182523,0.5638888888888889,50985024,50985024,101962896,9.65148074598983
20,0.0009800936200275935,1.3443502028783163,0.5638888888888889,50985024,50985024,101962896,9.344248154084198
21,0.0007842762271834277,1.3926490545272827,0.5666666666666667,50985024,50985024,101962896,9.504500829032622
22,0.0007020857776617905,1.4411010808414884,0.5611111111111111,50985024,50985024,101962896,9.140753587940708
23,0.0006904518833086031,1.4910047266218398,0.5611111111111111,50985024,50985024,101962896,9.5181363489246
24,0.0006071316984161967,1.5248611370722454,0.5638888888888889,50985024,50985024,101962896,9.259384626988322
25,0.0007596362378107563,1.5785258849461874,0.55,50985024,50985024,101962896,9.551679339027032
26,0.000512341909651535,1.573205010096232,0.5666666666666667,50985024,50985024,101962896,10.086453816969879
27,0.0004482997099544531,1.607885890536838,0.5555555555555556,50985024,50985024,101962896,9.092609194922261
28,0.00045605756264087497,1.613394914733039,0.5555555555555556,50985024,50985024,101962896,9.54742416809313
29,0.000439925296792781,1.63297618760003,0.5638888888888889,50985024,50985024,101962896,9.975063577992842
30,0.0003375707265417184,1.6481990999645657,0.5555555555555556,50985024,50985024,101962896,9.374098476022482
31,0.0003553710264574928,1.6604050556818644,0.5527777777777778,50985024,50985024,101962896,10.864240302005783
32,0.00031492150334516363,1.6788786914613512,0.5555555555555556,50985024,50985024,101962896,9.139148473041132
33,0.0002954671357228482,1.6706146478652955,0.5527777777777778,50985024,50985024,101962896,9.311799625051208
34,0.00029043074589614714,1.68949171172248,0.5472222222222223,50985024,50985024,101962896,9.218835773062892
35,0.00028276382791398856,1.6934021605385674,0.55,50985024,50985024,101962896,9.4600865310058
36,0.00023086063179909936,1.6898830519782173,0.5555555555555556,50985024,50985024,101962896,9.484201291925274
37,0.00025292187563215573,1.7051811774571737,0.5555555555555556,50985024,50985024,101962896,9.7798881160561
38,0.00021536808809982818,1.7196506076388889,0.5527777777777778,50985024,50985024,101962896,9.550372358062305
39,0.0002145844521371199,1.7154375791549683,0.5611111111111111,50985024,50985024,101962896,9.288776079076342
40,0.00021365165666258475,1.718542226155599,0.5527777777777778,50985024,50985024,101962896,9.6670195289189
41,0.00016311424903559622,1.7292301893234252,0.5583333333333333,50985024,50985024,101962896,9.71848412801046
42,0.00017870782844778767,1.7516431225670708,0.5527777777777778,50985024,50985024,101962896,9.399543787003495
43,0.00017028733132332598,1.7509206453959147,0.5527777777777778,50985024,50985024,101962896,10.745976767968386
44,0.00015455836915755165,1.757758265071445,0.5472222222222223,50985024,50985024,101962896,9.58982355101034
45,0.00015651272550552247,1.7668750100665622,0.5416666666666666,50985024,50985024,101962896,9.534047397086397
46,0.00015100594574131023,1.7762962950600518,0.5416666666666666,50985024,50985024,101962896,10.654175185016356
47,0.0001221569979112674,1.7811758915583293,0.55,50985024,50985024,101962896,9.626212315983139
48,0.00012685713101531933,1.778516379992167,0.55,50985024,50985024,101962896,9.36950456397608
49,0.00011656599376157615,1.7866280926598443,0.5416666666666666,50985024,50985024,101962896,9.474002971081063
50,0.00011489238316725652,1.7992249382866754,0.5444444444444444,50985024,50985024,101962896,9.58154101704713
