round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,effective_learning_rate,best_train_loss_round,restored_best_after_round,early_stopped,round_seconds
1,1.1093486045567662,1.2709179644054838,0.39066666666666666,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,1,0,0,30.3821239778772
2,1.0315338978650925,1.0347526219685872,0.4631111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,2,0,0,28.12406443990767
3,0.995557027388676,1.0181707444720798,0.47555555555555556,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,3,0,0,28.07791589293629
4,0.9680493316793285,0.9952141236199273,0.4911111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,4,0,0,27.902127997018397
5,0.9542600076979604,0.9871196388668484,0.49733333333333335,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,5,0,0,27.53020838741213
6,0.9351479474091764,0.9789375104904174,0.48533333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,6,0,0,27.73240518104285
7,0.9118351427415516,0.966913614961836,0.4855555555555556,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,7,0,0,27.3421303993091
8,0.8960792178605578,0.9646410035027398,0.49733333333333335,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,8,0,0,27.726564408279955
9,0.8778663022666926,0.9392633301417033,0.5208888888888888,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,9,0,0,28.901586966589093
10,0.8460590172499076,0.9250031943851047,0.5388888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,10,0,0,29.48786657769233
11,0.853073636598775,0.9250031943851047,0.5388888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,10,1,0,28.714077476412058
12,0.8542787021173435,0.9250031943851047,0.5388888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,10,1,0,28.75568195618689
13,0.8446113860029696,0.9137545131577386,0.5562222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,13,0,0,28.10566505882889
14,0.8226538056658799,0.9218943252033658,0.5497777777777778,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,14,0,0,27.29216251615435
15,0.7980578497477941,0.8944597529305353,0.5537777777777778,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,15,0,0,28.507978077046573
16,0.7862492642516182,0.9077098088794284,0.552,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,16,0,0,30.354458979330957
17,0.7794822196581681,0.8836767736011081,0.566,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,17,0,0,28.934527763165534
18,0.7589615725800517,0.8752682138019138,0.5695555555555556,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,18,0,0,29.23530577495694
19,0.7426132848066063,0.8686459401448567,0.5733333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,19,0,0,27.771807305514812
20,0.7463148260801689,0.8686459401448567,0.5733333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,19,1,0,28.15005252789706
21,0.734462233679048,0.8820160825517442,0.5693333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,21,0,0,27.782417949289083
22,0.7293445269002508,0.8719054845174153,0.5766666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,22,0,0,27.854521811939776
23,0.713196054374056,0.8695406428443061,0.5817777777777777,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,23,0,0,27.552648196928203
24,0.7092068103944337,0.8685066001680162,0.5793333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,24,0,0,28.232179031707346
25,0.7220301989435367,0.8685066001680162,0.5793333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,0.001,24,1,0,30.33710876572877
