round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,round_seconds
1,1.1307982265665417,1.2767292216618855,0.38911111111111113,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,12.510785914957523
2,1.0071436440093176,1.2477227341334025,0.39155555555555555,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,11.049310956150293
3,0.9804662148725418,1.2385418641302322,0.3928888888888889,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,11.152860060334206
4,0.9503089724552065,1.2269747207429673,0.3953333333333333,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,11.183228245005012
5,0.9151779480775197,1.2431085731718274,0.3948888888888889,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,11.267540898174047
6,0.8933991085915339,1.241196133295695,0.39755555555555555,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,10.906155057251453
7,0.8476194940294537,1.2308936225043403,0.4011111111111111,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,10.67625286988914
8,0.7950043760594868,1.182393208026886,0.40244444444444444,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,10.97886324301362
9,0.7710481358425957,1.1542694418165418,0.406,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,11.166206367313862
10,0.7580242164078212,1.0903177291022406,0.4142222222222222,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,11.086845165118575
11,0.730183204185395,1.0283043451839022,0.43222222222222223,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,11.035022957250476
12,0.7130485698154994,0.9864058222240872,0.43866666666666665,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,10.901560923084617
13,0.704700300352914,0.9396769994629754,0.4682222222222222,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,11.008941266685724
14,0.6934552630072548,0.8876269776556227,0.5235555555555556,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,10.861366711556911
15,0.7003768629403341,0.8428076035181681,0.5735555555555556,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,10.840093620121479
16,0.6825054511853627,0.8184157739745246,0.586,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,10.897277964279056
17,0.6806037076030458,0.7776612656911214,0.6284444444444445,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,10.940861999988556
18,0.6816934971014659,0.757434776465098,0.6302222222222222,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,10.925919961184263
19,0.6916330952587582,0.7293179153336419,0.6473333333333333,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,11.157654104754329
