round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,round_seconds
1,1.434855964410873,1.3695820723639593,0.3635555555555556,signsgd,85985,84065,0,0,0,1920,2681680,0,10.087512450292706
2,1.3620540882859913,1.3361994896994698,0.34555555555555556,signsgd,85985,84065,0,0,0,1920,2681680,0,8.902797324582934
3,1.330773948431015,1.3105065291722615,0.3451111111111111,signsgd,85985,84065,0,0,0,1920,2681680,0,8.90678022429347
4,1.2969754869029635,1.2918265851868524,0.3562222222222222,signsgd,85985,84065,0,0,0,1920,2681680,0,9.024044875055552
5,1.2825896455560413,1.2773343725204467,0.36288888888888887,signsgd,85985,84065,0,0,0,1920,2681680,0,9.383682951331139
6,1.2819188429060437,1.2660948996543884,0.37022222222222223,signsgd,85985,84065,0,0,0,1920,2681680,0,9.292220355942845
7,1.2750213477725076,1.256462747308943,0.37577777777777777,signsgd,85985,84065,0,0,0,1920,2681680,0,9.34973343461752
8,1.2329405290172215,1.2470204914940728,0.37666666666666665,signsgd,85985,84065,0,0,0,1920,2681680,0,9.297513423487544
9,1.225457236710049,1.2383103008800083,0.3953333333333333,signsgd,85985,84065,0,0,0,1920,2681680,0,9.346691899001598
10,1.2249764668941499,1.2296854526731702,0.4126666666666667,signsgd,85985,84065,0,0,0,1920,2681680,0,9.205288089811802
11,1.2102452669824872,1.2209901901351081,0.418,signsgd,85985,84065,0,0,0,1920,2681680,0,9.196018712595105
12,1.20260862719445,1.212611883269416,0.4288888888888889,signsgd,85985,84065,0,0,0,1920,2681680,0,9.139200240373611
13,1.2005862422216507,1.2041762635972766,0.43577777777777776,signsgd,85985,84065,0,0,0,1920,2681680,0,8.664100848138332
14,1.194124450399762,1.1957958747545878,0.43466666666666665,signsgd,85985,84065,0,0,0,1920,2681680,0,8.685228293761611
15,1.1962534155732112,1.187974211798774,0.4368888888888889,signsgd,85985,84065,0,0,0,1920,2681680,0,8.816592803224921
16,1.1805153486842201,1.180734449810452,0.43822222222222224,signsgd,85985,84065,0,0,0,1920,2681680,0,9.236617077142
17,1.1825440406799317,1.1739170469707914,0.44044444444444447,signsgd,85985,84065,0,0,0,1920,2681680,0,9.208570783957839
18,1.1940478758584885,1.1676475326220195,0.4411111111111111,signsgd,85985,84065,0,0,0,1920,2681680,0,9.24920229613781
19,1.2051234899248393,1.1618745588196648,0.4424444444444444,signsgd,85985,84065,0,0,0,1920,2681680,0,9.357013992965221
20,1.176736765816098,1.1569916288057962,0.44377777777777777,signsgd,85985,84065,0,0,0,1920,2681680,0,9.324073256924748
21,1.1625835562887645,1.15244855372111,0.4428888888888889,signsgd,85985,84065,0,0,0,1920,2681680,0,9.270404927432537
22,1.1706696043695721,1.1485859466128878,0.444,signsgd,85985,84065,0,0,0,1920,2681680,0,9.245176974684
23,1.1538168329851968,1.1448664399252997,0.44355555555555554,signsgd,85985,84065,0,0,0,1920,2681680,0,9.249575549736619
24,1.1549616344769795,1.1418071439531114,0.444,signsgd,85985,84065,0,0,0,1920,2681680,0,8.90620438940823
25,1.1555755131017595,1.138987597465515,0.4444444444444444,signsgd,85985,84065,0,0,0,1920,2681680,0,8.83184463903308
26,1.1477846224535078,1.13586282020145,0.4451111111111111,signsgd,85985,84065,0,0,0,1920,2681680,0,8.786595346406102
27,1.1618843493575142,1.1334620712068346,0.4464444444444444,signsgd,85985,84065,0,0,0,1920,2681680,0,8.886047391220927
28,1.1490198110398793,1.1313331599765353,0.4464444444444444,signsgd,85985,84065,0,0,0,1920,2681680,0,9.227070627734065
29,1.1489621612003873,1.129021947118971,0.4468888888888889,signsgd,85985,84065,0,0,0,1920,2681680,0,9.304138669744134
30,1.1405707568781718,1.1269026141696505,0.44755555555555554,signsgd,85985,84065,0,0,0,1920,2681680,0,9.420269263908267
31,1.1427582113515762,1.1248643096288045,0.44866666666666666,signsgd,85985,84065,0,0,0,1920,2681680,0,9.364625312387943
32,1.1335350541273754,1.123315776824951,0.4491111111111111,signsgd,85985,84065,0,0,0,1920,2681680,0,9.272046834230423
33,1.1360056895869122,1.1210990639792549,0.4504444444444444,signsgd,85985,84065,0,0,0,1920,2681680,0,9.15107635781169
34,1.1401750741118477,1.1193742628097534,0.45022222222222225,signsgd,85985,84065,0,0,0,1920,2681680,0,9.325690772384405
35,1.1336319361414229,1.117587364938524,0.45066666666666666,signsgd,85985,84065,0,0,0,1920,2681680,0,9.034271240234375
36,1.1404070915494646,1.115430102772183,0.4508888888888889,signsgd,85985,84065,0,0,0,1920,2681680,0,8.735202930867672
37,1.1263645931652613,1.1137734402550592,0.45111111111111113,signsgd,85985,84065,0,0,0,1920,2681680,0,8.67396686412394
38,1.125707548970268,1.111770275010003,0.45155555555555554,signsgd,85985,84065,0,0,0,1920,2681680,0,8.750636151060462
39,1.1226003518558685,1.1099136154386733,0.4513333333333333,signsgd,85985,84065,0,0,0,1920,2681680,0,9.262647327035666
40,1.1280637393111275,1.108408497598436,0.4524444444444444,signsgd,85985,84065,0,0,0,1920,2681680,0,9.230582945048809
41,1.1276505618435997,1.1067986125946045,0.4533333333333333,signsgd,85985,84065,0,0,0,1920,2681680,0,9.244697222486138
42,1.1206014441308523,1.105418842845493,0.4537777777777778,signsgd,85985,84065,0,0,0,1920,2681680,0,9.323518985882401
43,1.121470822777067,1.1040667401419746,0.454,signsgd,85985,84065,0,0,0,1920,2681680,0,9.351872883737087
44,1.1383490020888192,1.1026236789491441,0.45466666666666666,signsgd,85985,84065,0,0,0,1920,2681680,0,9.381282033398747
45,1.1232171769369217,1.1012840625974867,0.4548888888888889,signsgd,85985,84065,0,0,0,1920,2681680,0,9.382511405274272
46,1.1426800802775792,1.1000261872609456,0.456,signsgd,85985,84065,0,0,0,1920,2681680,0,9.144268419593573
47,1.1205293440818787,1.0985962993833753,0.45666666666666667,signsgd,85985,84065,0,0,0,1920,2681680,0,8.805497413501143
48,1.1137678524426051,1.0973395691977608,0.45666666666666667,signsgd,85985,84065,0,0,0,1920,2681680,0,9.449053818359971
49,1.10991972889219,1.0958957384957209,0.4573333333333333,signsgd,85985,84065,0,0,0,1920,2681680,0,9.374229891225696
50,1.1076103703748612,1.0944610204696654,0.4577777777777778,signsgd,85985,84065,0,0,0,1920,2681680,0,9.694049237295985
51,1.1057043308019638,1.0932814778221978,0.45844444444444443,signsgd,85985,84065,0,0,0,1920,2681680,0,10.186409663408995
52,1.1153177907353355,1.091918209499783,0.45955555555555555,signsgd,85985,84065,0,0,0,1920,2681680,0,10.362974494695663
53,1.1021692969117847,1.0905796202553644,0.4593333333333333,signsgd,85985,84065,0,0,0,1920,2681680,0,10.169152148067951
54,1.1181630269118716,1.089640489578247,0.4593333333333333,signsgd,85985,84065,0,0,0,1920,2681680,0,9.527787756174803
55,1.1018025761558896,1.0885058709250557,0.4597777777777778,signsgd,85985,84065,0,0,0,1920,2681680,0,10.402155747637153
56,1.1081602155310768,1.0876586124632093,0.46,signsgd,85985,84065,0,0,0,1920,2681680,0,9.055575635284185
57,1.1027282251062849,1.0867105210622152,0.4608888888888889,signsgd,85985,84065,0,0,0,1920,2681680,0,8.939453849568963
58,1.0982896976243883,1.0854063023461236,0.46155555555555555,signsgd,85985,84065,0,0,0,1920,2681680,0,8.77639676630497
59,1.1002050019445875,1.084674583223131,0.46244444444444444,signsgd,85985,84065,0,0,0,1920,2681680,0,8.905477594584227
60,1.095731159845988,1.0836616114510431,0.4633333333333333,signsgd,85985,84065,0,0,0,1920,2681680,0,9.182136675342917
61,1.1038075017361415,1.0828471077813042,0.4642222222222222,signsgd,85985,84065,0,0,0,1920,2681680,0,9.244580319151282
62,1.0991849130675906,1.0816344265407987,0.4646666666666667,signsgd,85985,84065,0,0,0,1920,2681680,0,9.296559816226363
63,1.0924936898549398,1.081026544464959,0.4657777777777778,signsgd,85985,84065,0,0,0,1920,2681680,0,9.222448281943798
64,1.1100085554236458,1.0799918150371974,0.46555555555555556,signsgd,85985,84065,0,0,0,1920,2681680,0,9.166839802637696
65,1.0938370752334594,1.0792766609191895,0.46555555555555556,signsgd,85985,84065,0,0,0,1920,2681680,0,9.189941860735416
66,1.095340348993029,1.078492001109653,0.4673333333333333,signsgd,85985,84065,0,0,0,1920,2681680,0,9.159471347928047
67,1.0946565056982496,1.0778652404149374,0.4671111111111111,signsgd,85985,84065,0,0,0,1920,2681680,0,8.95927352271974
68,1.0909127027647836,1.077315316942003,0.46644444444444444,signsgd,85985,84065,0,0,0,1920,2681680,0,9.007737044245005
69,1.0866481712886267,1.076162958463033,0.4671111111111111,signsgd,85985,84065,0,0,0,1920,2681680,0,8.99709958024323
70,1.095454727382887,1.0753088392681545,0.4673333333333333,signsgd,85985,84065,0,0,0,1920,2681680,0,9.374447589740157
71,1.0874137216522581,1.0745553006066217,0.46755555555555556,signsgd,85985,84065,0,0,0,1920,2681680,0,9.283064438030124
72,1.085129106527283,1.0737827808592055,0.4686666666666667,signsgd,85985,84065,0,0,0,1920,2681680,0,9.266046028584242
73,1.0874429298014867,1.0730133794148764,0.4688888888888889,signsgd,85985,84065,0,0,0,1920,2681680,0,9.269864190369844
74,1.0946314418599719,1.0722320343653362,0.46844444444444444,signsgd,85985,84065,0,0,0,1920,2681680,0,9.230701509863138
75,1.0826012491612207,1.0715703483157688,0.4691111111111111,signsgd,85985,84065,0,0,0,1920,2681680,0,9.314072340726852
76,1.0806786923749105,1.070665222062005,0.4706666666666667,signsgd,85985,84065,0,0,0,1920,2681680,0,9.298609808087349
77,1.0823802307957695,1.0699240066740248,0.4708888888888889,signsgd,85985,84065,0,0,0,1920,2681680,0,8.931774027645588
78,1.0897801594507126,1.0693926621543037,0.4708888888888889,signsgd,85985,84065,0,0,0,1920,2681680,0,8.609283272176981
79,1.0954142358473369,1.0686277686225043,0.4708888888888889,signsgd,85985,84065,0,0,0,1920,2681680,0,8.77681990712881
80,1.0844808870553968,1.0678452428181966,0.4706666666666667,signsgd,85985,84065,0,0,0,1920,2681680,0,9.262855350971222
81,1.0796579469669434,1.0669650964736939,0.4713333333333333,signsgd,85985,84065,0,0,0,1920,2681680,0,9.346507078036666
82,1.0801668779055278,1.0665362700356378,0.4706666666666667,signsgd,85985,84065,0,0,0,1920,2681680,0,9.279204856604338
83,1.0906695968764168,1.0659600982666015,0.4708888888888889,signsgd,85985,84065,0,0,0,1920,2681680,0,9.447761576622725
84,1.0799189156861533,1.0654236534966364,0.47044444444444444,signsgd,85985,84065,0,0,0,1920,2681680,0,9.254570093005896
85,1.0878813251711075,1.0647500110202366,0.46955555555555556,signsgd,85985,84065,0,0,0,1920,2681680,0,9.21968531794846
86,1.0795566607940765,1.0641409740447998,0.4708888888888889,signsgd,85985,84065,0,0,0,1920,2681680,0,9.271757269278169
87,1.0776496886071705,1.0634428887897067,0.4706666666666667,signsgd,85985,84065,0,0,0,1920,2681680,0,8.90613835863769
88,1.0762122159912473,1.062741703775194,0.4702222222222222,signsgd,85985,84065,0,0,0,1920,2681680,0,8.750181160867214
89,1.0886662589368366,1.0622501375410291,0.47,signsgd,85985,84065,0,0,0,1920,2681680,0,8.731392182409763
90,1.0760574648493813,1.0617530606587728,0.47044444444444444,signsgd,85985,84065,0,0,0,1920,2681680,0,9.432698031887412
91,1.0842409474509103,1.0611744063695272,0.4702222222222222,signsgd,85985,84065,0,0,0,1920,2681680,0,9.288833079859614
92,1.0819747404257458,1.0607317417992486,0.47044444444444444,signsgd,85985,84065,0,0,0,1920,2681680,0,9.369306007400155
93,1.0756592789434252,1.0602121461232503,0.4708888888888889,signsgd,85985,84065,0,0,0,1920,2681680,0,9.331388808786869
94,1.0754005623147602,1.0594549271265665,0.4706666666666667,signsgd,85985,84065,0,0,0,1920,2681680,0,9.33964353427291
95,1.0735904151201248,1.0589430153104995,0.4717777777777778,signsgd,85985,84065,0,0,0,1920,2681680,0,9.267990430817008
