round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,round_seconds
1,1.167455213155065,1.6536245368321736,0.3446666666666667,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.609098700806499
2,1.0406542280458269,1.2845464317003885,0.40755555555555556,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.153705418109894
3,1.016402761283375,1.1149462033907573,0.4246666666666667,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.119829861447215
4,1.0010467909063614,1.0445921068191528,0.4573333333333333,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.176770577207208
5,0.9912944085825057,1.0129300349553425,0.46955555555555556,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.100653165951371
6,0.9745536599840436,0.9991729347440932,0.48644444444444446,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.036711739376187
7,0.971030950092134,0.9861634893417358,0.48644444444444446,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.146906888112426
8,0.9578454697415942,0.9739786791271634,0.5011111111111111,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,13.895426206290722
9,0.941884631997063,0.969905404832628,0.5024444444444445,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,13.802728820592165
10,0.9285255616335641,0.9613086810111999,0.504,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,13.798228215426207
11,0.9261291482051213,0.9641558227539062,0.48933333333333334,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,13.817564746364951
12,0.9085797877538772,0.9521616824467977,0.49577777777777776,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.08000399172306
13,0.9131811479443595,0.9578177803887261,0.4895555555555556,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.165315184742212
14,0.893513337629182,0.9419960359467401,0.4991111111111111,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.020919378846884
15,0.8931167727992648,0.9386951047049629,0.5086666666666667,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,13.76847629249096
16,0.8760254790953226,0.9275062570571899,0.5193333333333333,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,13.61043892428279
17,0.910700555330231,0.9216190148459541,0.5208888888888888,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,13.579940404742956
