round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,effective_learning_rate,best_train_loss_round,restored_best_after_round,early_stopped,round_seconds
1,0.2711054833043211,2.469183927154541,0.2224,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,48.19996212795377
2,0.19416934056207535,1.932761945915222,0.3864,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,47.62259243987501
3,0.13897856321321644,1.682014208984375,0.4798,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,48.452498676255345
4,0.12067255793808726,1.3262613428115844,0.6101,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,49.24449744820595
5,0.09903932747401996,1.1340456066131592,0.655,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,49.419472413137555
6,0.08951942509302172,0.8870281059265137,0.7468,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,49.10934701003134
7,0.07807361855472361,0.7562585505485535,0.7784,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,49.809867879375815
8,0.07017150493435717,0.6203369491577149,0.8147,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,49.2868169080466
9,0.06391754741271143,0.5328321213722229,0.8428,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,49.34195640310645
10,0.0594244518399743,0.48695209341049195,0.8513,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,49.57894506491721
11,0.05547615555163551,0.4498906097412109,0.8615,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,49.6571616884321
