round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,round_seconds
1,0.421416953955971,2.252197285079956,0.2487,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,35.190823489800096
2,0.27197429206377516,2.201508154296875,0.2978,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,33.77569526433945
3,0.195760623125049,2.133123853302002,0.3225,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,33.39036316983402
4,0.15269092907765297,2.016797099876404,0.4509,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,33.79894400574267
5,0.12494879861575707,1.8543851249694825,0.5392,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,33.714722856879234
6,0.10583154399622194,1.6249175806045533,0.6689,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,33.07769595645368
7,0.09080630649890128,1.3790261249542237,0.7052,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,33.852883568033576
8,0.08171844686633753,1.1074218925476074,0.7723,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,33.40362152457237
9,0.07212114158246549,0.9134263061523438,0.7678,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,32.752696035429835
10,0.06591386328024479,0.7283704971313476,0.827,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,33.680659318342805
11,0.05876309309678618,0.6359924157142639,0.8087,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,33.76093163155019
12,0.05636893651311159,0.49816853227615354,0.8697,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,32.90720043890178
13,0.05028306154060071,0.45592926068305967,0.8584,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,33.86592232435942
14,0.04862376581586432,0.35244344673156736,0.9072,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,34.064590306952596
