round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,round_seconds
1,2.20328591975073,2.309485906600952,0.1451,signsgd,71340,67500,0,0,0,3840,2143120,0,26.911081682890654
2,1.885428645213445,2.3176890731811524,0.131,signsgd,71340,67500,0,0,0,3840,2143120,0,26.519164012745023
3,1.685073753694693,2.321358298873901,0.142,signsgd,71340,67500,0,0,0,3840,2143120,0,25.696951411664486
4,1.5495823352287215,2.3154575996398927,0.1594,signsgd,71340,67500,0,0,0,3840,2143120,0,25.79985560849309
5,1.4541914398471516,2.295106652832031,0.1775,signsgd,71340,67500,0,0,0,3840,2143120,0,25.47727528400719
6,1.3803152728825807,2.258755340576172,0.1986,signsgd,71340,67500,0,0,0,3840,2143120,0,25.512990778312087
7,1.3199581306427717,2.208514641571045,0.2206,signsgd,71340,67500,0,0,0,3840,2143120,0,25.18118802085519
8,1.268971094240745,2.145341621398926,0.2481,signsgd,71340,67500,0,0,0,3840,2143120,0,24.969748213887215
9,1.2243204635878402,2.070753539276123,0.2748,signsgd,71340,67500,0,0,0,3840,2143120,0,25.08832781203091
10,1.1868360844751198,1.98684892578125,0.3029,signsgd,71340,67500,0,0,0,3840,2143120,0,25.14591483399272
11,1.1519133663425842,1.8986320230484008,0.3396,signsgd,71340,67500,0,0,0,3840,2143120,0,24.73158510401845
12,1.121897645232578,1.8101084581375122,0.375,signsgd,71340,67500,0,0,0,3840,2143120,0,24.659555116668344
13,1.0932429473847152,1.7274249347686768,0.4081,signsgd,71340,67500,0,0,0,3840,2143120,0,25.15931435674429
14,1.0672489018489917,1.6540954610824585,0.4399,signsgd,71340,67500,0,0,0,3840,2143120,0,25.049680463969707
15,1.041966359441479,1.5942833686828612,0.463,signsgd,71340,67500,0,0,0,3840,2143120,0,25.343664588406682
16,1.0204990061620873,1.5443321315765381,0.4812,signsgd,71340,67500,0,0,0,3840,2143120,0,25.315641650930047
17,0.998906875588,1.5025964302062988,0.4936,signsgd,71340,67500,0,0,0,3840,2143120,0,25.329986033961177
18,0.9794346930459141,1.4669170251846313,0.5061,signsgd,71340,67500,0,0,0,3840,2143120,0,25.221020171418786
19,0.9614659766356152,1.4353575550079345,0.5177,signsgd,71340,67500,0,0,0,3840,2143120,0,25.03575424477458
20,0.9435637819891175,1.4070713640213013,0.5278,signsgd,71340,67500,0,0,0,3840,2143120,0,25.04754831455648
21,0.9266419735426703,1.3800032016754151,0.5365,signsgd,71340,67500,0,0,0,3840,2143120,0,24.80032243579626
22,0.9120519760375221,1.3551073070526123,0.5456,signsgd,71340,67500,0,0,0,3840,2143120,0,24.887007858604193
23,0.8975721508264541,1.3316682445526122,0.5551,signsgd,71340,67500,0,0,0,3840,2143120,0,25.012398306280375
24,0.8845004593332607,1.308844361114502,0.5651,signsgd,71340,67500,0,0,0,3840,2143120,0,25.10573368705809
25,0.8706243999302388,1.2900124784469604,0.5712,signsgd,71340,67500,0,0,0,3840,2143120,0,25.02310379780829
26,0.8598005247612793,1.2711008823394776,0.5796,signsgd,71340,67500,0,0,0,3840,2143120,0,24.930924218147993
27,0.8477897052342694,1.2524466037750244,0.5863,signsgd,71340,67500,0,0,0,3840,2143120,0,24.982848465442657
28,0.8361635908484459,1.2344530035018921,0.5962,signsgd,71340,67500,0,0,0,3840,2143120,0,25.25023246370256
29,0.8252128084500632,1.218138383102417,0.6004,signsgd,71340,67500,0,0,0,3840,2143120,0,25.440951419994235
30,0.8148404878874619,1.202985871887207,0.6068,signsgd,71340,67500,0,0,0,3840,2143120,0,25.169831493869424
31,0.8058762056132156,1.1877263446807862,0.6138,signsgd,71340,67500,0,0,0,3840,2143120,0,25.096397018060088
32,0.7957673059155543,1.1734373237609863,0.6185,signsgd,71340,67500,0,0,0,3840,2143120,0,25.017421821132302
33,0.7871908582746983,1.1585155771255493,0.6235,signsgd,71340,67500,0,0,0,3840,2143120,0,25.285230765119195
34,0.7779488895709317,1.1454093082427979,0.6277,signsgd,71340,67500,0,0,0,3840,2143120,0,25.18860276043415
35,0.7704239143058657,1.1314765525817871,0.6316,signsgd,71340,67500,0,0,0,3840,2143120,0,24.904495552182198
36,0.7611048815151056,1.1194330039978027,0.6362,signsgd,71340,67500,0,0,0,3840,2143120,0,24.85377536341548
37,0.7531708158552647,1.1066364391326904,0.6407,signsgd,71340,67500,0,0,0,3840,2143120,0,25.25622507929802
38,0.7449338434884946,1.0944223112106324,0.6452,signsgd,71340,67500,0,0,0,3840,2143120,0,25.349178658798337
39,0.7374094151581327,1.083111820602417,0.6499,signsgd,71340,67500,0,0,0,3840,2143120,0,24.826954912394285
40,0.7299483026688298,1.0710316646575928,0.6546,signsgd,71340,67500,0,0,0,3840,2143120,0,24.902753047645092
41,0.7228888478750984,1.0602029731750489,0.6581,signsgd,71340,67500,0,0,0,3840,2143120,0,24.944275127723813
42,0.7173063401753704,1.0490449682235718,0.6615,signsgd,71340,67500,0,0,0,3840,2143120,0,25.4554379619658
43,0.7098275909200311,1.038824149131775,0.6662,signsgd,71340,67500,0,0,0,3840,2143120,0,25.33883650228381
44,0.7035691247011225,1.0282387008666993,0.6712,signsgd,71340,67500,0,0,0,3840,2143120,0,25.215806920081377
45,0.6973075456917287,1.017982455444336,0.6733,signsgd,71340,67500,0,0,0,3840,2143120,0,25.314266780391335
46,0.6916018101697168,1.0081770374298096,0.677,signsgd,71340,67500,0,0,0,3840,2143120,0,25.340547371655703
47,0.6855291734760006,0.9989490593910217,0.6802,signsgd,71340,67500,0,0,0,3840,2143120,0,25.65215902402997
48,0.6798895347863436,0.9893362133026123,0.6846,signsgd,71340,67500,0,0,0,3840,2143120,0,25.477765893563628
49,0.6737202065686384,0.9813869504928588,0.6892,signsgd,71340,67500,0,0,0,3840,2143120,0,25.18477450683713
50,0.6689022282759348,0.9718000091552734,0.6916,signsgd,71340,67500,0,0,0,3840,2143120,0,25.123778449371457
