round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,round_seconds
1,0.5010363932116888,2.7072263381958006,0.2192,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.52190634794533
2,0.32911279900969626,2.1149175632476807,0.3588,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.68277261592448
3,0.23276956488649986,1.7305515451431275,0.4861,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,40.6799790635705
4,0.18489422601802893,1.4433687152862549,0.5692,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,40.917149582877755
5,0.15471345391706565,1.210547408103943,0.6334,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.180482380092144
6,0.13511060664992933,1.0120166178703307,0.695,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,40.818247836083174
7,0.11895231577800588,0.8567483916282653,0.7351,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.06748049892485
8,0.10691686625844646,0.742527647781372,0.7686,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.40087281540036
9,0.09867271123609196,0.65586428232193,0.797,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,40.753229044377804
10,0.09125675538768216,0.6011005491256713,0.8122,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,40.86583414115012
11,0.08601663625352861,0.5581367823600769,0.8253,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.37958096154034
12,0.08037277023443798,0.52445796585083,0.8342,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.05570957250893
13,0.07516257647172703,0.4988798176765442,0.8433,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.88282901234925
14,0.07186042396788252,0.4700923538208008,0.8521,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.22442892193794
15,0.06859681796486257,0.4560586769104004,0.8555,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.21307463943958
16,0.06575780613881457,0.43198701858520505,0.863,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,42.08802071586251
17,0.062145641583386646,0.42494830780029297,0.8637,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,40.862023930996656
18,0.06127031927874972,0.40467371764183047,0.872,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.287778878584504
19,0.057753001353800446,0.4069369857788086,0.8695,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.57980149239302
20,0.057241477046288,0.373043248796463,0.8824,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,40.56888470053673
21,0.0528417911285942,0.3991004597187042,0.8697,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,44.4632326066494
22,0.0551710847740954,0.3477080991268158,0.8918,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.31031500734389
23,0.04922465027969641,0.4069658727645874,0.8627,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.13064088113606
24,0.05382894357753685,0.330229105758667,0.8969,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.45982881821692
25,0.0466396611482196,0.4236305633544922,0.8536,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.52093717083335
26,0.051503830757186134,0.31968785514831544,0.9001,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,40.957991283386946
27,0.0443717256244175,0.4551582695007324,0.8424,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.670392863452435
28,0.051996936854993694,0.30807990951538083,0.9032,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,40.89979018829763
29,0.04233353654102151,0.463654465675354,0.8392,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.01438032090664
30,0.05073498423347095,0.3008264421463013,0.9048,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.62633870355785
31,0.04074726786154012,0.46548136138916013,0.8392,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,40.97554445080459
32,0.049586086502192,0.2932109210014343,0.9079,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.17788900434971
33,0.03956864134985759,0.45014527044296265,0.8425,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.65203605219722
34,0.047839994921984416,0.27773143620491025,0.9132,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.025120040401816
35,0.037897902683592596,0.45723802819252013,0.8393,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.181606439873576
36,0.046150052212154444,0.2606378927946091,0.9175,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,43.14004112780094
37,0.036128608650627336,0.44777909803390503,0.8423,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,40.955620324239135
38,0.045454254173758576,0.2519291771888733,0.9215,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.49557738378644
39,0.034622077693590346,0.44330515480041505,0.8442,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.47432151250541
40,0.04347016824782865,0.24167980704307557,0.9263,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.327214451506734
41,0.03346695840785589,0.4413245895862579,0.8443,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.6618908084929
42,0.04291431207342005,0.22464152805805207,0.9325,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.125619592145085
43,0.03208402192491728,0.4319616813659668,0.8484,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.16942152567208
44,0.041178389960623465,0.22410068621635437,0.9325,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.500255754217505
45,0.03127635367885281,0.41085582370758056,0.8554,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,40.82810068689287
