round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,round_seconds
1,1.659838586761838,1.3791543336444432,0.2608888888888889,signsgd,85985,84065,0,0,0,1920,2681680,0,10.029475789517164
2,1.5162153527850197,1.3531950019200643,0.24711111111111111,signsgd,85985,84065,0,0,0,1920,2681680,0,8.815972136333585
3,1.432558438153494,1.3329959840774537,0.25,signsgd,85985,84065,0,0,0,1920,2681680,0,8.725221313536167
4,1.3952154853230432,1.3181439552307128,0.25,signsgd,85985,84065,0,0,0,1920,2681680,0,8.974288625642657
5,1.3672390562579746,1.307934994008806,0.2511111111111111,signsgd,85985,84065,0,0,0,1920,2681680,0,8.990977954119444
6,1.3420283882958546,1.3012319888008965,0.25133333333333335,signsgd,85985,84065,0,0,0,1920,2681680,0,8.922943834215403
7,1.3296853977725618,1.2968164711528354,0.25555555555555554,signsgd,85985,84065,0,0,0,1920,2681680,0,8.956635434180498
8,1.320717747835886,1.2934379910363092,0.2613333333333333,signsgd,85985,84065,0,0,0,1920,2681680,0,8.963334873318672
9,1.2964234129020145,1.2905620053079394,0.2657777777777778,signsgd,85985,84065,0,0,0,1920,2681680,0,8.757452281191945
10,1.2849579774198079,1.287736616982354,0.276,signsgd,85985,84065,0,0,0,1920,2681680,0,8.835929496213794
11,1.2835696226074582,1.2841527160008748,0.2853333333333333,signsgd,85985,84065,0,0,0,1920,2681680,0,8.790007883682847
12,1.2649160246621993,1.28031742477417,0.31022222222222223,signsgd,85985,84065,0,0,0,1920,2681680,0,8.902327626943588
13,1.257459596792857,1.2755375068982442,0.33355555555555555,signsgd,85985,84065,0,0,0,1920,2681680,0,8.913702689111233
14,1.2514474642844426,1.2701858878135681,0.35688888888888887,signsgd,85985,84065,0,0,0,1920,2681680,0,8.790479818359017
15,1.2419084374109903,1.2638965582317776,0.3751111111111111,signsgd,85985,84065,0,0,0,1920,2681680,0,8.982695877552032
16,1.2351672557989757,1.2568070029152765,0.39266666666666666,signsgd,85985,84065,0,0,0,1920,2681680,0,8.800418242812157
17,1.2455786866801124,1.2498981624179417,0.4071111111111111,signsgd,85985,84065,0,0,0,1920,2681680,0,8.85374128445983
18,1.2200634950683231,1.2422118182182311,0.4186666666666667,signsgd,85985,84065,0,0,0,1920,2681680,0,8.879216760396957
19,1.2115003926981065,1.2343067020840115,0.42866666666666664,signsgd,85985,84065,0,0,0,1920,2681680,0,9.093728443607688
20,1.2131989660717193,1.2263805135091146,0.43377777777777776,signsgd,85985,84065,0,0,0,1920,2681680,0,8.992142060771585
21,1.2053562123434884,1.2186776252852547,0.43733333333333335,signsgd,85985,84065,0,0,0,1920,2681680,0,8.859340557828546
22,1.2086122568448385,1.2114033941692777,0.43866666666666665,signsgd,85985,84065,0,0,0,1920,2681680,0,8.778885811567307
23,1.1991922531241461,1.2043431697951423,0.43933333333333335,signsgd,85985,84065,0,0,0,1920,2681680,0,8.806434853002429
24,1.1970095070203146,1.197907091246711,0.442,signsgd,85985,84065,0,0,0,1920,2681680,0,8.794076999649405
25,1.1919379016898926,1.1917987373669943,0.44533333333333336,signsgd,85985,84065,0,0,0,1920,2681680,0,8.898117810487747
26,1.1781430917126792,1.1858808873494466,0.4464444444444444,signsgd,85985,84065,0,0,0,1920,2681680,0,8.789394015446305
27,1.175870506025496,1.1806993846363492,0.4457777777777778,signsgd,85985,84065,0,0,0,1920,2681680,0,8.796977834776044
28,1.1667069996538615,1.175641560236613,0.4488888888888889,signsgd,85985,84065,0,0,0,1920,2681680,0,8.909956177696586
29,1.162841936576934,1.1709814255502489,0.4504444444444444,signsgd,85985,84065,0,0,0,1920,2681680,0,8.813878782093525
30,1.1583830396901993,1.1665101209216648,0.45311111111111113,signsgd,85985,84065,0,0,0,1920,2681680,0,9.066323656588793
31,1.1602754087107523,1.1623498975435893,0.45422222222222225,signsgd,85985,84065,0,0,0,1920,2681680,0,8.980289397761226
32,1.151389472541355,1.158546604792277,0.45422222222222225,signsgd,85985,84065,0,0,0,1920,2681680,0,9.007104871794581
33,1.1570628037339166,1.1549720021353829,0.45466666666666666,signsgd,85985,84065,0,0,0,1920,2681680,0,9.022098671644926
34,1.1500539689404623,1.1515721978081597,0.4557777777777778,signsgd,85985,84065,0,0,0,1920,2681680,0,9.02591223269701
35,1.1481801422437032,1.148394529660543,0.4573333333333333,signsgd,85985,84065,0,0,0,1920,2681680,0,8.881233483552933
36,1.1352103534766607,1.1448687290615505,0.4582222222222222,signsgd,85985,84065,0,0,0,1920,2681680,0,8.862375017255545
37,1.143180964447203,1.1420607205496893,0.4582222222222222,signsgd,85985,84065,0,0,0,1920,2681680,0,8.68911305256188
38,1.1345648094018301,1.139352508438958,0.45955555555555555,signsgd,85985,84065,0,0,0,1920,2681680,0,8.779649417847395
39,1.1425882523968107,1.1369467283884684,0.4597777777777778,signsgd,85985,84065,0,0,0,1920,2681680,0,8.730854488909245
40,1.1365122873442515,1.1346144840452406,0.4628888888888889,signsgd,85985,84065,0,0,0,1920,2681680,0,8.752459412440658
41,1.1276739575749353,1.1322781595653957,0.4622222222222222,signsgd,85985,84065,0,0,0,1920,2681680,0,8.645948871970177
42,1.128581155538559,1.1299264104631213,0.4628888888888889,signsgd,85985,84065,0,0,0,1920,2681680,0,8.669329954311252
43,1.12900228085972,1.1279020465215048,0.46244444444444444,signsgd,85985,84065,0,0,0,1920,2681680,0,8.73382742330432
44,1.1266855021885462,1.1257302929560344,0.464,signsgd,85985,84065,0,0,0,1920,2681680,0,8.882891708984971
45,1.123704032897949,1.1238317145241632,0.4651111111111111,signsgd,85985,84065,0,0,0,1920,2681680,0,8.914527952671051
46,1.125768825496946,1.1220136239793566,0.468,signsgd,85985,84065,0,0,0,1920,2681680,0,9.15219415910542
47,1.116216994524002,1.120211444536845,0.4686666666666667,signsgd,85985,84065,0,0,0,1920,2681680,0,8.826458156108856
48,1.1305010705902463,1.1187086773978339,0.4677777777777778,signsgd,85985,84065,0,0,0,1920,2681680,0,9.005829365924
49,1.1102615704990568,1.117007587644789,0.4686666666666667,signsgd,85985,84065,0,0,0,1920,2681680,0,8.900852620601654
50,1.106712516148885,1.1152807751761542,0.4697777777777778,signsgd,85985,84065,0,0,0,1920,2681680,0,8.649228148162365
51,1.1072609288919542,1.113560494846768,0.4706666666666667,signsgd,85985,84065,0,0,0,1920,2681680,0,8.720160039141774
52,1.105774517172859,1.1118567957348293,0.4702222222222222,signsgd,85985,84065,0,0,0,1920,2681680,0,8.782257651910186
53,1.110605036020279,1.1105578920576307,0.46955555555555556,signsgd,85985,84065,0,0,0,1920,2681680,0,8.93577628210187
54,1.1027895286821185,1.1092869796752929,0.4717777777777778,signsgd,85985,84065,0,0,0,1920,2681680,0,8.861771723255515
55,1.111677562509264,1.108208397017585,0.4722222222222222,signsgd,85985,84065,0,0,0,1920,2681680,0,8.723184861242771
56,1.1034557054724012,1.106905970255534,0.4726666666666667,signsgd,85985,84065,0,0,0,1920,2681680,0,8.81153884343803
57,1.1019158935546876,1.1054943239423964,0.4731111111111111,signsgd,85985,84065,0,0,0,1920,2681680,0,8.830936919897795
58,1.0998367574669068,1.1043591968748305,0.4722222222222222,signsgd,85985,84065,0,0,0,1920,2681680,0,8.98164421133697
59,1.104957338685081,1.1032048993640475,0.472,signsgd,85985,84065,0,0,0,1920,2681680,0,8.904232040047646
60,1.094031680425008,1.101988954226176,0.4717777777777778,signsgd,85985,84065,0,0,0,1920,2681680,0,8.89881856739521
61,1.095886794385456,1.1009126161999172,0.4742222222222222,signsgd,85985,84065,0,0,0,1920,2681680,0,8.841398783028126
62,1.0980770657176064,1.0997487450705634,0.4748888888888889,signsgd,85985,84065,0,0,0,1920,2681680,0,8.72841278463602
63,1.0933630554448992,1.0988041217592028,0.47333333333333333,signsgd,85985,84065,0,0,0,1920,2681680,0,8.830102700740099
64,1.0989966836145946,1.097829323662652,0.4737777777777778,signsgd,85985,84065,0,0,0,1920,2681680,0,8.822226686403155
65,1.0954601126625425,1.0968655053244696,0.47333333333333333,signsgd,85985,84065,0,0,0,1920,2681680,0,8.973203072324395
66,1.094495839732034,1.0959668832355076,0.4728888888888889,signsgd,85985,84065,0,0,0,1920,2681680,0,8.740068981423974
67,1.0877360297384715,1.0950260246064927,0.4726666666666667,signsgd,85985,84065,0,0,0,1920,2681680,0,8.623701870441437
68,1.0862661178339095,1.0941460778978136,0.47333333333333333,signsgd,85985,84065,0,0,0,1920,2681680,0,8.699177945032716
69,1.0963400442827316,1.093447555647956,0.4722222222222222,signsgd,85985,84065,0,0,0,1920,2681680,0,8.639778995886445
70,1.0986629425911676,1.0926098965538873,0.4717777777777778,signsgd,85985,84065,0,0,0,1920,2681680,0,8.793386781588197
71,1.0898576303606942,1.0917002709706625,0.4722222222222222,signsgd,85985,84065,0,0,0,1920,2681680,0,8.876185219734907
72,1.0901161328383855,1.09081405766805,0.4717777777777778,signsgd,85985,84065,0,0,0,1920,2681680,0,8.957187926396728
73,1.0809337906326566,1.0900207629733616,0.47244444444444444,signsgd,85985,84065,0,0,0,1920,2681680,0,8.873750671744347
