round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,round_seconds
1,1.2122426628214973,1.5800946164660983,0.3191111111111111,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.93231218867004
2,1.055342985278084,1.2302610806359184,0.40355555555555556,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.596792912110686
3,1.0130232713619869,1.093114239056905,0.426,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.784873764961958
4,0.9932085509811127,1.0396609722773233,0.4517777777777778,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.594079164788127
5,0.9960794118472507,1.0127695594363741,0.4711111111111111,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,13.980168519541621
6,0.9693586512122836,0.9961907788382636,0.4826666666666667,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.657684871926904
7,0.9560859209299087,0.9859462398952908,0.49444444444444446,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.701784959062934
8,0.9534517168431055,0.981670041932,0.5102222222222222,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.501071078702807
9,0.9369714514130638,0.9688168362511529,0.5128888888888888,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.293533453717828
10,0.9215482919556754,0.9592932424545288,0.5142222222222222,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.762890981510282
11,0.9118180058116006,0.9553415251837837,0.5295555555555556,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.689610578119755
12,0.9252516351143519,0.9469129123687744,0.5188888888888888,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.743814731016755
13,0.8888043895221891,0.9391237229241265,0.5313333333333333,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.128696851432323
14,0.8761682086331504,0.937992094039917,0.512,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.535749860107899
15,0.8666121195895331,0.927217571788364,0.5393333333333333,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.559292264282703
16,0.8627620229266938,0.9304397803412543,0.526,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.535181399434805
17,0.8639660527876444,0.9187803217569988,0.5482222222222223,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.328055350109935
18,0.8414758324339277,0.922766970846388,0.5171111111111111,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.65846718288958
19,0.833385721530233,0.9195754038492838,0.532,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.771690452471375
20,0.8322911941153661,0.9030817022323608,0.5446666666666666,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.5153440926224
21,0.815587950859751,0.8976537695990668,0.5535555555555556,w2_fp32_adam,2681680,2679760,0,0,0,1920,2634250,5359560,14.104972578585148
