round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,round_seconds
1,1.171155655923344,1.3229824186431036,0.39866666666666667,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,85985,84065,0,0,84065,1920,2681680,5359560,12.71320348791778
2,1.0638182604880562,1.2760518848101299,0.396,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,85985,84065,0,0,84065,1920,2681680,5359560,11.58919725753367
3,1.012617995880899,1.2572935586505467,0.39466666666666667,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,85985,84065,0,0,84065,1920,2681680,5359560,11.600940994918346
4,0.9806443808192299,1.2467101669841343,0.39244444444444443,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,85985,84065,0,0,84065,1920,2681680,5359560,11.360719358548522
5,0.9574851692290534,1.230191091272566,0.398,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,85985,84065,0,0,84065,1920,2681680,5359560,10.991230331361294
6,0.9285534339007876,1.2199487534628974,0.3977777777777778,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,85985,84065,0,0,84065,1920,2681680,5359560,10.928055886179209
7,0.8925828335966383,1.2128537176979912,0.408,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,85985,84065,0,0,84065,1920,2681680,5359560,11.660748455673456
8,0.8802010974146072,1.1600029559665257,0.42177777777777775,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,85985,84065,0,0,84065,1920,2681680,5359560,11.744417740032077
9,0.8530804265680768,1.1040762434005738,0.4737777777777778,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,85985,84065,0,0,84065,1920,2681680,5359560,11.594475161284208
10,0.8125534647135508,1.0849876601431105,0.47933333333333333,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,85985,84065,0,0,84065,1920,2681680,5359560,11.63878033682704
11,0.7906989067792892,1.0445282390912374,0.48333333333333334,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,85985,84065,0,0,84065,1920,2681680,5359560,11.60471554659307
12,0.7879282695906502,0.9720266002019247,0.49244444444444446,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,85985,84065,0,0,84065,1920,2681680,5359560,11.239367347210646
13,0.7647723451398669,0.9886423569785224,0.46266666666666667,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,85985,84065,0,0,84065,1920,2681680,5359560,10.972679512575269
14,0.7525992528313682,1.05488480536143,0.446,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,85985,84065,0,0,84065,1920,2681680,5359560,10.94190670363605
15,0.7490986329317093,1.111320838769277,0.43577777777777776,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,85985,84065,0,0,84065,1920,2681680,5359560,11.330784387886524
16,0.7532064898808797,1.1916314389440748,0.43177777777777776,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,85985,84065,0,0,84065,1920,2681680,5359560,11.512438852339983
