round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,round_seconds
1,1.2326848233029954,1.4835089593993294,0.21644444444444444,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.195495473220944
2,1.0740918962160746,1.2407678603596157,0.3968888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.44171785376966
3,1.041037031468891,1.1138408313857184,0.4202222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.568868039175868
4,1.0202492285058613,1.0621066086027358,0.44377777777777777,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.54621427692473
5,1.024899635967754,1.0384798319074842,0.4577777777777778,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.371052261441946
6,1.003229087875003,1.0270751664903428,0.4631111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.74207510612905
7,0.9974053334905989,1.019238518714905,0.4737777777777778,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.561825169250369
8,0.9970288172506152,1.0165524005889892,0.4722222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.166923305019736
9,0.9899551612706412,1.0103580702675714,0.4811111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.426318470388651
10,0.9806275484391621,1.0060788039101494,0.47644444444444445,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.278271362185478
11,0.9765465514148985,1.0046266520818075,0.48333333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.374350177124143
12,0.9910637406508128,1.0009049338234794,0.47844444444444445,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.53180430829525
13,0.9655627627599808,1.000178119023641,0.4797777777777778,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.456889005377889
14,0.9596667158036004,0.9959083188374838,0.4762222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.542695375159383
15,0.9553647510210673,0.9946359016630385,0.4886666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.217347145080566
16,0.9549669600384576,0.9951685660680135,0.48533333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.121798751875758
17,0.9658420060078303,0.9926013913684422,0.488,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.092755341902375
18,0.9435024157592228,0.9912262429131402,0.4766666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.599151529371738
19,0.9381528044598444,0.9906090282864041,0.48044444444444445,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.412338610738516
20,0.9513205663079308,0.9854119269053141,0.48133333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.922141507267952
21,0.9295502439850853,0.9826866509119669,0.47644444444444445,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.69111610390246
22,0.9281562333163761,0.9826161816914877,0.48,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.095403958112001
23,0.914996190950984,0.9757104076809353,0.48444444444444446,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.208146611228585
24,0.921030160869871,0.9779255659315321,0.48488888888888887,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.226182887330651
25,0.9157364664475123,0.9889123003217909,0.4697777777777778,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.198795292526484
26,0.9177016234114056,0.9716763411627876,0.4831111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.039624376222491
27,0.9120221225988298,0.973608308898078,0.492,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.483597898855805
28,0.8998754610617956,0.9684551179673937,0.4842222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,16.977855753153563
29,0.9023985554774601,0.9649569514592489,0.4826666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.893269853666425
30,0.892933513834363,0.9599624862670898,0.5,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,16.70453372038901
31,0.894675056991123,0.9579723219341701,0.4968888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.458795938640833
32,0.8812968271686918,0.965523306634691,0.48488888888888887,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.87930028513074
33,0.8997435688688642,0.9514185744391548,0.49955555555555553,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.057174257934093
34,0.8740536791086196,0.9532994066874186,0.4935555555555556,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.449622320011258
35,0.8782471944604602,0.9525748204125298,0.4988888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.344082914292812
36,0.8607687709161214,0.9491151742935181,0.4988888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.448810925707221
37,0.8629266557807014,0.9519531504313151,0.49444444444444446,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.104005243629217
38,0.8537911309798558,0.945609161482917,0.5075555555555555,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.434828443452716
39,0.854212845280057,0.9433620859781902,0.5066666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.765605295076966
40,0.8492712831781024,0.9402082158194648,0.5155555555555555,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.099268645048141
41,0.8408132580632255,0.9399383235507541,0.5177777777777778,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.335708500817418
42,0.841615521482059,0.9433603709538778,0.5031111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.299702018499374
43,0.8351328305687223,0.9380838803185357,0.5182222222222223,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.318403795361519
44,0.8423321653831574,0.9316115951538086,0.5206666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.897030686959624
45,0.8343750894921167,0.9259551834530301,0.5308888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.780848685652018
46,0.8210526762406032,0.9239646149741279,0.5364444444444444,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.08344909362495
47,0.8368782164936974,0.9229651693767972,0.5408888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.230887349694967
48,0.8181975972084772,0.9181602257622613,0.5393333333333333,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.945042273029685
49,0.8216327764874413,0.9173786013921101,0.5437777777777778,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.187493275851011
50,0.8296460139751435,0.9121059532165527,0.5491111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.443756088614464
51,0.8192731617462068,0.915137188911438,0.5506666666666666,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.985153771936893
52,0.8119565028236024,0.9110916289223565,0.5555555555555556,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.631420930847526
53,0.8062619275989986,0.9149830097622341,0.556,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.998529002070427
54,0.7995446024338404,0.9100988800260755,0.5495555555555556,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.278423288837075
55,0.7903820085809344,0.9118453997506035,0.5515555555555556,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.372901603579521
56,0.7923752269858406,0.9039460648430718,0.556,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.406011063605547
57,0.782213865546953,0.9131379818386501,0.5484444444444444,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.203529858961701
58,0.7895906068029858,0.8991386189990573,0.5582222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.889945678412914
59,0.7997249689556304,0.8996714941660563,0.5575555555555556,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.584005434066057
60,0.8077566126414709,0.9019143498738607,0.5495555555555556,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.122953683137894
61,0.7905661116327558,0.8977390118704902,0.5591111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.298993062227964
62,0.7771849716845013,0.8981450956132677,0.5584444444444444,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.34863480553031
63,0.7728982929388681,0.8988037812974717,0.5628888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.253063859418035
64,0.7836980281557356,0.8991985672844781,0.5628888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.276479959487915
65,0.7739697058427901,0.9002139724095662,0.56,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.920652244240046
66,0.7632618522360212,0.8953270616531372,0.5604444444444444,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.09540468454361
67,0.7667220411981854,0.9022635545730591,0.5573333333333333,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.31328053586185
68,0.7589092123224622,0.9042113557391697,0.5622222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.286253521218896
69,0.7681504249005091,0.8913614742490981,0.5675555555555556,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.34003153629601
70,0.7540196654626301,0.8886288825141059,0.566,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.250356467440724
71,0.7537889260337466,0.8872867987950643,0.566,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.505808947607875
72,0.746024520510719,0.8850268334282769,0.5686666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.861675065010786
73,0.747935664114498,0.8905830641852485,0.572,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.22119077295065
74,0.7544031638758523,0.8852893337673611,0.5657777777777778,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.461638044565916
75,0.7523131323144548,0.8876833715438843,0.5684444444444444,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.493515292182565
76,0.7658652757463,0.885025349828932,0.564,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.345561003312469
77,0.7420643381845384,0.9016408174302842,0.5557777777777778,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.33759630843997
78,0.7428776404971169,0.8882572512096829,0.5604444444444444,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.37759224511683
79,0.7498717342388063,0.8848892465167575,0.5635555555555556,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.881365412846208
80,0.7321317661376227,0.8831996241675483,0.5686666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.120202172547579
81,0.7429963608015152,0.8858530981275771,0.564,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.495767196640372
82,0.724773526787758,0.8786042227215237,0.5706666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.913677817210555
83,0.7252086880945023,0.8845883433024089,0.5737777777777778,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,16.07966911420226
84,0.7252087449459802,0.8825358226564195,0.5762222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,16.75013791397214
85,0.7262953377905347,0.8829374134275648,0.5704444444444444,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.27266144566238
86,0.7226830630075364,0.8829401323530409,0.5813333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.992901626974344
87,0.7244196070375897,0.8777570174535115,0.5748888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.173332432284951
88,0.7169982540323622,0.8885470269521077,0.5742222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.665770148858428
89,0.7097026932523364,0.8818842721515232,0.5728888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.670785292983055
90,0.7285124803157079,0.8776744984520807,0.574,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.289825921878219
