round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,round_seconds
1,1.1531576392196474,1.2831620033582052,0.3648888888888889,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,12.586741790175438
2,1.0284513427813848,1.2464026562902661,0.3848888888888889,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,10.930720396339893
3,1.0050257135856717,1.2333655945460003,0.3928888888888889,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,11.318717159330845
4,0.9891180891650062,1.2244492375055949,0.3968888888888889,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,11.580208314582705
5,0.971124606075741,1.2332942433887057,0.3977777777777778,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,11.499169919639826
6,0.9425210443848655,1.2602158483929105,0.392,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,11.565193546935916
7,0.911127735716956,1.2819455865754021,0.396,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,12.693438727408648
8,0.8750592801968257,1.2684382077323066,0.402,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,12.170408142730594
9,0.8415337610244752,1.2642242285410563,0.4062222222222222,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,11.49093396216631
10,0.8050549381403697,1.2255641113387215,0.41644444444444445,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,11.189082890748978
11,0.7919269065629868,1.1863686828083462,0.42288888888888887,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,11.944940751418471
12,0.7594440340144293,1.141619485590193,0.4311111111111111,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,11.266422463580966
13,0.7478203695728665,1.085926163620419,0.4348888888888889,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,11.494471265003085
14,0.7298805304936,0.983030573050181,0.444,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,11.511043962091208
15,0.7205700455960773,0.9415445864465501,0.4697777777777778,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,11.551185451447964
16,0.7045770751294634,0.92695865811242,0.4746666666666667,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,11.558894768357277
17,0.7283961756172634,0.8511868692504035,0.536,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,11.485687386244535
18,0.6898818966036752,0.7987022512753804,0.6144444444444445,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,11.253864284604788
19,0.6794055958588918,0.7630409877035353,0.6366666666666667,fedavg_fp32,2681680,2679760,0,0,0,1920,2681680,5359560,11.150910967960954
