round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,round_seconds
1,0.421416953955971,2.265617388153076,0.1477,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,33.37077531591058
2,0.3194926820418914,2.203751139831543,0.2814,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,32.40598927997053
3,0.23895456649527963,2.126343327331543,0.2898,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,31.923788676038384
4,0.19338188337327059,1.9960998361587525,0.3739,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,33.91746049374342
5,0.1559976929143886,1.8069498657226561,0.5197,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,33.49454604461789
6,0.12939137227949685,1.667643152809143,0.514,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,32.18836413137615
7,0.11508624527778011,1.4223331127166747,0.6516,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,31.983454888686538
8,0.10473430978284644,1.1383337734222412,0.7149,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,32.15123763680458
9,0.09238374944810251,0.9157050105094909,0.7241,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,32.908331429585814
10,0.08788546003173299,0.7625358437538147,0.7717,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,32.04828220047057
11,0.08006520995913888,0.5906868734359741,0.8336,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,32.04443019628525
12,0.07230796680875452,0.5424274020195007,0.8316,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,32.25217572413385
13,0.06889113765943572,0.52871650390625,0.8255,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,32.3396618552506
14,0.06388066529737747,0.4747010833263397,0.8526,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,31.75100937858224
15,0.060441147748982384,0.4659128313064575,0.8576,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,31.766777640208602
16,0.058949930628962956,0.4223582714080811,0.8629,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,32.12618441134691
17,0.05478754686519096,0.38211069526672364,0.8798,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,32.124869503080845
18,0.052780764868111875,0.3799391242027283,0.8797,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,33.498609241098166
19,0.0506532498965195,0.3681374580264091,0.8837,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,32.52800894342363
20,0.05104328542244426,0.5067561066627503,0.8291,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,32.54544252157211
21,0.052782672785118244,0.3927133506298065,0.8746,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,31.86076058074832
22,0.04973896255690609,0.34499593575000764,0.8845,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,31.920551165938377
23,0.047624334447694615,0.3277112545490265,0.8937,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,32.45150896720588
24,0.04582912632146569,0.33258636903762817,0.8888,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,35.545478196814656
25,0.042276178744305073,0.3000243490219116,0.8993,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,33.61818503960967
26,0.04198269455979849,0.2789569252252579,0.9086,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,32.42476922646165
27,0.04181390131476899,0.27890226358771325,0.907,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,34.50683715939522
28,0.04140029935012232,0.24503201075792314,0.922,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,33.423237999901175
29,0.03798511954928472,0.22292222225666047,0.9334,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,34.871137250214815
30,0.036201229650396266,0.22842066371440886,0.9286,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,36.86890604905784
31,0.03592708349776027,0.2901186240196228,0.9014,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,36.39209032058716
32,0.03651890072754516,0.26882695429325104,0.9117,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,35.832146087661386
33,0.03335193991433698,0.25469806998968125,0.9168,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,32.307805206626654
34,0.033336626212015594,0.21670126061439515,0.9328,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,32.17713461257517
35,0.032695969338404504,0.2655040419340134,0.9138,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,31.95799545571208
36,0.03342734980245344,0.23909611506462097,0.9206,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,32.28315122798085
37,0.031239022907053972,0.24773032257556915,0.9179,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,32.79765208438039
38,0.032208123968060436,0.21970726964473725,0.9279,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,34.710727855563164
39,0.030394743791445456,0.18799282517433166,0.9424,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,36.2736500967294
40,0.02815336030309178,0.2469371618747711,0.9172,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,35.19968233630061
41,0.02831904392658089,0.21917036883831023,0.9249,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,34.73736734688282
42,0.027821126752663378,0.2237742662668228,0.9232,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,34.23969001881778
43,0.027866578742623455,0.2710814801812172,0.9072,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,34.72501330636442
44,0.028542092864078467,0.17185845258235932,0.9456,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,36.98221191763878
45,0.025445874227663506,0.1932202623486519,0.94,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,35.032789662480354
46,0.025275508103338017,0.19074140777587892,0.9386,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,32.787169395014644
47,0.02580036992951591,0.17599879856705666,0.9474,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,32.95854934677482
48,0.02439998896297766,0.1698775618672371,0.9478,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,32.64050764031708
49,0.023736353138595713,0.22197523685097695,0.9279,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,71340,67500,0,0,67500,3840,2143120,4278640,33.02803038433194
