round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,round_seconds
1,0.5633043282859338,2.425774696731567,0.1761,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,41.92528940178454
2,0.4647967383595339,2.162755978393555,0.2338,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,42.32197927124798
3,0.3817189870829073,1.9928217819213867,0.3072,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,40.67869581095874
4,0.3244889308329827,1.8232753807067872,0.388,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,40.38292479515076
5,0.2797719958480836,1.6517988021850587,0.4733,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,40.923576422035694
6,0.2505599283011785,1.4832595554351806,0.5419,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,39.915138959884644
7,0.22323420036700553,1.325259776878357,0.5997,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,39.809964725747705
8,0.20385749821046675,1.1830329040527343,0.644,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,40.15800757519901
9,0.18361876393028068,1.0584516075134278,0.6824,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,39.654939303174615
10,0.16905200955516195,0.9562753862380982,0.7087,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,40.337922809645534
11,0.15603804655887263,0.8757715735435486,0.7304,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,40.256120793521404
12,0.14481955907976954,0.8061195061683655,0.7515,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,40.02820351719856
13,0.13620714256345917,0.7504298923969269,0.767,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,40.14367185905576
14,0.12684935981524176,0.7079838970661163,0.7778,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,40.00683319196105
15,0.12029311485772873,0.6719480368614197,0.7896,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,39.673290798440576
16,0.11384715120269295,0.6317808144569397,0.8015,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,40.7826359923929
17,0.10777271111825637,0.5995520860671997,0.8132,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,40.01742962002754
18,0.10210012038005516,0.5698634327888489,0.8239,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,39.83113192021847
19,0.09717525130884799,0.5489121107578278,0.832,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,40.38877249136567
20,0.09315745064377552,0.5192434626579284,0.8407,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,40.13126230798662
21,0.08769529125129338,0.5029930402755737,0.845,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,39.75662242434919
22,0.0852239214189467,0.4855052056312561,0.8499,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,40.65513491071761
23,0.0831649167201249,0.46673525218963624,0.856,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,40.23382996208966
24,0.07871394460865606,0.4451956089019775,0.8637,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,39.90001289732754
25,0.07506387807176604,0.43751866064071654,0.8658,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,40.36005343683064
26,0.0740558740879351,0.4224061730861664,0.8711,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,39.836438089609146
