round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,round_seconds
1,0.3890016475129717,2.2737587135314943,0.1917,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,33.544267827644944
2,0.24725117186899298,2.2446973766326903,0.2284,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,33.62404574453831
3,0.17348189318727236,2.199054568099976,0.2351,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,33.74091022834182
4,0.1330956144578522,2.118459774017334,0.266,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,32.45236090943217
5,0.11332815509182789,1.9785892578125,0.3065,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,32.78285443969071
6,0.09691481052141171,1.7746858978271485,0.4033,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,33.380744917318225
7,0.08682797074507106,1.5201933347702026,0.5038,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,33.186772050336
8,0.07797449187200982,1.2184831493377686,0.6599,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,32.67198362015188
9,0.07156746511755045,0.9878618907928467,0.7356,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,33.82455388084054
10,0.06876849689821635,0.7496560800552368,0.8052,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,33.78168911114335
11,0.06341755210766373,0.6441847499370575,0.8276,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,32.49663386121392
12,0.061997973208053725,0.5069993372440338,0.8593,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,33.36124141141772
13,0.054649344102896666,0.4663745506286621,0.8686,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,33.606476755812764
14,0.052653696636358896,0.3957949646949768,0.8875,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,33.24364999867976
15,0.04865843047797777,0.3838326531410217,0.8911,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,32.938154673203826
16,0.04733473043415871,0.3417306652545929,0.9009,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,33.39551074244082
17,0.0445009736213251,0.3269667269229889,0.9075,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,33.05993161164224
18,0.042596761282281174,0.2982870427131653,0.9127,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,33.431782852858305
19,0.04027748633670854,0.29945570027828217,0.9131,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,33.42863276600838
20,0.03917406539815904,0.27380356435775755,0.9213,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,32.6312973741442
21,0.0364811036002114,0.2790900273680687,0.9187,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,33.14874773286283
22,0.03622322844354736,0.25110741045475005,0.927,fedavg_fp32,2143120,2139280,0,0,0,3840,2143120,4278640,33.396640023216605
