round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,round_seconds
1,0.5448758559689546,2.1862999240875243,0.2528,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.53322650305927
2,0.36330571092839814,1.7909270317077637,0.4054,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.76258063316345
3,0.26248762357621064,1.5698363082885742,0.5076,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.098463993519545
4,0.20909298642266855,1.3703884469985963,0.5866,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,40.80822586081922
5,0.178944216647263,1.1980659931182862,0.6485,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.65963754802942
6,0.15640336740907515,1.0492972019195557,0.6885,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,40.80496091209352
7,0.14049303025046053,0.9202301989555359,0.7252,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.19415599666536
8,0.1292002504274327,0.8146025585174561,0.75,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.714286962524056
9,0.11855748387606582,0.7277803887367249,0.7763,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.12809004448354
10,0.11101497281051705,0.6606304203033447,0.7927,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.3798249848187
11,0.10381653012542906,0.6002105140686035,0.8117,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.60963319055736
12,0.09745090566721046,0.5742350951194763,0.8156,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,41.354730132967234
13,0.09299552596700475,0.5260746270179748,0.8342,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,43.76994316279888
14,0.08697493118913067,0.5099120355606079,0.8355,w2_fp32_adam,2143120,2139280,0,0,0,3840,2048260,4278640,46.116720689460635
