round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,round_seconds
1,2.070779521675671,2.006123405032688,0.22777777777777777,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,13.104902742430568
2,1.510722486411824,1.8820329798592461,0.2638888888888889,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.794540148228407
3,1.2859268013168785,1.8281684928470188,0.3416666666666667,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.813488127663732
4,1.2364137768745422,1.7644731839497885,0.2972222222222222,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.344694564118981
5,1.030209115761168,1.879766787423028,0.26944444444444443,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.745023844763637
6,0.9874190723194796,1.9034138547049628,0.30277777777777776,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.334727872163057
7,0.9313088282942772,2.428810159365336,0.2638888888888889,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.42811962775886
8,0.9272665986243416,2.5254294024573434,0.33055555555555555,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.158356280997396
9,0.9242852229405851,2.688672051164839,0.3611111111111111,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.556866899132729
10,0.8527116957394516,2.664871065484153,0.3861111111111111,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.277741039171815
11,0.761019754497444,3.338431649737888,0.4083333333333333,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.478921296074986
12,0.7144527849467361,3.39644140402476,0.4,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.41573772020638
13,0.6114963786128689,3.4040313111411202,0.3888888888888889,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.035478627309203
14,0.6348309394191294,3.7763006250063578,0.4083333333333333,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.36587100289762
15,0.5731114281670135,3.6615954611036514,0.40555555555555556,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.333520755171776
16,0.4677717129097265,3.3879264725579157,0.4222222222222222,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.445126255974174
17,0.4080070012851673,3.8194862365722657,0.4083333333333333,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.410805694758892
18,0.42172603084541416,4.323929119110107,0.4388888888888889,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.263907313346863
19,0.4413932823740384,4.496487434705099,0.40555555555555556,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.21696206741035
20,0.40168727539918003,4.755979919433594,0.41388888888888886,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.359712509438396
21,0.5499437468345552,4.857753271526761,0.425,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.372637655586004
22,0.552691629375605,4.51418727768792,0.45555555555555555,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.074848482385278
23,0.6128612200126928,4.900688155492147,0.4527777777777778,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.146301049739122
24,0.4181003063259756,6.496364635891385,0.46111111111111114,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.18153652921319
25,0.662951189038508,5.294064357545641,0.4722222222222222,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.11036397702992
26,0.447908285073936,5.163645044962565,0.5,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.403978971764445
27,0.5101926233619452,5.487103833092584,0.4722222222222222,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.329043731093407
28,0.565894411986365,5.411128995153639,0.45555555555555555,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.322830671444535
29,0.40438587367808554,5.555927117665608,0.42777777777777776,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.331151235848665
30,0.36335637907990637,7.222234959072537,0.4111111111111111,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.282553313300014
31,0.5722209081937121,6.16523683336046,0.425,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.183518452569842
32,0.605777449796305,6.4192468563715614,0.4111111111111111,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.449403304606676
33,0.45434626467142475,6.851607033941481,0.42777777777777776,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.212147636339068
34,0.4517455570783247,7.132769521077474,0.4527777777777778,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.31570990756154
35,0.548403944929733,7.018940628899468,0.4861111111111111,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,10.98111691325903
36,0.797789587694056,8.205455446243286,0.43333333333333335,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.330580348148942
37,0.5877435245167684,8.017697789933946,0.4361111111111111,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.31724951788783
38,0.6108227253151948,8.243672974904378,0.5,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.373923268169165
39,0.4278600878452006,9.277312465508778,0.4083333333333333,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.477593712508678
40,0.6680535683956217,9.494337389204237,0.4361111111111111,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.343299040570855
41,0.5743239687700921,10.100330109066434,0.4361111111111111,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.555474754422903
42,0.4166935151168967,11.312280993991427,0.41388888888888886,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.428968261927366
43,0.3829749623477897,9.39249746799469,0.45,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.227278152480721
44,0.39582750814802503,9.734302710162268,0.48333333333333334,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.46992819942534
45,0.39045451338375536,10.415620432959663,0.49444444444444446,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.320220664143562
46,0.40175268460092517,9.842414622836642,0.4888888888888889,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.298626841977239
47,0.3029051982842194,9.376279179255167,0.48333333333333334,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.199167614802718
48,0.2469443630629137,9.412260882059734,0.5,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.217429023236036
49,0.24159761523033546,10.123354869418675,0.4666666666666667,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.234814144670963
50,0.2638896354885005,10.475403743320042,0.4638888888888889,bitfl_v1_stochastic_1bit_tensor_fp32_scale_topk50_ef,1596946,1593362,0,0,1593362,3584,50985024,101962896,11.369336679577827
