round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,round_seconds
1,2.2005474549882553,1.8567977905273438,0.325,fedavg_fp32,50985024,50981440,0,0,0,3584,50985024,101962896,13.06022271886468
2,1.2485906534335194,1.8245044072469077,0.28055555555555556,fedavg_fp32,50985024,50981440,0,0,0,3584,50985024,101962896,11.233428427949548
3,0.868314350133433,1.8389420588811238,0.26944444444444443,fedavg_fp32,50985024,50981440,0,0,0,3584,50985024,101962896,10.846214829012752
4,0.5041016960407005,1.8027899556689793,0.26944444444444443,fedavg_fp32,50985024,50981440,0,0,0,3584,50985024,101962896,10.70090907998383
5,0.2933931045015069,1.818129422929552,0.31666666666666665,fedavg_fp32,50985024,50981440,0,0,0,3584,50985024,101962896,10.77146908454597
6,0.16641269487274044,1.768333903948466,0.35,fedavg_fp32,50985024,50981440,0,0,0,3584,50985024,101962896,11.043104529380798
7,0.09193288526662133,1.734290475315518,0.36666666666666664,fedavg_fp32,50985024,50981440,0,0,0,3584,50985024,101962896,10.979575442150235
8,0.061242851373903895,1.6660992357465956,0.36666666666666664,fedavg_fp32,50985024,50981440,0,0,0,3584,50985024,101962896,10.903971280902624
9,0.031334782300023914,1.6183792485131159,0.3861111111111111,fedavg_fp32,50985024,50981440,0,0,0,3584,50985024,101962896,11.071096122264862
10,0.012240881925476167,1.5489390982521904,0.40555555555555556,fedavg_fp32,50985024,50981440,0,0,0,3584,50985024,101962896,10.953917987644672
11,0.010665742040146142,1.477584065331353,0.45555555555555555,fedavg_fp32,50985024,50981440,0,0,0,3584,50985024,101962896,11.003657521679997
12,0.0075216319596887946,1.430737426545885,0.46111111111111114,fedavg_fp32,50985024,50981440,0,0,0,3584,50985024,101962896,10.958790481090546
13,0.006023940566057504,1.3301378687222798,0.5166666666666667,fedavg_fp32,50985024,50981440,0,0,0,3584,50985024,101962896,10.82702386751771
14,0.003982644835452768,1.2060428990258112,0.5583333333333333,fedavg_fp32,50985024,50981440,0,0,0,3584,50985024,101962896,10.988212006166577
15,0.00342287977486301,1.2003894329071045,0.5861111111111111,fedavg_fp32,50985024,50981440,0,0,0,3584,50985024,101962896,10.911978017538786
16,0.002267448162242277,1.1258594539430407,0.625,fedavg_fp32,50985024,50981440,0,0,0,3584,50985024,101962896,10.863907733932137
17,0.0021170837828642965,1.1422515312830608,0.625,fedavg_fp32,50985024,50981440,0,0,0,3584,50985024,101962896,11.000127693638206
18,0.0022175564809003845,1.1568738407558865,0.6166666666666667,fedavg_fp32,50985024,50981440,0,0,0,3584,50985024,101962896,11.130669491365552
19,0.001444926715681932,1.1492088317871094,0.6194444444444445,fedavg_fp32,50985024,50981440,0,0,0,3584,50985024,101962896,11.032848799601197
20,0.0013055364076589124,1.166725590493944,0.6416666666666667,fedavg_fp32,50985024,50981440,0,0,0,3584,50985024,101962896,10.814659187570214
21,0.0021719521821925063,1.2732256624433729,0.6305555555555555,fedavg_fp32,50985024,50981440,0,0,0,3584,50985024,101962896,10.90571348555386
22,0.0942142618000884,2.065617566638523,0.5638888888888889,fedavg_fp32,50985024,50981440,0,0,0,3584,50985024,101962896,11.060205006971955
23,0.724880014820134,2.69936244752672,0.48055555555555557,fedavg_fp32,50985024,50981440,0,0,0,3584,50985024,101962896,11.060296719893813
24,0.26866345907397127,1.671072080400255,0.5805555555555556,fedavg_fp32,50985024,50981440,0,0,0,3584,50985024,101962896,10.800328819081187
