round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,round_seconds
1,2.4841352964148804,2.0755910449557833,0.10277777777777777,signsgd,1596946,1593362,0,0,0,3584,50985024,0,10.800783142447472
2,2.049184380208745,2.0580852932400173,0.15833333333333333,signsgd,1596946,1593362,0,0,0,3584,50985024,0,8.961241334676743
3,1.8676168480340172,2.0386862913767496,0.175,signsgd,1596946,1593362,0,0,0,3584,50985024,0,8.864920165389776
4,1.7589148335597093,2.01394743124644,0.16666666666666666,signsgd,1596946,1593362,0,0,0,3584,50985024,0,8.865816297009587
5,1.6930282659390392,1.9883413950602213,0.19166666666666668,signsgd,1596946,1593362,0,0,0,3584,50985024,0,8.87848830409348
6,1.638627611538943,1.9611567470762465,0.225,signsgd,1596946,1593362,0,0,0,3584,50985024,0,8.62950830720365
7,1.5914235255297493,1.9343101872338189,0.24722222222222223,signsgd,1596946,1593362,0,0,0,3584,50985024,0,8.829409869387746
8,1.5515816562315998,1.9130334536234537,0.25,signsgd,1596946,1593362,0,0,0,3584,50985024,0,8.887512424960732
9,1.5192368836963879,1.8952730735143026,0.26944444444444443,signsgd,1596946,1593362,0,0,0,3584,50985024,0,8.432728389278054
10,1.4918085880139296,1.8829284932878283,0.2777777777777778,signsgd,1596946,1593362,0,0,0,3584,50985024,0,8.875441582873464
11,1.4755654019467972,1.8746830251481799,0.30833333333333335,signsgd,1596946,1593362,0,0,0,3584,50985024,0,8.589537484571338
12,1.4504440093741697,1.868326449394226,0.3138888888888889,signsgd,1596946,1593362,0,0,0,3584,50985024,0,8.917982518672943
13,1.435031869832207,1.8630388842688665,0.3333333333333333,signsgd,1596946,1593362,0,0,0,3584,50985024,0,8.806578543037176
14,1.4067137837409973,1.856962153646681,0.33611111111111114,signsgd,1596946,1593362,0,0,0,3584,50985024,0,8.86986474134028
15,1.3940582433167625,1.8508461422390408,0.3472222222222222,signsgd,1596946,1593362,0,0,0,3584,50985024,0,8.655360301956534
16,1.3718538161586313,1.8444800429873995,0.35555555555555557,signsgd,1596946,1593362,0,0,0,3584,50985024,0,8.645698999986053
17,1.3548603636377,1.836717473136054,0.3611111111111111,signsgd,1596946,1593362,0,0,0,3584,50985024,0,8.868181111291051
18,1.3386160941684948,1.832059907913208,0.37222222222222223,signsgd,1596946,1593362,0,0,0,3584,50985024,0,8.657754197716713
19,1.3230113194269293,1.828419386015998,0.38333333333333336,signsgd,1596946,1593362,0,0,0,3584,50985024,0,8.783680390566587
20,1.3061309789910036,1.8264809767405192,0.3861111111111111,signsgd,1596946,1593362,0,0,0,3584,50985024,0,8.805565275251865
21,1.2850205722977135,1.8236619472503661,0.39166666666666666,signsgd,1596946,1593362,0,0,0,3584,50985024,0,8.686095608398318
22,1.2718424148419323,1.8211211151546902,0.39166666666666666,signsgd,1596946,1593362,0,0,0,3584,50985024,0,8.767790528014302
23,1.2596442366347593,1.8183091799418132,0.39166666666666666,signsgd,1596946,1593362,0,0,0,3584,50985024,0,8.593987243250012
24,1.2452719421947704,1.8141830656263562,0.39444444444444443,signsgd,1596946,1593362,0,0,0,3584,50985024,0,8.570135345682502
25,1.2394720762968063,1.8141988277435304,0.3972222222222222,signsgd,1596946,1593362,0,0,0,3584,50985024,0,8.814583456143737
26,1.224673190537621,1.81270223458608,0.39444444444444443,signsgd,1596946,1593362,0,0,0,3584,50985024,0,8.92059832625091
27,1.2078462672584198,1.8092349979612563,0.39444444444444443,signsgd,1596946,1593362,0,0,0,3584,50985024,0,8.810130590572953
28,1.1951443947413387,1.8093772835201687,0.3888888888888889,signsgd,1596946,1593362,0,0,0,3584,50985024,0,8.915119420737028
