round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,round_seconds
1,1.9882836867781246,6.619742817348904,0.24722222222222223,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,16.501610772684216
2,1.1728656029,2.191401930650075,0.425,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.41692472808063
3,0.7881164086215637,1.841996391614278,0.46944444444444444,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.386158438399434
4,0.5984630326137823,1.7247970183690389,0.4666666666666667,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.27834464982152
5,0.45946191251277924,1.6061989502774345,0.49444444444444446,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,13.99867637641728
6,0.30575332133209004,1.4252782185872397,0.5361111111111111,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.94840157777071
7,0.21563095555585976,1.4193120486206479,0.5222222222222223,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.133116085082293
8,0.15793228806818232,1.3690495176447763,0.5527777777777778,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.25248752720654
9,0.12003438969087951,1.3356259677145217,0.575,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.191560300067067
10,0.0928561822305817,1.3367668648560842,0.5611111111111111,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.63068437576294
11,0.07456262249444776,1.382105463080936,0.5611111111111111,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.091744469478726
12,0.06073154461131815,1.3430442750453948,0.5888888888888889,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.228299671784043
13,0.04866189413073966,1.3518744279940924,0.5777777777777777,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.160209637135267
14,0.03637680480503203,1.384926552242703,0.5583333333333333,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.819433256983757
15,0.029311889772276008,1.3836863974730174,0.5722222222222222,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.343556340783834
16,0.028694786600467256,1.4367719521125157,0.5555555555555556,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.112364517524838
17,0.02118506722891813,1.4314242018593681,0.5861111111111111,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,13.817374749109149
18,0.016055778447908405,1.478037306997511,0.55,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.695165352895856
19,0.01963009346218314,1.4645865095986261,0.5638888888888889,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.053041126579046
20,0.011377047284280278,1.4614038149515787,0.5694444444444444,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.10135836340487
21,0.010985268298741978,1.494496155778567,0.5472222222222223,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.299476895481348
22,0.010102639139992842,1.561641956700219,0.5361111111111111,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.763524940237403
23,0.010618021141828434,1.5229154037104713,0.5555555555555556,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.10360905341804
24,0.00929648510132478,1.5276297602388593,0.5555555555555556,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.255468664690852
25,0.025523634443636506,1.6295211566819086,0.5444444444444444,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.078212395310402
26,0.012983129002189824,1.4967356966601477,0.5777777777777777,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.59990513511002
27,0.006263081179092885,1.514053977198071,0.575,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.108601298183203
28,0.006492424307105145,1.555291219552358,0.5583333333333333,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.153387647122145
29,0.005199597685532353,1.550714177224371,0.5722222222222222,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.10589088872075
30,0.0040831913962285716,1.5543672091431089,0.5638888888888889,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.646988121792674
31,0.0038813429727109477,1.5739477270179325,0.5527777777777778,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.059320099651814
32,0.0034159385797786802,1.590578693482611,0.5555555555555556,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.245914472267032
33,0.003250771105847568,1.609319231245253,0.5694444444444444,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.303717827424407
34,0.00311061553983403,1.6211152070098453,0.55,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.831768775358796
35,0.002972611562333494,1.6149614165226618,0.5805555555555556,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.208397760987282
36,0.002438216009656625,1.6288029508458244,0.5611111111111111,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.20244250074029
37,0.0030839227368714465,1.6551321797900729,0.575,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.159539885818958
38,0.0022231578300039366,1.6264800392919117,0.5833333333333334,w2_fp32_adam,50985024,50981440,0,0,0,3584,50625672,101962896,14.859829070046544
