round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,effective_learning_rate,best_train_loss_round,restored_best_after_round,early_stopped,round_seconds
1,2.2533973227528965,3.8068947553634644,0.2777777777777778,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14338664,0.0003,0,0,0,62.49431198183447
2,1.4591130763292313,2.10867780579461,0.3527777777777778,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14338664,0.0003,0,0,0,64.91585256997496
3,1.279825846938526,1.771886452039083,0.4111111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14338664,0.0003,0,0,0,61.48736248910427
4,1.204503850901828,1.613292900721232,0.45,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14338664,0.0003,0,0,0,61.187493251636624
5,1.0623896472594319,1.5632415705256992,0.45,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14338664,0.0003,0,0,0,65.60916438698769
6,0.9929911757216734,1.4400893449783325,0.4861111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14338664,0.0003,0,0,0,64.27976495306939
7,0.8667968388865976,1.3851788732740613,0.5055555555555555,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14338664,0.0003,0,0,0,61.92155475821346
8,0.8118557123576894,1.390193854437934,0.5277777777777778,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14338664,0.0003,0,0,0,59.03669884800911
9,0.7598192051929586,1.3589405841297573,0.5027777777777778,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14338664,0.0003,0,0,0,61.942480891011655
10,0.7143521545564426,1.3479914983113608,0.5361111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14338664,0.0003,0,0,0,59.53435659967363
11,0.6615913409520597,1.337819959057702,0.5388888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14338664,0.0003,0,0,0,58.927902748808265
12,0.5764064832645304,1.334624163309733,0.5472222222222223,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14338664,0.0003,0,0,0,61.22635798621923
13,0.5815094260170179,1.320472322569953,0.5472222222222223,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14338664,0.0003,0,0,0,59.40901626087725
