round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,effective_learning_rate,best_train_loss_round,restored_best_after_round,early_stopped,round_seconds
1,0.2924367055718904,2.4666218727111815,0.2436,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,46.75655488856137
2,0.25002574904501673,1.7988143753051757,0.4142,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,44.86136923544109
3,0.1754449727651566,1.5695779069900513,0.5071,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,45.588192051276565
4,0.14547264165327456,1.3478775138854981,0.5974,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,45.61868132650852
5,0.12358320456599663,1.156663515472412,0.6672,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,45.71441663429141
6,0.10941009037342156,0.9824823606491089,0.7119,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,45.432838475331664
7,0.09694082846423649,0.839867993927002,0.752,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,45.296963980421424
8,0.08700843025993285,0.7245459623336792,0.7825,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,45.10284734144807
9,0.07977016267323052,0.6459003888130188,0.7965,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,45.225367521867156
10,0.0752510509912099,0.5600045058727264,0.8283,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,45.360801400616765
11,0.06824417935567909,0.5192278074264527,0.8335,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,44.78863966092467
12,0.0649678743015708,0.4717327532291412,0.8499,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,44.03297356143594
13,0.06124834149995877,0.44739665241241455,0.8527,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,45.00245710089803
14,0.05760269445781887,0.416329083609581,0.8625,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,44.947301503270864
15,0.05308756855956744,0.40413450002670287,0.8649,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,44.19129718281329
16,0.05216541034963788,0.38610424003601074,0.8708,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,44.61957906000316
17,0.04893319480524951,0.3738661012887955,0.8734,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,45.07304177619517
18,0.04818244946848911,0.35250752353668213,0.8829,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,44.09811099991202
19,0.04603118480036604,0.3623717775821686,0.8762,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,44.7508375570178
20,0.04396403339790898,0.3395079473018646,0.8857,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,44.963936887681484
21,0.04257772089416297,0.34016559281349185,0.8858,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,44.72187750786543
22,0.0412126417082618,0.31987453253269194,0.8946,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,45.342667700722814
23,0.03924588795798627,0.31289525656700135,0.8943,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,45.842494456097484
24,0.03643651872859361,0.3196893055558205,0.892,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,45.62417025119066
25,0.037683396654817146,0.2902265794157982,0.9039,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,45.494813634082675
26,0.034845070718408054,0.29630493963956833,0.9001,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,46.193264758214355
27,0.03564053109848828,0.2913962259531021,0.903,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,44.60667706094682
28,0.03406004905687041,0.29305134859085086,0.9021,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,45.546361435204744
29,0.032374439061292525,0.2832549405694008,0.9054,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,45.903794787824154
30,0.0314111395543326,0.2548842859148979,0.9195,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,46.00711396895349
