round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,effective_learning_rate,best_train_loss_round,restored_best_after_round,early_stopped,round_seconds
1,0.9391736164844284,2.3074387187957766,0.1466,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,39.92164850048721
2,0.885055822560874,2.3147519760131834,0.1204,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,39.52587943337858
3,0.7607005639234556,2.3164106620788574,0.1255,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,37.62073897384107
4,0.6626174329663626,2.305193692779541,0.1429,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,39.47395234555006
5,0.5876498236631353,2.279059541320801,0.1732,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,38.11758488602936
6,0.5344028766810274,2.2235290824890135,0.2033,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,39.49075812473893
7,0.4879877106752247,2.14608187789917,0.242,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,37.10682339966297
8,0.45208437550657743,2.0433254539489747,0.2807,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,39.03576687723398
9,0.4187914286235658,1.9275721012115479,0.3214,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,38.62895909883082
10,0.391860473214183,1.8037777793884278,0.3688,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,39.74205596931279
11,0.3687417239047742,1.6925220687866211,0.4107,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,37.64847782254219
12,0.35076530024331687,1.5875346632003784,0.4524,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,38.03268515877426
13,0.3384292529333227,1.4697964239120482,0.5007,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,37.05391736701131
14,0.319510590005666,1.3670652074813843,0.5404,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,36.38577660731971
15,0.3020785970108894,1.2691465034484863,0.5757,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,36.9420969504863
16,0.2853468085018297,1.2172058433532715,0.5953,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,37.67375377006829
17,0.27491470079791425,1.1890193613052369,0.6055,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,37.27622005715966
18,0.26655400878905006,1.1269879332542418,0.6262,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,36.48637757636607
19,0.25468608004933535,1.0960518981933594,0.6398,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,36.964949045330286
20,0.24655983211705462,1.0496342483520509,0.6581,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,71340,67500,0,0,67500,3840,2143120,4278640,0.0001,0,0,0,38.45920827239752
