round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,effective_learning_rate,best_train_loss_round,restored_best_after_round,early_stopped,round_seconds
1,0.2500539774482604,2.202282572937012,0.2054,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,48.56388330832124
2,0.22648775517300238,1.9097335639953614,0.3588,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,48.073101894930005
3,0.1647453135403339,1.6959071203231812,0.4809,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,48.241167360916734
4,0.13739247341497202,1.4702353561401367,0.5823,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,48.024632431566715
5,0.11572014450863814,1.2493237716674805,0.6748,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,49.804171876981854
6,0.10092445835428712,1.048072778892517,0.7361,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,50.08777572400868
7,0.0890124996401634,0.8803684610366821,0.7802,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,47.86924924142659
8,0.08087589422818078,0.7286943229675293,0.818,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,46.30000554770231
9,0.06922333779199713,0.6289596976280213,0.8346,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,47.36322679743171
10,0.06469867196171132,0.5471264677047729,0.8528,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,46.54066419787705
11,0.0584708989583684,0.48932732162475584,0.8622,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,46.45324186235666
12,0.05424663905398195,0.439830549621582,0.8748,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,46.77198754437268
13,0.050955179325274005,0.4039771301746368,0.883,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,49.28151562437415
14,0.047172345140582675,0.3808353410959244,0.8862,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,48.41395783983171
15,0.043981551720564005,0.36102301771640777,0.8931,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,49.81200059503317
16,0.041952550221609874,0.3319270480155945,0.9016,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,47.73416074551642
17,0.03899270050559001,0.33282499701976775,0.8998,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,49.27845233306289
18,0.03836530923316937,0.2928810314893723,0.9143,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,48.7641976326704
19,0.03559841048403693,0.3015273377537727,0.9106,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,47.935282630845904
20,0.033509503689894395,0.26494647846221925,0.9221,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,135070,131230,3280,127950,0,3840,2048260,598540,0.001,0,0,0,48.22450818493962
