round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,round_seconds
1,1.1573106926963441,1.7703010062111748,0.25022222222222223,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.902517095208168
2,1.0344308123418262,1.1922296170128717,0.44177777777777777,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.570945656858385
3,0.9986987423329128,1.0880800505744086,0.466,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.39300025999546
4,0.9787914525327228,1.034372937520345,0.4688888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.575380963273346
5,0.9678611979881924,1.0174690365791321,0.46844444444444444,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.951179004274309
6,0.9757470558938526,0.9929424298074511,0.478,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.943144823424518
7,0.9662131396929423,0.9840072694354587,0.48377777777777775,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.560474182479084
8,0.9324419181971324,0.9825380241605971,0.48288888888888887,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.947101342491806
9,0.9132277865636917,0.9693316753705342,0.5008888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.255223510786891
10,0.9104331103109178,0.9699477360513475,0.49755555555555553,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.80052085686475
11,0.89618094427245,0.9618521217770046,0.5002222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.789971428923309
12,0.8854654232944761,0.953739675256941,0.5004444444444445,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.759389095939696
13,0.8899705022005808,0.9466968460083007,0.5206666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,14.927657012827694
14,0.8807850333054861,0.9521170318391587,0.5211111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.362551027908921
15,0.8944276236068636,0.9466637534565395,0.5082222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.657951186411083
16,0.878383915112132,0.9489581332206726,0.5091111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.721641595475376
17,0.8442546701715106,0.9327043425242106,0.5304444444444445,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.967545398510993
18,0.8637846935363042,0.9169459874894884,0.5475555555555556,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.730502696707845
19,0.9234019662085033,0.9196550137201945,0.5306666666666666,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.579518093727529
20,0.8340134572698956,0.9085657119750976,0.5513333333333333,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.592949681915343
21,0.8306469485021772,0.910614431699117,0.5355555555555556,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.627296964637935
22,0.8193563331024988,0.9173637091318766,0.5373333333333333,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.74690096732229
23,0.7932628811824889,0.8936228035291036,0.5662222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.735469929873943
24,0.7909122009788241,0.8935518942409092,0.5611111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.588286558166146
25,0.7806824341842107,0.892853854921129,0.5657777777777778,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,16.042521209456027
26,0.7712939162481399,0.8978752198749118,0.5522222222222222,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.51729292795062
27,0.7769478126366933,0.8875747340520223,0.5606666666666666,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,168165,166245,1640,164605,0,1920,2634250,752120,15.89612664654851
